ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_N_Los
-546.5335101732733,799079.7675161946,551613.9769500977,81652.68962724847,16036.552259358772,15322.766180589888,28407.384025373794,54466.62721754886,2931.797004963116,2760.0277766779814,2672.240579828908,0.0310133986618418
-219.86863642997875,778819.2702679427,606222.9767728004,50861.50123118686,16284.831122554737,10941.645483497876,29633.400995399028,29425.54855036272,1560.1919791071025,2813.9555210999474,2811.0904517230765,0.0164135955721185
-382.9033450517018,797533.7313683638,623357.9123897153,57119.10156277796,16005.96184909393,10295.137388716405,28796.9787011678,96814.6679241171,1985.2685687199703,2967.430654905132,2835.139413462606,0.0280136580388339
-174.85676202811305,788808.6927727738,621512.6934318346,64799.71946381687,16128.935808929396,10665.783087495864,29545.23620962813,33087.00124353229,2041.543480186752,2890.6298109899194,2758.707891650201,0.0225278767128207
-329.8771315789994,764326.1780177237,662513.7117086833,50000.00000044357,16572.267902272084,6137.634159516785,30137.637109041996,31284.354729016588,1401.889287825223,2965.385345334481,2931.4731859019566,0.0319440112074789
-427.0291515717008,808580.3860242886,611499.598939345,52671.97460361751,16007.931140003127,11541.595984884112,29497.23727157789,24480.55505427177,1719.6962518734638,2929.120628262894,2784.072936155506,0.0229293081458609
-277.86526384072886,809743.3085731375,642172.1039651039,58239.65356549832,15831.601302489456,9882.812048738468,29471.39380059555,47234.66948498469,1862.808200326452,3007.478320660622,2845.716806869495,0.0331667743009255
-484.12457079288265,803125.8058715928,620645.2296979183,80981.05032971353,15949.692575724448,10669.457743069475,28695.83018271583,56050.09046260975,2853.935649238421,2896.3978567197414,2756.352469686876,0.0229351108503126
-330.1180417030819,813175.5276225804,582289.9318962026,60368.41874444297,15822.526908320233,13624.411294750278,29777.22778963574,70665.88329324493,1861.0179779413777,2797.853042045152,2713.100839829061,0.0308618915486067
-326.8110364682718,777475.5094052767,687631.2237382784,50000.0510433899,16429.212615821365,5114.251646227956,29167.41457449558,48967.66049271859,1556.1528521364714,3023.874965798818,3003.770337457839,0.0306833634002156
-366.197959204075,816487.3098823036,619211.4561926246,84727.3565305818,15905.554597999431,11376.235280200672,28249.30519374545,51773.88568992812,2904.5069002273613,2834.3092750253218,2832.4815632005675,0.0225268709264853
-331.99902193190826,821803.910782832,646579.7867288955,71954.52566287048,15693.405292670142,10295.469820635864,29009.02372328548,50564.81303840358,2501.64603634419,3058.549761285179,2888.723093218253,0.0228027169200231
-295.50924661020343,789007.1941946051,650302.6045788621,84304.1252111797,16218.677914863812,8867.869887254128,28820.31202407965,49105.58073520442,2874.4017976200607,2906.419140137877,2887.237043580469,0.0255725857202243
-317.59118186130627,771723.133071405,700306.594731601,75972.57459903421,16407.920987268473,4214.4794907521655,28301.437883326096,41131.85927718788,2679.1732055785187,3037.0875305202203,2983.911040157785,0.020900123096494
-432.12455655834685,718921.0634994893,636184.465482059,57827.46394764876,17342.26303536813,5160.689865407247,27492.16820694524,27383.933486508708,2031.1122137839784,2857.810325502092,2787.2483081673045,0.0170398815211141
-332.4323388674904,789863.8963622416,639858.6813080775,68500.04517690421,16273.488806612886,8926.508938292745,28856.257079851268,28992.23402975442,2447.264908150109,2942.5318003608013,2878.38189902068,0.0177462601035185
-328.6297678931112,796858.1189318873,632844.9382009647,62437.73404073231,15900.60108615666,9445.73052697832,30079.115407772835,18779.102650356253,1966.098464664488,2949.7698995855626,2790.273984264611,0.0236273811950203
-218.139921719393,773391.848324048,616189.6054160408,50048.16725535591,16451.59019037885,9560.550993403158,29183.18513945884,999999.9999999622,1716.7827907946032,2910.135261409435,2820.22277284162,0.025168433983074
-408.9669786438944,786114.0745552036,603176.5550336445,61424.43497512696,16406.932287694395,10816.968963640624,29134.10595134964,43352.02186455207,1962.4119918490248,2802.5366363464505,2699.8605910546203,0.0242523925842623
-381.9670546845027,789156.3182792027,691649.0029644,62946.73472883384,16248.21456103797,5247.294577326213,29274.30882788217,51220.07733099828,2146.4556182553656,2906.1841214485225,2906.5510836233816,0.0314161483088139
-649.5318421520885,775127.4414363317,580030.2459455247,55346.37885661677,16216.9584506898,11707.770192760428,29726.827063194163,56651.29938845921,1746.567047129306,2757.042403119341,2662.073957321131,0.0361567754676689
-282.2434648141381,769951.4874047077,619443.1545053573,65182.20777792215,16780.26810767403,9286.563982957692,28814.244836402308,58480.16760533853,2136.398685823319,2885.225514791243,2831.125406846926,0.0240352862387883
