ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N
-212.37658113537057,811378.2074252975,687219.5009792084,50000.32507808179,15516.283457722486,6105.305054135428,31347.953574201183,24929.9630165332,1805.4962841001525,2514.107827537918,2994.1887730829235,0.0305723610302819,0.052197287433098
-189.9996615352028,809188.7050386294,712535.4676890856,56768.53013902672,15555.935940308033,5019.68405427569,31510.692132740787,26511.612715370004,2186.307591497225,2567.245175178046,3007.081106571595,0.0348160939506063,0.0470711126400048
-108.59983283301324,789388.1997672424,682527.5701601898,60879.98348926559,16205.40101385811,5778.816674774176,30065.779975345133,24960.260891810707,2084.506107397468,2523.6032722352197,2901.116279403896,0.015051884681341,0.0473844119922388
-81.79691810221306,824555.588568752,700670.8936946946,60187.51136659259,15714.98651872696,5843.090137826617,31005.572456055044,20925.273240220064,1825.503264403045,2196.978912522583,2943.093733545212,0.0204329934851021,0.0915468934496509
-157.36165810079018,830043.6219689521,775645.6164635216,56300.29484570265,15080.574710447978,2490.477627018982,32482.75978815849,30837.64422174847,1803.73777173183,2690.8788581144654,3099.3285775418663,0.0338094594304588,0.0372007331156616
-151.61732775648323,811620.5714171518,720877.1011087417,64197.48032888253,15803.993125177394,4341.750380542066,30938.420016936638,21366.33444111216,2226.198358588237,2384.9714075241736,3081.674426133483,0.0227356195087899,0.0634751937844356
-207.13581923682392,834759.168539831,660041.973103466,64716.474390838994,15394.325529977696,8986.426054860414,31649.59146515797,24679.95859637673,2206.233675158897,2415.883943482617,3016.506620720175,0.0193915707730762,0.0619313348813396
-230.58755749827185,796517.6132517444,686721.06656703,63345.82249338222,15933.80473814803,5238.432861696293,29428.72456673791,26771.249167755228,1986.1231772978745,2440.0783401070967,3036.781123090461,0.0216524367806129,0.0628427550717695
-209.38036115837616,799945.4054714394,703729.3761894829,60642.2873731748,15871.362792915384,4922.54478364127,30458.538650735787,23367.650263278083,2029.1720334317235,2623.6098913773008,2961.1014996973504,0.025209995576315,0.0374112398864798
-152.10472761631223,791386.1204203446,720706.0101458237,51610.011444743504,16120.58071109278,3602.72256113696,31884.80997201068,19194.303066404853,1650.0154728004725,2491.135085511624,2999.483341944412,0.0163301703611574,0.049075917129515
-115.02914813402695,831628.1964771973,716860.8344592379,63318.866643945454,15231.90792005574,5376.362886671016,31389.553230255588,20367.559990169106,2147.772369873791,2443.146419195934,2992.3861426628896,0.026352635697098,0.0597326501114678
-211.9929831579438,818862.4469035564,751217.9551585636,71588.23844918568,15257.25701497095,3290.248453809785,30985.39422570789,30761.928825117484,2705.713405925467,2401.6319075392985,3044.8668157599222,0.0269542034858621,0.0575842038732032
-220.9434575103836,788049.8121700011,675753.2949299669,66956.526520923,16046.529781523925,5904.712718050368,30209.155894965374,33092.22871838127,2469.557282886828,2471.006570420884,2899.1272031639987,0.0243597104929102,0.0536109074128361
-209.7012997401825,800633.8090278998,722884.1109809799,56764.72029108771,15775.64640844783,3986.6232729078,31181.02925781557,19711.31020844889,1915.7993504655688,2547.2882731238674,3001.773595900996,0.0206244373845346,0.0494750139018273
-73.20417726808147,807485.458431502,636690.6163958313,68119.69729130785,15589.355223452509,8860.68578836104,31238.61028655421,18244.814145771423,2390.253702996895,2384.257370884704,2905.2339764174344,0.035797438161503,0.0383127395916925
-193.9444200065513,837010.2465601153,732049.9374963702,66205.27254716148,15218.063579773896,5271.893877607436,31341.60831852002,27320.17534675407,2068.743709803222,2527.4577749136547,3042.4933301717306,0.0194414846814269,0.0548543527875527
-84.17893075101375,801358.4688182647,695379.9873344294,55002.78131054491,15843.26943523623,5502.066792386831,31162.52313260112,29761.756057771963,1959.611630325444,2537.404661971584,2992.577902369054,0.0171299146993915,0.0662426072373845
-309.74678560531913,805491.0846677,678330.9285176147,57291.81325039792,15919.370425797815,5962.523132286626,30708.83658253894,64556.61717748605,1770.925167966971,2305.134741306327,2952.017286688169,0.0215085839710453,0.0655587285507007
-241.58751290674036,832695.4939937922,697513.5189628137,52030.70870977971,15337.333533137822,6536.48715845385,32865.12619858023,27017.53176024957,1734.45369179539,2482.1620741451043,3119.103944322941,0.0164303472812362,0.0514444216309089
-130.87681162635374,818935.7224960113,743309.7659092209,63915.388355798175,15485.021381893475,3592.6135429522687,31319.44385106166,19629.98170145274,2159.6616155486404,2440.4936093496176,3001.0999636948563,0.0209769792180693,0.0507009490181703
-97.92364150142194,798252.854095037,657828.6911830566,61083.35526341057,16019.280676077358,7945.361978447732,29998.62993157948,27028.01657515259,2163.639429904188,2330.337380875766,2911.167461922499,0.0105854140020825,0.0654349671930399
-197.52314708915432,793853.7966841435,693388.8894933583,59532.88023741772,15996.020422518746,5137.060122465287,30959.545624457754,25694.85667639295,1924.4659919498297,2720.12321419761,2933.5051433608205,0.0335031060314199,0.0351490287833086
-329.64665714689454,803361.2122481202,712464.6239358172,60154.36454526884,15877.34685843052,4006.397089023717,29919.144718245887,45057.67365813603,2098.5945373100712,2310.3200499188574,2979.448756256678,0.031417032412293,0.0630403604391553
-134.66555188146492,823076.6399475936,716645.0706086002,51194.70460196104,15422.21661662948,4925.158252126452,32939.81430783687,19959.557876000137,1767.8346747443095,2482.3981869230947,2944.181228924024,0.0276233837727029,0.0597263801950676
-207.2725648543817,841981.8818180414,731278.2780590629,65904.07818990549,14898.950267442173,5185.193773562138,32271.801367337608,23338.62586731477,2365.452117815217,2466.8507907701364,3129.4264671422698,0.0241377547189645,0.0530863012727706
-164.46410396061856,806521.0066420208,721659.6372715151,58118.55318589981,15653.99753430402,3983.18214058172,31772.712695595143,35104.360744778,2059.0094709261043,2467.9603455310457,2979.1402108048187,0.0288477580514786,0.043196592414398
-159.04401618389275,823432.5922215454,685811.590321435,56553.45189208368,15437.142956731488,6231.980287282423,31934.09902110905,21536.74030918624,1924.44500996451,2452.357902069946,2991.965558293689,0.0298450309748445,0.0459770536885601
