ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D
-213.39855446875305,812446.5007437982,683352.2971518711,58975.31350395604,15515.337014898065,6348.667247689876,31241.031376398398,29763.088259892906,1985.659638982403,3074.380588113884,2957.081943689392,0.0367762088795908
-183.20803732319044,814104.2820816749,694772.8448942432,65329.77337347363,15429.271977702409,6131.838629206389,31369.03086241697,26517.54072898257,2338.8547882413027,3181.8499751203644,2965.2537825438267,0.0338158570338805
-274.2478226249649,802053.0782370467,660429.3339619478,84230.08656093234,15515.648041745551,8030.8735500736975,30947.89880583,35046.61620424793,2973.6205163134778,3022.165836348805,2886.5245787443428,0.0339650209667093
-182.3014915546533,754852.687106371,698278.4322456287,68601.67461427556,16304.31702629041,2917.273718297625,29760.15518902456,28048.78433886617,2420.902780588003,3094.1215460069648,2928.037018757289,0.0349423378573337
-126.72103998530548,757364.3507872459,598304.1809328233,71938.32511438664,16379.606552929796,8770.1874783304,29775.39349180317,29434.89236117112,2742.845908414806,2768.453023689251,2776.1078697209427,0.0338241030653412
-108.22673727237806,785709.3317707308,635590.516027734,61703.62112630931,16013.671924589811,7949.544018616829,31045.842631432763,26233.782693002195,2236.7526153584463,2928.0768613610194,2834.811793219767,0.036921241488366
-218.9626192502744,803780.0728910868,637726.5021996314,56853.08321132899,15425.604148293927,8601.55522454764,32205.93747462719,19028.072401162728,1997.972963660944,3008.4215440064536,2740.178507634133,0.0423557016789493
-272.02993719493963,797981.0668167116,618855.4340963792,50000.0000004536,15655.008494176407,9415.455803851482,31707.27150298808,92799.86302230528,1774.9149934486984,2935.675066643505,2825.2551128775567,0.0288517880864137
-196.55936924786303,767551.1713617416,627472.9249408937,59695.20759855168,16256.296564691163,7396.189732838136,30576.979734609373,30137.274771959503,1990.4160424579925,2918.877933336088,2723.829907624098,0.0407559901215224
-271.28323989596896,788533.6764707387,697073.6001800428,65065.41248491163,15866.919239685629,4399.052502503035,31538.935509621275,34973.09984778823,2383.413619594643,3059.351299592493,2893.2394480772687,0.0358580359203094
-215.6023661646805,795484.8280632317,620796.7321856642,53816.00123368665,15374.327634164054,9020.705701745244,32786.28374269386,27448.0126284844,1844.2781865268437,3036.9958828894887,2732.768167320757,0.0528528615339895
-224.21016105870436,777571.6970388568,619521.4387073171,51046.18579458142,16174.221912228097,8741.531343122384,31906.40293101546,23285.575833307645,1640.2309673428615,2905.177876897219,2777.6771433603685,0.0323521771859644
-209.62014866491185,817085.558355882,712595.103012849,60581.72351398276,15227.509198066256,4815.632498588586,32990.61870883349,28644.674733419102,2113.7017716872047,3088.126366753742,2968.007314394283,0.0421163396033309
-229.29233676580407,803945.1328859823,643170.9884494509,57387.045775986415,15270.866930951854,9178.110899629386,31818.324631921245,28458.26459693841,1951.2927211931571,3054.7418747200177,2821.550770155349,0.0369165145562849
