ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-30.9582987917858,771863.9372681576,672705.3192122972,59066.48276966807,16336.412982490348,5044.908513492543,29983.739564777174,28715.43325307215,2094.812000243376,2610.994304811475,2990.47593899994,0.0275360350263899,0.0256936882758984,0.015659753198405
-23.76876189637315,797080.1511699026,694691.6539961376,60345.60509843879,16189.845312583751,5111.106170378474,29957.169007076354,26009.64924508246,2151.486869477044,2404.8608441663737,3009.39258986458,0.0212878472656999,0.0533046291746935,0.0102425819658388
-32.61898343938265,817675.6297309375,691797.9365233777,59012.57102491855,15572.382183864258,6091.501421402428,30809.17895352986,21331.59941111352,1997.9977664868245,2507.261324479613,2894.292580089337,0.0280225269765349,0.0461949258977987,0.0196683807558911
-42.20414490810665,794872.6519160108,652332.8981768079,50000.8031034489,16104.708106740529,7293.650025156881,29805.778852126183,272707.9986589206,1730.805874456771,2468.625731068452,2908.369596018858,0.0115040395590741,0.0484740041217019,0.0214482830316572
-19.29583358506825,774749.1494124951,724172.6485527306,51962.16120633205,16463.24494435674,2444.993550942517,29701.96481987933,35580.48140087249,1662.14925854135,2480.4964809316807,2982.442898024266,0.0271151736480103,0.0463080904065806,0.0202040591779762
-27.211947286835247,794346.6276158595,735959.6075324928,70851.65227180508,16084.129858295171,2651.497227547072,29794.704032568272,48682.88311307995,2478.496115822149,2477.155380149608,2979.578201565793,0.0230714834210519,0.0440669957127013,0.0278693055509782
-38.8834173733795,802130.2840992099,659844.7897574904,50621.24884907361,15650.441106146796,6967.898310244608,31382.814115109275,31597.07947461676,1611.1868653945396,2548.996966221802,2845.7106339150923,0.0365151079473147,0.045644927401181,0.0228577440377539
-24.54648908973509,785432.82952,661119.145710479,53376.0617076588,16354.954165870637,6514.893559701174,30370.46264918606,32296.736545095253,1730.1771850087146,2517.4753384357364,2914.7042986328843,0.0197821237701456,0.0419138411255932,0.0204989603572688
-29.146510651246384,835306.255392186,766411.4139042706,53716.982822413,15374.914499228262,2979.1669657860143,31594.59629648561,32305.884691948755,1784.536756106579,2373.0514033955988,3097.2717622905125,0.0237251878888278,0.0623110684559941,0.0180817349807448
-44.85356280039634,804282.1238141891,696678.4726392066,52986.17318685831,15635.28152066436,5928.980879048993,30196.082000253733,32585.30584662524,1765.6215183043785,2590.6816600418656,2946.1788730815265,0.0209757173135578,0.0478224304560916,0.0200827076082844
