ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den
-552.9691055604214,785811.173165422,613216.8448270215,50000.06443788006,16088.459072059724,10611.53494551712,30131.194647766213,35046.72481381225,1663.6039019974996,2841.256505114812,2801.056292739225
-829.4201350073465,800900.8976522544,624009.8732698481,67082.44033740356,15547.06309544169,11602.286553956856,31116.17511697828,30602.615603727714,2249.429042908573,2932.1816773877176,2834.3376637264782
-724.6555207447984,805781.0968870851,635965.8508204662,52703.99093935012,15991.48472948282,10529.200511690444,31070.48676067969,19031.364301195,1722.237543018285,2860.404647912914,2764.6757448784315
-611.0008622573911,792635.061337173,607336.9920053282,53652.84678705057,16006.151250055158,11033.859370962717,30621.700856473428,34979.289075090215,1828.4136587423,2733.014021609523,2738.8858205377774
-644.9358494166611,772795.6770430366,691853.311432084,62977.64836797053,16234.196861581904,4575.358646732499,29930.777626041094,20811.13417910957,2195.9528688112946,3039.9929846359364,3009.8503670935274
-809.5187889815056,800580.7574207813,600077.2569639047,53153.03120611161,15946.13899943843,11952.913979473336,30750.57529694341,24626.04214795542,1933.1846246087573,2812.473047707272,2769.378556408641
-458.9007688762015,761794.7029235534,683518.1751169716,50314.93250206914,16459.061431369933,5026.283303934289,30162.91043057909,23562.83799105064,1635.3917091270662,3105.042109108029,2910.327722115501
-744.6147722506707,757503.309749427,675273.0889729463,50000.00035930184,16545.924725770372,5129.839075833607,30384.785455583475,19721.531326611606,1579.4380789053362,2937.5492520341404,2901.55770263876
-716.4804261840302,726238.2892428112,637920.5650372262,57264.38066790389,17170.25386198224,5085.839194535717,28589.778811328124,31716.91888012414,2087.1118799506635,2879.6622198311184,2968.351418743762
-555.1356754215639,773352.0841894753,582785.1959503539,50000.00043321117,16214.78202505071,12176.849519343888,29653.86137539887,29512.775906099785,1598.3259867584725,2733.227155939977,2696.4995629378323
-633.668577835925,779941.3491247288,685372.4505839377,50000.0003652823,16222.36582029338,5584.880541640766,30957.071380538626,23364.708544211,1564.1974121868022,2897.98376849057,3028.6993135755347
