ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-37.80090994608782,837679.1090683325,719240.8902012667,57786.91312192139,15644.277621684589,5739.310472749734,29563.35763022029,36221.06061827693,1860.5220086638135,2250.538106121914,3008.523633641216,0.0901616169118662,0.0264541501034801
-60.706657101432896,850420.2875183778,694448.4001755902,77157.57063641345,15591.501066292554,7030.67394845014,28765.881462665384,43227.0753457965,2712.306035774872,1961.344631923982,2975.2355897453463,0.1339589223900127,0.0186360325466664
-90.48921937848982,846283.0075317912,663504.8264148809,67317.82017561788,15535.513888743832,8769.46282379087,29422.832316713488,67946.30675305917,2200.0363434018395,2063.821496153264,2949.6173132121417,0.0961807214810571,0.0258283196462099
-78.0005215350933,826822.1254881019,730114.3598446953,51550.67899021088,15963.517789535095,4626.482688733753,29545.024977174868,35457.10375091825,1645.0806031430466,2035.9465868709751,3086.6656761646,0.102951513593537,0.0263773508874919
-63.155575209242656,847219.0429361679,662581.299124799,67817.19639561936,15675.513867790298,8760.250835133655,29039.327053433943,39393.38915878149,2314.55894772609,2019.04940657276,2960.594453694144,0.108477502610664,0.0166217590434278
-70.64698323330018,836614.1648789904,729499.901094758,66966.73360020628,15743.20049842204,5230.774281324679,28923.295936858216,36074.35165599239,2339.4834701568834,2142.02685357726,3069.773071156392,0.0970493761605319,0.0178984136291715
-52.9825304181211,840028.0309619176,687113.5787980964,96630.97421390712,15782.186074576905,8029.088642863332,28221.96328412748,60685.6186322812,3333.2032560147627,2021.967418689937,2999.4925823780422,0.1020769435114224,0.0237221848854107
-64.04909586053762,794804.8278244287,743590.7847205381,91352.8732295308,16372.315800161276,2471.505562522097,27248.83978748656,46801.90076164773,3268.582987068143,2057.856080212623,3059.8427003183933,0.1011975619257593,0.0167609163299545
-92.20357805214266,804395.2885638281,709014.3910503262,69364.37952316614,16368.330653543686,4562.761837654019,28486.321620744235,34426.50776209677,2529.536171725148,1840.8934951926371,3093.245863206212,0.1162240639541625,0.0153021942190542
-53.14985628643373,828346.7547154737,675599.4025204987,67959.73887517015,16112.159384907309,7502.261182929612,29067.77997216219,28867.30504550601,2489.406939439647,1932.492893766439,3006.174382891479,0.1181405245974336,0.0107986359415422
