ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_N_Los
-81.05900403219059,805956.8295630745,647378.9695942017,68430.11246942569,15793.731600038956,8251.499299243427,30514.361499028048,25787.057000583824,2307.161213264946,3041.170455929597,2869.2789754675864,0.0310652239048443,0.0205922550420665
-48.119069767902985,814418.0845001972,610690.0382084919,62974.99528324711,15486.184153050266,11320.077364840789,31229.69959753682,31081.68803432853,2075.710365443536,2975.1228933497496,2832.7456781086644,0.0334016715581997,0.0236539404180057
-57.5669765575346,796132.0386895442,588162.3372011674,78665.74413932275,15813.634497993891,11035.2489597214,28814.29118622885,32576.30945001567,2472.332465272792,2956.8163848858144,2794.5197132792155,0.0307303373868444,0.0236535203353336
-61.381546306722285,789063.2844764434,647835.307433086,70521.62349554684,16014.314442333938,7817.348174380817,29266.336942687038,31760.944983093952,2292.237819467713,3022.292841644379,2823.014602578284,0.0289836625488259,0.0227161356572659
-65.55480831384571,776101.6421939785,678507.2591641931,62720.566822388064,16210.61180998562,5339.12058107319,30956.8291189598,24140.367461408507,2098.426105710009,3124.7022839915035,2878.330512517666,0.0266143190298199,0.0204346102500785
-62.809346022348585,806536.007607464,650140.5488575596,71649.86044140116,15425.038732351744,8095.761765672342,30728.43743483205,25847.40734335821,2477.96156751885,3089.883022131048,2839.6227083722874,0.035550298623966,0.0136039515220357
-113.4306695724974,798315.9527934911,676728.6560652186,61371.2611834948,15552.513419420462,6717.955369012494,31111.263496229047,23934.76803780991,2018.6108086959528,2955.759309439833,2897.0741153027398,0.0326687007327256,0.0224205087153955
-64.89060923241891,781919.1476445759,608031.7993971203,67252.70503355317,16062.819047380102,10029.878900724229,29654.94869966024,39464.31306920833,2410.7389659594023,2887.824558876155,2722.1852294371715,0.0294830277171902,0.0216149086606383
-45.38750368254078,779461.0499473698,678078.1797364502,50969.38077176806,16054.76370294249,5680.1330922130455,30423.97645719164,21883.40752869417,1668.9428401100697,3090.963549792897,2862.0718892542227,0.0291154194545251,0.022125359807346
-56.202990124841534,792824.4203484119,569666.0496869417,71983.92647683031,15701.591846753843,12405.40621569958,30735.755880872235,21179.99553801551,2540.781316273168,2653.6571313068653,2688.0725510207453,0.0415341029988632,0.0092952420114432
-73.74798524464914,825248.9536970806,639490.1123759259,101608.5801734364,15346.02396918045,10152.283333525998,29149.871875448716,51674.06380178964,3142.5022666218897,3040.893922220275,2806.716616851656,0.0258813974712375,0.0232598194473635
-57.50877871914293,794441.3796520784,643188.3952361067,52787.03872176693,15744.598800419457,8544.880898336676,31467.79500797189,33114.11875013561,1839.008282612978,3151.234663857856,2851.88322670468,0.0272741502016333,0.0128975813414323
-91.79302320064214,791981.7555780836,553894.0342564334,72883.27816572486,15902.84270614276,13641.8018554206,29600.0593377499,74951.1860171897,2340.214019435628,2760.3336516433483,2617.1068253141257,0.0281951156795394,0.0252782550728596
-63.38509419432357,824233.6821525118,634857.0035309059,51116.32693922114,15385.041418542778,9755.664622271011,32664.5108053984,34911.584259130126,1623.306638766535,2985.3877379854493,2900.3766282516103,0.0247738573824625,0.0280386675309905
-77.8179633023428,801960.6954651546,697010.0587514822,60360.82609840064,15678.213248094298,5394.42787789998,30904.30122383124,22585.78545412489,1954.787444660084,2980.8214739039045,2895.9491767652967,0.026937216808594,0.017695335913743
-68.46928562319718,788653.0695415473,585738.7881849967,61736.33286163552,15927.0515022476,12373.887596777418,30224.32779143077,28831.28806449421,2143.210675790761,2849.0657560959767,2699.290596667572,0.0223783637579413,0.0152472310990644
-47.38368885955904,780019.7959834499,623236.7837015509,50195.345579796005,16110.585274232972,8970.79815161012,30925.51807994431,26110.510553891698,1522.479266962992,3003.6136983894485,2778.8239625373167,0.0346064136134259,0.0244973465092304
-105.17894191713712,793552.327518337,660304.8224176733,60828.66312078249,15899.770518443096,6350.191195497087,29639.26242094413,183071.92241133584,2081.403005370396,3002.4616752052707,2816.2450058809018,0.0418830847715908,0.0282091659780985
