ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N
-298.3956321005293,839109.08485743,737575.064678206,76944.95205917017,15728.584427667713,4467.439578963603,29773.58778755977,47942.20687381769,2953.7249530114545,1861.3903244518456,3028.773360721523,0.1173947585969502
-256.830375650481,881266.5559167765,665769.0828010507,56441.49518990342,15071.081756163874,9432.701328173467,31093.475398922204,27036.384708907262,1959.9712315321349,1722.4148907009935,2925.44958900851,0.1928001315489467
-243.3198618012397,814220.2091909399,695071.2833041837,57479.423022240815,16288.144631212142,5865.687870250536,30270.46373327185,26393.27920032431,1912.3005628560943,1959.9774746433693,3020.872095035176,0.1179565114399979
-199.7872838013638,853027.9597550461,751331.3138415337,65508.13990053293,15526.209794539547,4163.556320818452,30582.76158990501,32193.796480239213,2304.55452544792,1812.667427334189,3093.446277302418,0.1579453552018054
-253.3537411809685,835109.5346561332,713584.1048111698,68536.46691000152,15499.64627021941,6220.1048525759325,29607.73568457336,32007.16926671719,2467.155360366833,2006.059380681222,3017.4923465424595,0.1291757659129181
-238.36631146935457,826178.3429132627,709466.0672509333,110184.44729643872,15949.381782465673,5867.984455833473,26667.49910795422,72523.29331579532,4147.984044516836,1937.0815899235552,3062.1310989109747,0.1327023210756777
-289.4045996218856,848242.7070705289,709211.32898002,75272.86733835538,15486.678674750508,6217.000518771652,30303.049384942035,28884.64362369509,2647.7455759863724,1825.9531293789955,3008.810287681949,0.1475371885683847
-237.14406606554027,859208.1656302437,665177.2526951106,60249.37172437023,15376.060754305674,8706.698221652252,30812.95060840642,33332.89828629826,2274.174339616172,1822.6352935642344,2883.410472944214,0.1424947435230529
-171.2961567698866,803674.6113501051,695327.2987299049,63372.1034546885,16269.595601757454,4950.826582838309,29131.497672312096,27477.970085412133,2266.555775371488,1963.0199972971316,3038.739003536926,0.1286206941671703
-237.46404986166863,792103.7709134674,676248.3355055741,65399.24305549331,16331.708612819422,6092.297861743375,29659.52687310841,20490.83113890552,2484.396586269474,1940.1443964155253,2952.577413512007,0.104442996472685
-215.3101043458542,829125.2537099967,697073.8068739226,79776.61074477437,15964.704162635466,5605.597408311438,28664.451255924163,20903.41734134046,2925.673731393655,1873.1936100826767,3063.632191488869,0.1506205669478045
-154.61101915202158,829710.5825250036,737131.1811012771,58787.57515545375,15945.925104708249,4202.672642552416,29211.864209315165,25550.52029016777,2044.0806077032453,1904.8101586330968,3103.1703201358728,0.1416360692511097
-237.73019705781007,878429.8191695913,729217.3856324875,70076.55403603673,15020.232254911542,6873.7458215064935,30243.72035949589,28219.621546014576,2479.387206953201,1974.1289189005572,3108.360593092643,0.1360465059011076
-189.48683429116565,835865.715225856,630664.2498222865,52036.25865973697,15640.842859486822,10243.702202249358,30549.09356159282,32773.499771312825,1645.3928931098665,1887.44219309698,2864.4675359240778,0.1104694705411687
-194.42990169284863,813860.1174089471,714349.9069734594,67852.73833395739,16103.53197098974,4881.8568881034125,28724.59364042143,37862.31651512804,2549.1562800742004,1995.4034172104084,3078.820547782608,0.131719233121507
-224.51965138581937,827879.2866979602,734079.5887666241,71004.99603694795,15896.490602849024,4402.370699640042,29247.240275890257,30380.42922945344,2623.293234673555,1925.887514080048,3086.310170063238,0.1263220409324487
-195.4644075408801,821671.293900331,632995.0956455098,50000.03261896512,15887.14806251586,10137.834604010644,30122.14317511656,25272.03567862968,1630.858362894032,2153.027198898632,2983.753467202798,0.0816860970238445
-266.43474256459814,862018.8724665114,646889.9504869351,53653.38677491173,15271.879335626323,10232.380778330822,30580.479504765717,27373.495444517783,1980.2276093885064,1912.1960981026316,2950.6230902216003,0.1409641213663574
-273.9990231031368,866197.3002963458,674760.5535767687,66735.04538087622,15315.397823699204,9525.064384766018,30156.23362770909,32999.34252075676,2693.68544306935,1817.63740880208,2961.9823745902704,0.1577806155002764
-127.5424833964741,801187.380523443,698549.662147651,64206.65212702554,16305.463382178425,5413.791107294298,29273.33251341238,26054.463358134,2242.4253732379143,2134.46738427442,2949.731471707292,0.0943954992713567
-97.17033095023592,846839.3073210019,679462.318756971,58944.15446129572,15766.94973269259,7695.386865082727,30353.624368631863,20430.256453501446,1768.8738042532914,1867.182116771245,2926.5342709024017,0.1584466452234956
-246.88036390233648,870045.1323423038,762608.1099963542,62712.59764261378,15084.936779723948,4650.102411991375,30818.450424740586,32639.275491002754,2071.309652475225,1840.6527055529048,3118.476252723161,0.14681052306924
-182.71470279653943,835893.1755867959,715909.9645626744,72195.52682044364,15858.992649194544,5573.196979442598,29673.80197411562,23909.39709380023,2577.7442756558157,1921.9099207919655,3096.730056877583,0.1329686291174129
-228.9229924037517,851552.0634577502,666588.234742825,67590.03313964917,15491.61342860907,9191.885146066978,30669.66347518926,25605.75489651105,2317.061383440268,2024.0227142634071,3058.0758765640003,0.1207778805770892
-257.7010569356823,853562.5018919258,646041.4212566459,71582.71877955063,15445.21717492931,9644.294844994369,29168.60719079686,30889.10522929668,2315.8541679026403,1960.7040419378536,2970.571182892964,0.1312503965439804
-271.3154784818688,830707.7744800698,720087.4744169593,76874.06795055869,15810.86171570374,5500.694660667473,28995.90538976412,30949.940233867743,2723.025758529237,2065.391592376769,3004.0063562514183,0.1006020394248578
-179.71103694003014,801837.1655782473,716658.7127364288,59281.16694642696,16246.403648613064,4315.298043873549,30688.72574196425,22141.88886138169,1969.1603606905169,2076.9031280700083,3012.042953979193,0.0931957410718391
-148.59666080520958,862010.5377847884,715650.7047182446,69221.08506827679,15226.947358013627,6573.352398236787,30228.837858729145,22516.49959200891,2407.856853025047,1903.762104547531,3015.816260260047,0.1363266799704491
-272.11279773259434,850822.0942637341,759063.4783806017,80368.91366092209,15231.767999521304,4331.511361531722,29704.37388301021,34517.90760034369,3109.362309768956,1921.9038725006208,3089.7728756646948,0.1314155699581845
-275.73886913641763,820885.4022888865,695962.3652021779,75135.96326243185,15973.352889394208,6286.959155857899,29068.98291895129,37221.32001042878,2847.7885560064187,1978.774272026796,2961.6457201378016,0.1261725899216109
-237.0101488765996,813301.5748723916,728434.5585687278,68731.45325469412,15955.122181474351,4256.478913219359,29604.563311120884,24258.79044115099,2424.276880826661,2059.274580853175,3040.0507207810297,0.1118571648521716
-173.9303946123504,852834.5454412781,642408.4976102768,93248.62074091926,15486.695057361623,10390.820406012976,29005.03698825785,26241.300914792257,3510.0276281116157,1772.0298765561129,2953.244711916865,0.1358058268671717
-223.0449713316129,858616.9960866703,724581.1780082328,73347.84626438882,15226.214464896162,6712.235918466492,30290.838406427363,30402.93095020096,2358.3809959893497,2091.7169223974115,3041.881314231349,0.1075233014104168
-99.99653863135195,816791.1794123309,701004.067422504,59213.987270834856,15931.317347989523,5833.915441754563,30169.87910475116,31736.239246787427,2158.211354671392,2149.2986447844355,3025.349488787491,0.1220431625482595
