model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
758,-39.84809137838124,768940.3214109618,721898.5383671675,16229.658146549617,27807.7113207355,1488.053233006034,3339.2433380892467,2538.023745374622,,,49997.06425604578,True,900000.0,400000.0,0.09,236087.3429217826,0.0689674003992242
759,-41.24701825475032,784196.0897061459,728563.5243352058,15996.968884951666,28231.95743392832,1718.0924433661733,3309.663659529271,2528.943237161708,,,13796.858935998624,True,900000.0,400000.0,0.1,234191.38264347785,0.0687542381808354
760,-42.76779013212234,770656.4230331407,697923.413895308,16362.42029905286,27281.62748896667,2537.843517101533,3980.7764406406654,2570.347699436728,,,500.0000000730792,True,900000.0,500000.0,0.005,296553.773652894,0.1078392532506396
761,-42.02063032606813,767694.602400567,706719.2756568639,16397.740772303707,27233.94440798974,2110.077661535922,3983.485553367405,2557.344647341184,,,500.0000000016399,True,900000.0,500000.0,0.01,289868.3527134182,0.1043922050940447
762,-40.445430236802665,757680.2168931545,728176.2068285436,16528.281733971424,27021.19437989384,998.2522305439926,3991.678613762957,2562.6887659965755,,,49999.99999999965,True,900000.0,500000.0,0.02,282176.0092990844,0.0988568513985766
763,-40.268456834838815,773008.965087365,702515.658710576,16280.91098082535,27506.19457785972,2400.875764057481,3869.456709342598,2564.151654324784,,,49999.99999984795,True,900000.0,500000.0,0.03,280391.22112507536,0.0955486197116755
764,-38.628679522819965,763593.25643471,721435.0722774575,16400.130865480645,27324.52846528709,1410.4228729997778,3870.075196890106,2537.178577511972,,,49999.99999929328,True,900000.0,500000.0,0.04,265664.98570402595,0.0881111490859341
765,-37.4271945716893,756738.2805469133,736464.0115602433,16479.46500114693,27208.27273987753,664.4671720434058,3854.1655090942186,2543.42633579839,,,49999.99999987486,True,900000.0,500000.0,0.05,257694.94365683812,0.0827192269983809
766,-38.64783076396428,772984.1128292517,701680.8784323748,16225.156622293774,27699.78419690751,2365.362153006636,3734.677886379496,2544.157271252047,,,49999.99999951222,True,900000.0,500000.0,0.06,258443.1544983044,0.0813066786641091
767,-37.63270779430359,769255.3696492789,715954.5479553493,16259.114987958954,27671.20694833893,1734.713425884239,3724.011731105272,2556.948318089604,,,49999.99999966925,True,900000.0,500000.0,0.07,250654.3859349656,0.0761640263534443
