model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
336,-135.86156394791283,830034.5512726962,504675.05070003046,14872.990018830083,30768.85858520146,13223.683721493688,1906.7964996884248,3005.949298718333,,,49999.9999994798,False,1500000.0,200000.0,0.05,,
337,-155.36233111420765,879277.698448937,500000.0000000006,14075.675281737154,32240.10594716696,14565.534197873483,1789.0920008513242,2991.899986635225,,,49958.91358417585,False,1500000.0,200000.0,0.06,,
338,-249.5352914434715,899999.9999977769,716836.5500320486,13656.019109520375,32968.18225331391,5862.073744873938,1727.8454417938997,3999.880466109988,,,49999.99999982024,False,1500000.0,200000.0,0.07,,
339,-226.65590077296736,899999.999989155,500000.00000211183,13636.752187046648,33077.4957685341,14305.411718335445,1583.731528560133,3022.8976643760398,,,49998.20624911216,False,1500000.0,200000.0,0.08,,
340,-282.2031877586724,899999.9999968528,500000.00000075024,13568.89598104806,33241.15766958358,13841.676609007576,1500.2230514747655,3040.480125762535,,,49999.99902477789,False,1500000.0,200000.0,0.09,,
341,-351.7318244768204,899999.9999912621,500000.0000435986,13495.984631624897,33368.62680952711,13530.40287271305,1429.6520423431857,3057.591086845017,,,49999.99999936123,False,1500000.0,200000.0,0.1,,
342,-227.3348795306265,774751.1626962917,542745.6154939823,15999.574236674076,28490.692428620056,10717.542723785396,3141.0154664161587,3154.528211924286,,,500.0342556067147,False,1500000.0,250000.0,0.005,,
343,-199.9308753401146,717474.1971024306,636249.7136974721,16830.18814909956,26928.82134491849,3530.677173414559,3360.6929181791456,3624.823201695017,,,31768.980819717606,False,1500000.0,250000.0,0.01,,
344,-141.30512646173236,719384.0334094842,538847.6090324082,16756.362634926958,27173.656694096484,8042.025031738475,2788.661709234116,3161.7853924842734,,,49999.8607671501,False,1500000.0,250000.0,0.02,,
345,-111.85149600242283,753284.0780132452,522859.9042938377,16181.742474158624,28365.63596415174,9925.697628139467,2565.5582199381474,3090.0642602893654,,,49999.99999935173,False,1500000.0,250000.0,0.03,,
346,-104.2595609880795,781332.2969640887,504948.78458484105,15694.596816843568,29348.873759726717,11547.850398672615,2378.348824748511,3003.571810187704,,,49999.9999997792,False,1500000.0,250000.0,0.04,,
347,-113.31044345075782,833651.9272193054,500000.7703961006,14835.94955591871,30915.899539483224,13464.148973489808,2261.4955352085376,2987.6170169859315,,,49999.516635046064,False,1500000.0,250000.0,0.05,,
348,-132.09105854290632,874979.5062182869,500000.0007202876,14151.371885149903,32157.03087220004,14416.952081238507,2172.625062513201,3001.658122284678,,,49999.1326132162,False,1500000.0,250000.0,0.06,,
349,-158.4224053512419,899999.9531082459,500000.1239905414,13712.960196704174,32927.89648212348,14818.789516720317,2089.967534315645,3015.975672326819,,,49995.97095181757,False,1500000.0,250000.0,0.07,,
350,-198.0579198157771,899999.9999991854,500000.272938848,13647.979524535487,33078.73798207702,14419.016274155894,2005.91277065603,3033.0142843183685,,,49737.29238177041,False,1500000.0,250000.0,0.08,,
351,-251.16923028205068,899999.9999944132,500000.0016866656,13583.936689801474,33266.6988684026,13892.362069513332,1932.0148534249215,3051.6782550982,,,49999.99999987336,False,1500000.0,250000.0,0.09,,
352,-318.0777334802791,899999.99999002,500000.11677216354,13516.31230350866,33434.601727057445,13444.147611839286,1866.1662889819163,3070.657390282945,,,49999.99999951506,False,1500000.0,250000.0,0.1,,
353,-235.02695605536545,727573.5825668962,640877.8825820938,16704.522599376196,27130.73876835722,3817.725625191691,3585.024878266583,3636.717581569319,,,500.0001051721477,False,1500000.0,300000.0,0.005,,
354,-200.55175911067764,680637.9108714841,600791.7647997813,17395.984838500695,25805.24056032559,3577.9036993896907,3323.747007779481,3465.238294625419,,,500.000002375791,False,1500000.0,300000.0,0.01,,
355,-135.73082644286717,741990.0802412448,544354.5124399386,16414.80126842721,27844.692232970938,8736.068495728103,2952.473618445302,3193.6691358380585,,,25474.15901533138,False,1500000.0,300000.0,0.02,,
356,-103.71500515848706,750510.8130741104,531465.3284299002,16224.284444975234,28283.13835513368,9405.285708193338,2776.6828594384388,3141.8252057043237,,,49999.99999996856,False,1500000.0,300000.0,0.03,,
357,-93.10112389332404,776118.0452236799,516347.415570157,15776.26273017297,29205.6234062195,10806.331571173054,2626.0069440323005,3074.2884352161186,,,49999.99999996963,False,1500000.0,300000.0,0.04,,
358,-99.29412608308472,819009.655984431,502749.86996806046,15065.185528054182,30554.752288116888,12707.26615953483,2507.026014893885,3010.544592076854,,,49999.99999999503,False,1500000.0,300000.0,0.05,,
359,-120.97001634378564,851270.7176819076,547723.639142424,14517.334121450758,31616.82106404485,11440.028402623904,2539.2032748362462,3306.829766701392,,,49999.998144015786,False,1500000.0,300000.0,0.06,,
360,-145.09607308469077,899999.9999987282,545349.6001434808,13711.908416411745,32917.266573969995,12929.096983535452,2461.3692914133526,3278.7754324095654,,,49997.184543560135,False,1500000.0,300000.0,0.07,,
361,-177.39085683699648,899999.9999978681,500000.0010311944,13659.12777998428,33101.472753582755,14373.775704999263,2310.55360331361,3039.9452584716846,,,49999.99999987646,False,1500000.0,300000.0,0.08,,
362,-265.5505620026849,899999.9999966242,660360.8999875207,13562.65830012975,33256.24335816625,7638.847439262548,2412.4987649801524,3856.904486579289,,,49999.99999992051,False,1500000.0,300000.0,0.09,,
363,-292.9324744179595,899999.999993972,500000.2132357214,13527.32940610993,33437.19719689283,13474.861593013473,2197.1945942133966,3078.0762033085634,,,49999.99999997993,False,1500000.0,300000.0,0.1,,
364,-237.6148738687889,698532.8931877345,631107.641782029,17148.653001171257,26251.468060650805,3006.8419535376856,3607.9022030711553,3594.967010744052,,,500.0005185416621,False,1500000.0,400000.0,0.005,,
365,-193.8151061699804,727057.9229975429,623367.287730536,16687.414220571543,27211.590439995864,4538.965187061031,3518.6703416651853,3569.8242329335912,,,500.0000000000118,False,1500000.0,400000.0,0.01,,
366,-136.74991052427376,706315.2987995704,624074.6338895651,16944.09782371819,26798.46925829795,3484.7514031430105,3412.514409187133,3596.9554356448466,,,500.0000730277664,False,1500000.0,400000.0,0.02,,
367,-94.10475979673248,746133.4817067153,533903.5162198498,16296.384115910576,28148.341819526835,9114.15934734716,3016.8549769357546,3157.858690246978,,,22635.24874279132,False,1500000.0,400000.0,0.03,,
368,-79.89716357571922,771139.310462539,522995.8429933164,15858.730608475957,29056.14575411833,10304.264347636568,2923.3155407006325,3115.80491078771,,,49999.999999579006,False,1500000.0,400000.0,0.04,,
369,-83.28347765338171,809097.8605952502,527852.9235806387,15219.41656939188,30276.779854564626,11195.303493239548,2893.781688803681,3160.054687757283,,,49999.82227858439,False,1500000.0,400000.0,0.05,,
370,-97.71059099927596,865871.5703294504,503813.185021669,14303.706496385255,31915.41630845153,13950.440096624729,2780.955130353916,3034.0272358111315,,,49999.99999942465,False,1500000.0,400000.0,0.06,,
371,-119.26287649520005,899999.9999998601,506033.63552952535,13714.864547370938,32888.62907099628,14635.429377362232,2756.188028335477,3060.4876576911784,,,49999.99999973808,False,1500000.0,400000.0,0.07,,
372,-152.7076120536047,899999.9999978617,500000.000012984,13670.817601899387,33073.14490198747,14424.168029833832,2705.598727331166,3044.749288895469,,,49999.999999551655,False,1500000.0,400000.0,0.08,,
373,-200.2979770620909,899999.9999999992,500000.00000355067,13607.797163474504,33247.8975075742,13946.992828783346,2674.5355492380413,3064.43075018698,,,49999.98652873976,False,1500000.0,400000.0,0.09,,
374,-261.8453915827938,899999.9999962373,500001.0035258167,13540.71390931662,33404.142128147105,13542.274931679003,2644.5058343268465,3084.252833888817,,,49999.999999326144,False,1500000.0,400000.0,0.1,,
375,-232.67098345890565,730528.8256807725,634208.6640160235,16661.139256905648,27204.10005323601,4260.107251232563,3649.380491539159,3605.606532555368,,,500.0000000056664,False,1500000.0,500000.0,0.005,,
376,-193.89890102801823,712743.7165214939,623864.497923536,16909.275848793306,26771.55960555428,3902.6311336247686,3581.0483530906413,3571.0779278865243,,,500.0000000037009,False,1500000.0,500000.0,0.01,,
377,-130.62456286107343,692562.6855907785,520575.9239536771,17168.35345601185,26306.18869322248,7870.571755037018,3101.78411044326,3060.7140414737155,,,500.0000000000003,False,1500000.0,500000.0,0.02,,
378,-91.54166282958457,765326.8369249253,580770.9652886705,16001.578278153163,28696.604277597053,7675.492738447546,3331.335374499633,3405.4250321254203,,,500.0000000137031,False,1500000.0,500000.0,0.03,,
379,-72.96839653540317,769289.4547060996,525191.1889495584,15892.523607957724,28976.84670220077,10138.333724825912,3085.592435205351,3126.8205545865326,,,49999.99999989431,False,1500000.0,500000.0,0.04,,
380,-74.53785908117737,812310.4320098762,518267.830555649,15177.189341665244,30339.844233759795,11747.484194412067,3041.502782159509,3103.871977392851,,,49999.99999989129,False,1500000.0,500000.0,0.05,,
381,-87.83447077343101,863377.2891191631,509695.8455805812,14347.787011493678,31828.47082339357,13606.83809122814,2995.1209807300584,3068.1890622681944,,,49999.99999945893,False,1500000.0,500000.0,0.06,,
382,-107.8585844184671,899999.9999941974,500874.1558125884,13740.876051736206,32882.47115291304,14832.824250100197,2951.3252373308496,3030.382900178356,,,49999.99999939072,False,1500000.0,500000.0,0.07,,
383,-139.85545854743506,899999.9999999272,500000.4148083018,13681.251605071622,33048.346259045386,14419.023149114377,2937.76553983428,3044.5437009030493,,,49999.99999983471,False,1500000.0,500000.0,0.08,,
384,-185.81359925387744,899999.9999999496,500000.2578572871,13617.147547729715,33212.237413436786,13963.139344841236,2927.155983826836,3064.071473275942,,,49999.99999974403,False,1500000.0,500000.0,0.09,,
385,-245.6708865562352,899999.9999978729,500006.264204738,13551.828015151355,33375.0522802469,13544.02997516351,2917.7249270556417,3084.773439872181,,,49999.99999975372,False,1500000.0,500000.0,0.1,,
386,-214.89457247291165,779438.5911644506,546832.3788494735,15918.734760840562,28598.389096677336,10653.418453435565,2810.088468212137,3167.2752372114865,,,49999.99999986687,False,1700000.0,100000.0,0.005,,
387,-191.5972477379008,779566.7918518622,525215.9352205673,15880.989723914448,28691.26114639709,11518.304279698312,2236.8395696055613,3053.21488531884,,,49999.92155171302,False,1700000.0,100000.0,0.01,,
388,-178.27149724381655,809418.4202562518,500046.8991701918,15310.4446723089,29669.96404291024,13458.76292769745,1149.6962459763192,2910.249868366976,,,49999.99926208042,False,1700000.0,100000.0,0.02,,
389,-248.29822328734477,899999.9924305821,500000.005985491,13877.19146076524,32431.330296313376,16240.742843539838,1000.0000000017424,2993.102489556588,,,8471.426376220405,False,1700000.0,100000.0,0.03,,
390,-628.200767077268,899999.9999999976,500000.0167560605,13780.08654184729,32904.88371238872,15571.033656131614,1000.0000000008986,3110.516974774136,,,5041.951501039582,False,1700000.0,100000.0,0.04,,
391,-1331.106193105939,899999.9999999992,500000.009169528,13583.501365584412,33308.13167929679,14942.668548997965,1000.000000000022,3222.1551115662432,,,3125.406314483702,False,1700000.0,100000.0,0.05,,
392,-2323.6059255497885,899999.9999999992,500000.0000054744,13290.604316435993,33625.011494766426,14349.046440425687,1000.0000000002236,3328.6985307444274,,,2398.5707861621736,False,1700000.0,100000.0,0.06,,
393,-3566.0699072795915,899999.9999999992,500000.0874550417,12912.51942028039,33883.41052207507,13776.701952757565,1000.0000000004252,3431.2278806541512,,,1563.9762717325357,False,1700000.0,100000.0,0.07,,
394,-5225.937431613373,899999.9999968576,803469.0111477637,12349.931778385377,34088.852013389616,2522.44023029508,1000.0000003552756,4952.724782136757,,,1101.405597278418,False,1700000.0,100000.0,0.08,,
395,-6623.683844997013,899999.9999999976,500000.01351014577,11916.488350852298,34183.783346379205,12678.105169130828,1000.0000000000762,3625.42954725568,,,500.0581587659545,False,1700000.0,100000.0,0.09,,
396,-8348.23008907937,899999.9999999992,500000.11692532816,11315.384326448862,34226.601067353906,12143.041574058156,1000.0000000000256,3718.073874999364,,,500.0145464695141,False,1700000.0,100000.0,0.1,,
397,-229.6932243343996,727154.035489455,666190.2582098104,16701.863957349815,27126.4815581967,2628.201712351137,3402.306966177497,3737.161526160032,,,49999.99999993241,False,1700000.0,150000.0,0.005,,
398,-188.9581717229617,740188.0778718407,622109.0629749717,16466.852982165892,27641.010420171,5110.760847793939,2899.989270303983,3554.210807456231,,,49999.99999988827,False,1700000.0,150000.0,0.01,,
399,-146.78557841510838,774308.4395150238,500000.0001352391,15876.23938380522,28836.01517538376,12131.515212336531,2038.345939547116,2932.332668351381,,,49999.99999972778,False,1700000.0,150000.0,0.02,,
400,-145.40433995732468,802746.7079289963,500000.0004669356,15351.715937788962,29869.712958837637,12731.686240977406,1654.4546492492211,2947.9789824313216,,,49999.99999994894,False,1700000.0,150000.0,0.03,,
401,-168.23462098159973,856462.4798164559,500530.2943541364,14445.445579287118,31520.726315062955,14182.681711144782,1398.461231472862,2966.2987611497592,,,49999.99999998882,False,1700000.0,150000.0,0.04,,
402,-212.5925379456387,899999.9999999976,522115.8354377073,13684.504731389325,32794.402580014415,14325.722338487867,1226.4738738857843,3104.3170371058086,,,49999.99999989591,False,1700000.0,150000.0,0.05,,
403,-266.6211924073361,899999.9999996155,500000.00279443554,13604.103548241032,33061.958572771466,14558.816225632074,1087.9960497137197,2999.7622609747173,,,49999.9999996013,False,1700000.0,150000.0,0.06,,
404,-351.64166119229446,899999.9999998441,500000.0108614298,13514.420966992771,33306.67974646965,13981.193300650812,1000.0000419659372,3026.0405992271108,,,49999.98402661035,False,1700000.0,150000.0,0.07,,
405,-481.4410816417828,899999.9999996842,500000.0002187039,13435.02475538685,33651.68268547902,13425.37894210829,1000.0000000007218,3081.3864280003454,,,16589.675448622165,False,1700000.0,150000.0,0.08,,
406,-665.4427869765875,899999.9999980854,500000.0372263387,13342.192991304655,33970.859257077216,12970.248667846388,1000.0000000010344,3137.1299549080763,,,9528.143332394013,False,1700000.0,150000.0,0.09,,
407,-901.2210924029112,899999.9999999208,500000.0023740997,13237.035185142417,34328.139496738506,12370.916549365507,1000.0000000011908,3195.519886077684,,,6963.463370768013,False,1700000.0,150000.0,0.1,,
408,-218.70442125252973,763269.1988296262,604037.11243538,16160.01973870238,28198.01265773329,7089.597159978609,3308.849324043312,3466.635248928984,,,49999.999994963946,False,1700000.0,200000.0,0.005,,
409,-189.1686637428953,740603.2940848424,669147.0482570216,16457.74338985744,27678.422147348225,3000.194504923204,3257.620538173207,3763.3195272002113,,,49999.86795924816,False,1700000.0,200000.0,0.01,,
410,-130.2069382000607,763184.0536725053,520218.42519223416,16051.064351896004,28559.75375964697,10679.78864932519,2452.085243958505,3058.9882157125603,,,49999.99999998287,False,1700000.0,200000.0,0.02,,
411,-119.3786291503111,788835.1696437703,500000.0000000904,15574.839744979889,29530.20543394239,12248.321814563838,2145.5638313096947,2961.4414152436257,,,49999.99999965202,False,1700000.0,200000.0,0.03,,
412,-138.55272196410994,818639.5223142835,500000.00000008056,15034.80380472152,30594.37068742893,12868.624113568929,1946.0103711303077,2980.5174766334026,,,49999.99999980665,False,1700000.0,200000.0,0.04,,
413,-174.61840526754156,899999.951293162,500000.2273107444,13711.346499271578,32881.75958057251,15284.754716609556,1814.2414966582205,2994.2998695017604,,,49999.99999983454,False,1700000.0,200000.0,0.05,,
414,-233.35029659917305,899999.9739309726,500000.1578569966,13621.086397127185,33093.51923548631,14785.24670002465,1673.5872637040543,3014.0906278667526,,,49999.99999968897,False,1700000.0,200000.0,0.06,,
415,-317.6758564673088,899999.9999999752,504760.0501715509,13527.46780468711,33333.78604630363,13972.690633413848,1561.1601063104931,3063.5555986304103,,,49999.99999967325,False,1700000.0,200000.0,0.07,,
416,-425.20640488239474,899999.9999924212,500000.0002653368,13433.230257397949,33588.23283822995,13540.042164999715,1466.39492968863,3059.033228428488,,,49999.993410077965,False,1700000.0,200000.0,0.08,,
417,-559.2320322566476,899999.9999999992,500000.0000011117,13330.439838693808,33818.88882667115,13006.574349755145,1389.6381131909031,3082.7501412658494,,,49999.997169050745,False,1700000.0,200000.0,0.09,,
418,-719.3985137284538,899999.9999970255,500000.0010643226,13221.029747073486,34005.9427880281,12648.78049158288,1326.105547146832,3105.9708094202674,,,49999.99999983525,False,1700000.0,200000.0,0.1,,
419,-230.60904516312013,707462.0472505684,666313.7013053916,16999.389559734194,26550.59419205304,1780.2985348304096,3597.2647437504056,3745.857211173,,,500.0000000006238,False,1700000.0,250000.0,0.005,,
420,-184.1922029255477,743002.9279680522,661997.6139028305,16421.531872136846,27752.398685099382,3418.146660246481,3392.901846001888,3738.116907685959,,,41377.20401314126,False,1700000.0,250000.0,0.01,,
421,-120.41098659059476,757245.3859006449,533418.2687525766,16145.041920903384,28406.967680353275,9783.58888873198,2717.0806193429903,3139.2734833651134,,,49999.99999983525,False,1700000.0,250000.0,0.02,,
422,-103.56713970297028,782861.4810231936,510509.4462630252,15674.409106033294,29385.82994983171,11504.046951510849,2463.036175170876,3030.6882630750097,,,49999.99999986447,False,1700000.0,250000.0,0.03,,
423,-116.88401796944702,839573.9468029031,500000.00077732105,14728.79106327531,31167.54596026489,13675.450606492575,2301.2247227877265,2987.930916995444,,,49999.99999999769,False,1700000.0,250000.0,0.04,,
424,-150.06655572980594,899999.9942413032,500000.00556369947,13724.98359822439,32916.02781098745,15271.351419930072,2194.697462598388,3004.3807395045387,,,49999.99999984946,False,1700000.0,250000.0,0.05,,
425,-204.09924053438937,899999.9999999016,500000.0427296507,13639.032338319708,33149.71281721441,14697.980847792836,2083.33807244364,3025.816010689291,,,49999.99999982725,False,1700000.0,250000.0,0.06,,
426,-283.9794142493416,899999.999992669,500000.0021475432,13546.553036325842,33383.49011969093,14141.401664315548,1985.956482226104,3047.842753873093,,,49999.99999997958,False,1700000.0,250000.0,0.07,,
427,-389.5152038273858,899999.9999748304,500000.0000142994,13450.109985745412,33615.708350801826,13600.512513153508,1901.273570332386,3070.815297466158,,,49999.98490703185,False,1700000.0,250000.0,0.08,,
428,-520.5193409592214,899999.9999989328,500000.0140715225,13349.07257278757,33850.14621369235,13074.445606161657,1827.491239525653,3094.809732683689,,,49999.99909139287,False,1700000.0,250000.0,0.09,,
429,-676.7921553681986,899999.9999967137,500002.4096946708,13240.006923057545,34072.750648506364,12566.036253847757,1761.278714885591,3118.370874440312,,,49999.99999965663,False,1700000.0,250000.0,0.1,,
430,-220.0699058484752,746696.1204748118,624578.1111814587,16402.93507939317,27718.99837937749,5390.939892389732,3505.200846270232,3565.2700859604274,,,500.0000000167664,False,1700000.0,300000.0,0.005,,
431,-179.1411632212908,700085.3354096407,604294.5523516855,17083.642984042926,26465.77308183601,4238.716903210541,3306.188181241892,3486.153107792399,,,500.00000000500427,False,1700000.0,300000.0,0.01,,
432,-114.05797413477808,753452.217431391,538296.5095812327,16206.978779522706,28303.23223590659,9393.318044580465,2887.5881059345224,3169.783790521634,,,49999.99999773577,False,1700000.0,300000.0,0.02,,
433,-93.0894061301397,777184.2735802964,521339.50503013766,15764.70223863761,29229.965519451864,10762.630684492837,2693.40158475556,3097.355420477671,,,49999.999999950975,False,1700000.0,300000.0,0.03,,
434,-103.07177133587687,829894.7447690933,504768.1811153593,14881.8358848575,30918.23505834268,13103.641587803926,2542.686318831941,3021.60959835168,,,49999.99999968337,False,1700000.0,300000.0,0.04,,
435,-133.46792051461202,899999.1432437093,500000.0000287367,13732.025052361025,32916.76014184052,15289.306140456962,2453.2653310542264,3009.8284862379687,,,49999.99999997469,False,1700000.0,300000.0,0.05,,
436,-184.2089862445912,899999.9999999336,501601.95376439294,13644.432735239488,33127.72780716182,14745.797274973524,2371.7987811470653,3040.8339863604147,,,49999.99999966178,False,1700000.0,300000.0,0.06,,
437,-260.3012386239521,899999.999999956,500000.00068021385,13557.71642354047,33387.390554973754,14168.751919876788,2293.892844492116,3055.009069436272,,,49999.99999999264,False,1700000.0,300000.0,0.07,,
438,-362.5776630523653,899999.9999924228,500000.0429727878,13462.800629919584,33621.82252572654,13632.701636047994,2225.759729364619,3078.6640543019807,,,49999.999999602456,False,1700000.0,300000.0,0.08,,
439,-490.5942788905341,899999.9999999976,500002.3992664992,13360.486543323435,33835.21780224434,13175.136811634911,2163.711278610927,3102.5389700837545,,,49999.99999954393,False,1700000.0,300000.0,0.09,,
440,-643.7016755384149,899999.9999970879,500006.72013738,13253.394249422729,34078.70344487341,12611.054283676216,2106.636931689653,3126.913142309462,,,49999.9999999413,False,1700000.0,300000.0,0.1,,
441,-214.52944291049425,767544.0246911037,579676.087174807,16095.515366208789,28319.318195977707,8481.9670982135,3385.5493189328517,3350.861657468976,,,500.0000000238283,False,1700000.0,400000.0,0.005,,
442,-181.95031340198489,700820.1127321455,656738.7139272213,17063.94614238625,26485.72128864538,1881.6891391356337,3616.144863315084,3722.884682946163,,,500.00000345101085,False,1700000.0,400000.0,0.01,,
443,-121.21703705699105,689086.3732747854,650004.7524961696,17163.62019718297,26384.589545217263,1608.1135855304003,3454.819534279294,3723.0360856116095,,,49999.999999307314,False,1700000.0,400000.0,0.02,,
444,-80.72629220585821,774223.5865302618,527105.8486438444,15813.855187095667,29132.379445609266,10380.595055132582,2963.075505780941,3132.8703505284893,,,49999.9999996378,False,1700000.0,400000.0,0.03,,
445,-86.6051983264995,823563.7057990872,515207.6836223516,14983.320793866957,30733.984428469656,12385.08900687416,2866.450837433728,3086.314702812488,,,49999.999999550855,False,1700000.0,400000.0,0.04,,
446,-113.77086321165606,896882.182738902,503196.209155773,13786.920715612234,32821.151482412446,15051.40126658185,2785.2559856835464,3032.913461300643,,,49999.99999996341,False,1700000.0,400000.0,0.05,,
447,-159.73895723913293,899999.9999967106,502306.79466454295,13658.339537302008,33132.92761486032,14638.891710587806,2740.422326590824,3050.806834182197,,,49999.9998292731,False,1700000.0,400000.0,0.06,,
448,-231.65506119520347,899999.9999920567,500000.00001066143,13570.33739785206,33359.04601895339,14218.541639568211,2693.6572622964245,3060.7034307946847,,,49999.9999995155,False,1700000.0,400000.0,0.07,,
449,-329.4128622672057,899999.9999957961,500000.0000246253,13477.604863784023,33598.55581221596,13665.352451764827,2657.16354749018,3085.4478787242806,,,49999.86518744096,False,1700000.0,400000.0,0.08,,
450,-452.802112173286,899999.9999994716,500000.0000252657,13377.878827980288,33821.8556298425,13175.814634254542,2622.059478731069,3110.314244928249,,,49999.9999997514,False,1700000.0,400000.0,0.09,,
451,-601.4863712310488,899999.9999997385,500080.7958026265,13276.560649031204,34073.83792541424,12643.615865289314,2590.9057416220185,3137.613813957266,,,49999.98711564711,False,1700000.0,400000.0,0.1,,
452,-221.306910453428,718187.9311131211,624313.687470032,16846.24129281087,26868.98880394701,4176.52559102041,3606.984262880245,3564.709150928542,,,500.0000978558373,False,1700000.0,500000.0,0.005,,
453,-181.0993621281216,693756.2653556836,654784.7787947317,17174.883115143755,26255.150940464177,1668.6626445524548,3686.336366297905,3714.3396888953225,,,500.0000000030738,False,1700000.0,500000.0,0.01,,
454,-105.63080476629813,746751.6162650799,600101.4608732364,16302.764318366815,28091.99057116901,6185.753927107006,3426.5297693147368,3490.9079801953485,,,500.00000000000296,False,1700000.0,500000.0,0.02,,
455,-74.24306475966509,772825.6242945042,527916.0004289228,15842.031863470518,29072.258989745253,10293.660757216996,3104.4077030699355,3136.289086071407,,,49999.99999979013,False,1700000.0,500000.0,0.03,,
456,-78.00768881370024,821379.8030205768,517944.5216150443,15024.09243355368,30650.41235517856,12185.078560719774,3042.124169159908,3101.4225457955963,,,49999.999999879656,False,1700000.0,500000.0,0.04,,
457,-103.41711441145492,892857.8144068316,507739.30760294746,13858.369505286615,32704.621697389262,14711.505259263413,2985.736862915411,3059.765720493196,,,49999.9999998523,False,1700000.0,500000.0,0.05,,
458,-147.51505610228634,899999.9999999688,513443.8237750917,13664.00465752928,33088.692196195334,14206.510610158828,2990.3491023058923,3115.748534811384,,,49999.999999854255,False,1700000.0,500000.0,0.06,,
459,-216.9439160234051,899999.9999994716,500000.0000003479,13581.314244284418,33331.93157011025,14216.974749169138,2928.2057278263287,3060.8530834393814,,,49999.99999993686,False,1700000.0,500000.0,0.07,,
460,-312.399491173401,899999.9999976219,500000.1163896348,13488.20475350912,33556.80638644902,13702.87072173258,2915.3053183750912,3085.6850901421667,,,49999.99999964429,False,1700000.0,500000.0,0.08,,
461,-433.36875133660686,899999.9999999816,500000.9498360112,13390.460349937828,33785.0462477812,13198.505056131198,2902.923018421142,3111.2679343412324,,,49999.999999530606,False,1700000.0,500000.0,0.09,,
462,-579.5670720685671,899999.9999966482,500000.0000003994,13288.74770621375,34018.22112576523,12700.83082092034,2891.507031826703,3137.843147991331,,,49999.99999956489,False,1700000.0,500000.0,0.1,,
463,-216.39259831301592,751922.4078403855,642831.5296977488,16317.029646833347,27850.4650908924,4724.083376736136,3043.438830913377,3633.114779795299,,,49999.99999978551,False,1900000.0,100000.0,0.005,,
464,-214.71329028185764,724525.1187125113,664249.5949130498,16667.92480519637,27181.01776489549,2511.336159724304,2272.014635876108,3726.186185559565,,,29162.80138229041,False,1900000.0,100000.0,0.01,,
465,-172.51094402354622,817536.2988984272,500004.5716073295,15151.246481035374,30045.03868762469,13568.287461156811,1000.0000000037426,2928.0305693007303,,,29372.39730868733,False,1900000.0,100000.0,0.02,,
466,-403.4218963677885,899999.9999959144,500000.04345154087,13827.976724189291,32772.02316873861,15856.90565223334,1000.0000000049932,3056.1310938936185,,,7180.234720434317,False,1900000.0,100000.0,0.03,,
467,-1096.2033301140264,899999.9999999992,500000.0000023436,13655.372515137777,33319.189621513186,15095.823550038083,1000.0000000000042,3191.621559634083,,,4605.792246243086,False,1900000.0,100000.0,0.04,,
468,-2219.8228466492656,899999.9999997114,500000.0000198674,13354.61282208062,33756.0901536815,14424.831280786302,1000.0000000054372,3320.288982335656,,,3082.0578292664254,False,1900000.0,100000.0,0.05,,
469,-3965.515720040524,899999.9999962965,860642.4015161253,12829.325469426369,34152.15661552664,1018.027411951644,1000.0000007146024,5009.122794950109,,,2223.672957741888,False,1900000.0,100000.0,0.06,,
470,-5764.512644538034,899999.99996739,815309.4204129184,12301.26605828649,34444.599053581034,2153.860827848003,1000.00000010208,5031.584617498127,,,1333.4815880296023,False,1900000.0,100000.0,0.07,,
471,-7589.079131964221,899999.9999999992,500000.1472016758,11773.777845862887,34635.62560932377,12400.00455691709,1000.0000000000008,3684.374676451364,,,602.1006298718181,False,1900000.0,100000.0,0.08,,
472,-9818.764080275829,899999.9999965411,500001.6883071642,11039.479341960792,34741.975250236166,11759.528446477558,1000.0000000119512,3799.899456978788,,,500.0885408293044,False,1900000.0,100000.0,0.09,,
473,-12153.101218307742,899999.9999999064,500000.00328811887,10212.822983113232,34712.01846642517,11123.146538716885,1000.0000000008692,3912.726555815009,,,500.0110770336645,False,1900000.0,100000.0,0.1,,
474,-222.33183870444415,714907.5360927278,666968.6531412506,16883.08015149629,26795.7498773541,2061.960432842915,3344.71507355871,3743.179450348807,,,49999.99999957501,False,1900000.0,150000.0,0.005,,
475,-169.67189445207848,772721.6668225386,533519.4384249485,15964.73676172454,28629.74199979664,10761.144937901538,2556.5837461513847,3111.335103814783,,,49999.99999949365,False,1900000.0,150000.0,0.01,,
476,-142.34508383507222,808145.8327640628,500000.0000019173,15316.149206913044,29907.359463613742,13308.800325828535,1921.1551979948397,2938.072938489151,,,49999.99999954526,False,1900000.0,150000.0,0.02,,
477,-161.40857251468535,824968.9747315003,500000.00071687694,14940.601579479797,30651.177108695847,13347.780332879243,1514.7487025932442,2957.2916334587007,,,49999.99999953353,False,1900000.0,150000.0,0.03,,
478,-212.258834383618,896733.8766148515,500000.1470220141,13733.06811115413,32794.054774979166,15198.450455503287,1281.6003592548518,2976.489512205517,,,49999.99885034187,False,1900000.0,150000.0,0.04,,
