model,rep,ll
deep_struc_model,12,-64.07064950598239
deep_struc_model,13,-59.97256249050159
deep_struc_model,14,
deep_struc_model,15,
deep_struc_model,16,
deep_struc_model,17,
deep_struc_model,18,
deep_struc_model,19,
deep_struc_model,20,-49.08622908145347
deep_struc_model,21,
deep_struc_model,22,-81.65076487177552
deep_struc_model,23,
deep_struc_model,24,
deep_struc_model,25,
deep_struc_model,26,-68.6482616978371
deep_struc_model,27,-69.96158443374831
deep_struc_model,28,-72.34852877776942
deep_struc_model,29,
deep_struc_model,30,
deep_struc_model,31,
deep_struc_model,32,-55.87829128534122
deep_struc_model,33,
deep_struc_model,34,
deep_struc_model,35,-65.59894815813746
deep_struc_model,36,
deep_struc_model,37,-80.12315242094411
deep_struc_model,38,-78.3115297950073
deep_struc_model,39,-95.75667137582317
deep_struc_model,40,
deep_struc_model,41,
deep_struc_model,42,
deep_struc_model,43,
deep_struc_model,44,
deep_struc_model,45,
deep_struc_model,46,-57.56195283406714
deep_struc_model,47,
deep_struc_model,48,
deep_struc_model,49,
deep_struc_model,50,
deep_struc_model,51,-57.12070769479399
deep_struc_model,52,
deep_struc_model,53,
deep_struc_model,54,
deep_struc_model,55,
deep_struc_model,56,
deep_struc_model,57,
deep_struc_model,58,-74.63817398721525
deep_struc_model,59,
deep_struc_model,60,-66.0343078296851
deep_struc_model,61,-65.81845120156703
deep_struc_model,62,-59.67196853832878
deep_struc_model,63,
deep_struc_model,64,-61.75553131740064
deep_struc_model,65,-63.537686770052275
deep_struc_model,66,
deep_struc_model,67,
deep_struc_model,68,
deep_struc_model,69,
deep_struc_model,70,
deep_struc_model,71,
deep_struc_model,72,
deep_struc_model,73,
deep_struc_model,74,
deep_struc_model,75,
deep_struc_model,76,-65.38450477240113
deep_struc_model,77,-53.24627581884957
deep_struc_model,78,
deep_struc_model,79,-72.18788720649324
deep_struc_model,80,
deep_struc_model,81,
deep_struc_model,82,
deep_struc_model,83,
deep_struc_model,84,-61.54183048113548
deep_struc_model,85,
deep_struc_model,86,
deep_struc_model,87,
deep_struc_model,88,
deep_struc_model,89,-67.00084769405917
deep_struc_model,90,-75.86036260427642
deep_struc_model,91,
deep_struc_model,92,-61.51833043879979
deep_struc_model,93,
deep_struc_model,94,-80.86487354571078
deep_struc_model,95,
deep_struc_model,96,-59.15176172033571
deep_struc_model,97,
deep_struc_model,98,
deep_struc_model,99,
shallow_struc_model,0,
shallow_struc_model,1,
shallow_struc_model,2,
shallow_struc_model,3,
shallow_struc_model,4,
shallow_struc_model,5,
shallow_struc_model,6,
shallow_struc_model,7,
shallow_struc_model,8,
shallow_struc_model,9,
shallow_struc_model,10,
shallow_struc_model,11,
shallow_struc_model,12,
shallow_struc_model,13,
shallow_struc_model,14,
shallow_struc_model,15,
shallow_struc_model,16,
shallow_struc_model,17,
shallow_struc_model,18,
shallow_struc_model,19,
shallow_struc_model,20,
shallow_struc_model,21,
shallow_struc_model,22,
shallow_struc_model,23,
shallow_struc_model,24,
shallow_struc_model,25,
shallow_struc_model,26,
shallow_struc_model,27,
shallow_struc_model,28,
shallow_struc_model,29,
shallow_struc_model,30,-76.75284835498005
shallow_struc_model,31,
shallow_struc_model,32,
shallow_struc_model,33,
shallow_struc_model,34,
shallow_struc_model,35,
shallow_struc_model,36,
shallow_struc_model,37,
shallow_struc_model,38,
shallow_struc_model,39,
shallow_struc_model,40,
shallow_struc_model,41,
shallow_struc_model,42,
shallow_struc_model,43,
shallow_struc_model,44,
shallow_struc_model,45,
shallow_struc_model,46,
shallow_struc_model,47,
shallow_struc_model,48,
shallow_struc_model,49,
shallow_struc_model,50,
shallow_struc_model,51,
shallow_struc_model,52,
shallow_struc_model,53,
shallow_struc_model,54,
shallow_struc_model,55,
shallow_struc_model,56,
shallow_struc_model,57,
shallow_struc_model,58,
shallow_struc_model,59,
shallow_struc_model,60,
shallow_struc_model,61,
shallow_struc_model,62,
shallow_struc_model,63,
shallow_struc_model,64,
shallow_struc_model,65,
shallow_struc_model,66,
shallow_struc_model,67,-70.35242039248807
shallow_struc_model,68,
shallow_struc_model,69,
shallow_struc_model,70,
shallow_struc_model,71,
shallow_struc_model,72,
shallow_struc_model,73,-81.86025916576992
shallow_struc_model,74,
shallow_struc_model,75,
shallow_struc_model,76,
shallow_struc_model,77,
shallow_struc_model,78,
shallow_struc_model,79,
shallow_struc_model,80,
shallow_struc_model,81,
shallow_struc_model,82,
shallow_struc_model,83,
shallow_struc_model,84,
shallow_struc_model,85,
shallow_struc_model,86,
shallow_struc_model,87,
shallow_struc_model,88,
shallow_struc_model,89,
shallow_struc_model,90,
shallow_struc_model,91,
shallow_struc_model,92,
shallow_struc_model,93,
shallow_struc_model,94,
shallow_struc_model,95,
shallow_struc_model,96,
shallow_struc_model,97,
shallow_struc_model,98,
shallow_struc_model,99,
