T_NH,T_H_N,T_OOA,T_UL,T_LS,T_L_S,N_Anc,N_Vin,N_H,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,p_H_N,p_N_OOA,p_L_S,m_SY,m_LY,m_LS
792978.8672042394,156517.65959520784,74012.06828346892,45000.00000039015,61244.86327733947,7000.000000028424,15858.142359010712,2184.588666860836,35497.51253308645,10152.767960134777,751.9636786426997,4686.7657264508125,9983.039165317019,963.605468662336,0.05809370456947389,0.041384219803303236,0.3478772325210527,1.0000000019742874e-08,0.00015349303375381606,4.0420096029512226e-05
777270.2079640798,141070.4984748089,72284.91781862073,45000.00000000254,59434.76861007914,7000.000000063999,16220.924945176554,2280.9393979445467,36405.3872005071,8833.687042001218,724.1754301914588,4473.596946028519,9763.364475324644,1025.2826222589204,0.048635509119074584,0.02967976543829326,0.35092522004069315,1.00000000046896e-08,0.00015802396333842536,1.902235991724439e-05
822505.5470910869,171294.70803453552,71994.13126732143,45000.00000022237,61057.96431488385,7000.0000000484815,15221.492319032786,2128.830783735872,38817.488656727684,8400.526983391914,556.7327951105276,4604.914818590302,9807.47737343084,1053.118583827991,0.07853364350889673,0.039455956796070196,0.3696540504864335,1.0000000006608136e-08,0.00016928168330533118,1.000000016765439e-08
759291.3811385547,230445.58313239174,71041.65039722476,45000.000000206295,60027.40064365192,7000.000000039827,16438.688383564317,2146.6734499058875,33957.39130861128,7723.86804083081,569.3719328364538,4341.9217134887085,9941.447922838555,1005.9587607097906,0.13203314414711817,0.04999999999962513,0.3706356183893654,1.0000000046059956e-08,0.00017789818892033864,6.207794519018448e-06
818093.1840261372,230931.70907709235,72705.05448175731,45000.000000371605,59280.439926621795,7000.000000021038,15960.899952645857,2189.052551304311,35235.00410248641,8663.834546693883,712.1545388636798,4849.83574087606,9994.846022072965,1109.794452525271,0.13838310930472034,0.03334740943697604,0.3659004644148872,1.0000000003777938e-08,0.00015949440705038826,1.000000009123701e-08
804005.4172048309,225598.00393300562,89662.337554918,45002.72952563079,56126.64611398152,7000.00000004122,16058.01681618921,2165.3461291868803,31995.21560485725,12336.333294723496,1715.2835132150813,5299.076717254425,10.000000000289353,1073.0710173524196,0.13776921635339506,0.03488843939765156,0.3151728464260068,1.0000000029081502e-08,0.00013304263600947836,1.4319966034992607e-05
828095.267700067,175259.3075807372,69192.86719092821,45000.00000001781,60388.352509507924,7000.000000035761,15557.018806183372,2165.609681108133,38699.23809024337,7765.070077430471,477.6367132534364,3712.710621977773,8734.665863911288,857.8332898703956,0.07697086112893942,0.040299230128776106,0.33473081462088794,1.0000000020478215e-08,0.0001897081928229888,4.025047144875216e-05
815592.0948543614,188387.97547684918,70223.22439683745,45000.0000001493,57771.908950346944,7000.00000000751,15747.45902758997,2281.4532901808643,33188.6857015545,9266.387771134567,740.0497469559388,5648.603616192452,9474.312392460644,1125.3805404414663,0.09028277912017099,0.03421134205309973,0.3623906565215963,1.0000000084991339e-08,0.0001421569536241683,1.0000000224614482e-08
847871.5146448233,168287.86499619664,115603.08553555657,45000.00000035202,58178.54671326457,7000.000000009847,15290.930927651654,2096.471494899569,38246.12049631584,10879.526015759026,2199.9233606201483,4455.945591455616,9998.347501994196,1075.9568319632697,0.08309090385179183,0.03810228035492495,0.3381272805139709,1.000000000434179e-08,0.00014958282540250957,3.284259195524435e-06
852159.7463365401,236787.72928248957,72571.91407657717,45000.00000041477,58396.68789878208,7000.000000043097,14908.819947552942,2287.899465388072,38359.70788764031,8814.531327274546,714.7304216068072,4291.845422383328,9989.041346364082,952.4291178391642,0.11679589695323804,0.03831816259458302,0.38123679945756017,1.000000001622448e-08,0.00018028597564382067,1.7858586778129795e-07
