ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-27.10989267524222,822833.8136483022,68700.45078450473,15616.052880034396,6325.318816791001,64.71443535333104,29314.664469917323
-19.27894651652548,778257.1492990132,76515.09616090913,15976.228837824983,4882.442083230761,414.8423057221553,26940.637388414896
-21.10244140020142,760765.2832694903,68884.2157159955,16088.778676715518,5914.959902858344,80.53968425119072,27355.99340329532
-39.27180167928617,766751.176615116,68539.0798060811,16461.118730170547,7958.898829817951,42.06950896945816,28166.13291874645
-24.75046210131409,812056.1590284286,68860.89769194693,15949.807298829555,9119.585485177242,41.72821302046277,28730.99477078998
-23.718701566475502,811856.2299304688,69257.26789903006,15748.386355164344,6740.602635350998,67.14854528503376,27904.523666462075
-20.643767313250308,768825.5263705534,68955.57261238601,16213.278579071895,6699.444225984954,56.749808209510114,27970.316901864448
-43.14930925745787,769524.2049799816,68178.39878042552,16520.660682006775,7978.942852161612,38.59611848754669,27712.300039261125
-31.72952120058256,788290.0743952906,69032.7991317334,16286.302782928346,8480.594186209244,51.45042394503772,27343.47164357328
-28.640004165718253,749301.5206951882,68583.12552193413,16485.294721304497,9155.71121553622,39.226237524791344,27578.705669799863
-23.973968385712443,764112.4620583196,68775.57204062332,16161.431232561454,5778.351230404137,77.7846509300084,28244.308662789143
-35.269620703401934,771637.0330239541,69101.68022634526,16488.17706106803,7264.096406077202,58.70371497051344,28488.031149828537
-40.22364524550314,753342.8036883365,70038.35472188206,16460.73220539426,6218.844417306892,94.80499423089812,27866.435893497088
-34.61399596894392,788470.4253749365,68489.81134869084,16242.394047133525,7702.008351543075,48.23322149344757,27494.00007844574
-31.740339248534585,769605.993562997,76765.70165043148,16185.695706277182,4873.397358271991,401.92094674020746,25935.756414890304
-36.44052599586051,783376.7982824921,68835.14751282753,16545.78020794047,7136.83701728843,58.11051317267111,28402.8148636192
-33.5389413540514,741843.6569377875,69248.86265799112,16899.034695194532,9541.854717044234,46.03482100082984,28244.14503935892
-38.57292278085133,776736.6781272825,67909.00146359841,16208.471018451752,6196.013721655422,52.93498012906442,28970.77228414353
-26.752348847747644,795191.0199062065,680072.2201129963,15854.067770626718,9999.999999983487,3767.09967801919,28777.938488829604
-34.24245411689968,793320.4643675758,68942.222587769,15867.036362841274,6961.929723645755,57.68781755175679,27882.717727138348
-31.81927598161508,776606.9047188829,69866.31386326304,16437.8811072752,7656.543485184593,67.38139623439473,27843.569305442623
-29.832873223723244,792942.6081403419,69037.35950178883,16166.653968935016,7356.676019842593,63.0682185088228,27975.55306127094
-22.7063023086438,748295.881101607,70049.36003481806,16459.086735428908,6964.387946593263,78.05808443964139,28030.779341313133
-28.14780248715398,743680.1315608538,68045.68460832008,16580.12294764865,6349.06652190965,58.41401073472755,27587.460554580142
-21.21007540026668,807361.3933903854,69805.68213200588,15775.873022052208,9196.710286525858,52.28196116587746,28264.27546815772
-39.00476485973847,736687.217225676,67917.6913421219,17057.308903016576,6090.940548337616,60.36945595278512,28278.67482868078
-21.721957590634503,747425.383451847,69044.71166637988,16231.504747828658,5341.224547556129,96.83152742426884,26628.60957653183
-26.40093851733532,776960.241963695,68710.17582482401,16313.149894030705,6816.1131441276375,67.10617197726074,26385.06279181545
-39.19179511662871,796130.8588113654,67546.37058220248,16436.392206834815,5797.945698639009,46.88269586214228,27376.36657085545
-34.46793717818945,798648.2191873036,68681.89920307002,16056.599915923947,9458.309378187723,41.16253127810908,26847.598645780672
-33.0305308903888,755829.4990325789,68737.32357939811,16732.13504154119,9096.985786019935,42.56008587553442,28070.73082950695
-30.498697781433087,764250.6256064657,68996.17898190825,16281.284299801098,7332.774372191991,55.619356250198415,27989.91118661873
