ll,T_DH,N_anc,N_D,N_Y
-29.357734070393875,713621.1417557705,17228.26556246837,3725.349876538356,25780.75225856742
-26.19652450197721,772975.642422488,16436.834057394713,3855.261399619632,26333.673238154897
-25.803633427959817,811928.1075553504,15872.502242479632,3920.452842800076,27386.606398127227
-22.361278612400003,783893.5141278692,15889.31917579375,3812.80789648894,27761.0811349573
-19.796175275513235,739535.7384365641,16930.49764396432,3840.562725254085,26331.33034662415
-15.500784414308548,770920.9832129697,16478.6393596809,3813.9133112069103,26621.04904609127
-31.178318300552057,789204.234024453,15752.164350564244,4041.632662365813,27508.3342440364
-27.68948503327829,780852.550274147,16425.42653073715,3965.934315667556,27826.13858159061
-22.09135673081123,778889.0110005159,16193.72762622943,3960.2111715933897,27905.76472076319
-35.64951867892981,778657.153166465,16697.956894575553,3818.911717210229,28185.093168215848
-21.39637608208047,805769.4691039665,15710.455948497793,3765.958741339716,28787.427325565517
-28.869708537270878,790993.4291147996,16292.32126717898,4014.306162306181,27907.21212728529
-31.686366572122477,788092.8232559412,16244.800069158644,3879.601173347808,27569.96563167392
-38.70625606537124,774465.3776322702,16483.25405311541,3828.8328371200673,27772.01601573474
-20.90892041260412,859548.1476396475,15324.262233722298,4163.143290390307,29303.52046383962
-29.99739852454551,819997.6691188329,15429.041059557903,3934.300285478504,27956.62462169428
-19.765095027754416,797490.6934824511,16106.5994418389,3784.559536689879,28619.27006367859
-28.382312982371868,798988.030887018,16045.012465650476,3876.373166171872,28019.35262120036
-31.63450812261771,757865.7922558674,16818.810492670425,3891.9740773979,27249.172760271485
-27.44166236874776,805702.2639377957,15850.001094752855,4023.468931874555,28377.91031943424
-26.93927945540449,807393.9576492894,15791.509580435588,4010.375506859821,27877.90133261951
-26.134163533612536,798305.4626689516,15479.726508697517,3772.191540291769,28360.10902190917
-32.820846972128535,800462.906776301,16150.722422031073,3915.405328190815,28806.52741996091
-20.924765275701898,806492.856783663,15434.872654917684,3738.082071045518,27919.02359280304
-28.10751619403373,817432.6549878874,15736.77940381241,3884.32478330436,27256.110540173027
-37.20791901894918,839593.8919994253,15097.719728060556,4167.396663721229,29011.312076202437
-22.048534923540828,767765.3487473779,16193.618614943136,3780.6019263303815,26927.164506843532
-34.69725391174717,768826.1041349812,16248.73654733297,3972.2696182403306,28198.031024788448
-30.32297859138013,794875.57267091,15778.920477333466,3786.563840646471,27349.570368910583
-15.318731973913996,840659.1146671347,15314.533324897298,3816.885382657503,27946.59102200724
-24.87658349763033,784711.0587964898,16384.616250641848,4008.903478164172,27449.360602155903
-22.153731901943623,763868.9490920932,16384.14482507362,4030.1630503993415,27138.458682884324
-46.67461080281276,795838.2507923769,16213.072326736416,4003.689827592655,27349.941658885546
-25.73967875410537,810908.4411595872,15933.440736383322,3924.0954846032246,28336.569760410603
-32.6028928312831,788561.1104454485,16239.881821757928,3982.663712015203,27602.20546433012
-27.203675140303627,801697.458102274,15832.710301071384,4185.70503642466,27703.692113252324
