ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-21.27335093816589,780327.7763944264,68440.71800685489,16504.80841243663,9242.268836408635,35.924995276014194,28241.266568373423
-25.202943470067957,787969.4396831164,67788.31151922506,16263.624486277466,8645.127442199238,31.78593348361316,28673.218861722813
-30.44086024368093,806910.0551973761,68057.04923703229,16348.346963566124,7959.481335768324,43.548865487031904,28147.942882623247
-14.97064804250614,786731.2328547019,68206.2974936508,15885.15193495826,7566.177694230413,41.5846820075402,28555.56949269272
-28.167806637866043,819953.6217468488,71910.91870666428,15537.77111098081,5132.781723823633,228.99606616438732,29238.93745707372
-15.96198072123881,753524.2358419073,69962.9054883245,16589.503034143625,7580.88437825103,69.11806301823476,26475.701286762214
-25.46623071382432,816804.8490821307,69063.85188629145,15875.37451008552,8325.50663203137,50.76425217132034,29453.617897856784
-22.80003395255296,768463.767898673,67926.93437617685,16861.655265120993,7822.275082775923,35.922764762868574,27068.634487662483
-19.258490772590008,742697.6229162541,68696.28882975644,16890.20769827301,5974.161197206533,71.02178269061974,26806.89759577077
-25.568676451013697,757987.7293872441,67602.64509165053,16588.901991895273,6744.027256496414,38.70398788599039,27315.57903332653
-15.325683927649244,831180.0163137612,67517.83601581171,15745.19557954091,5962.960480159115,53.222980630308754,28711.14463839657
-17.359060347728416,805957.3786357532,68393.9591827362,16009.46879186259,8355.155001070052,43.66640855267201,27397.731915679014
-16.093173121618122,822640.3148378872,70019.71622669838,15689.159047870264,7598.701424608058,76.08044637149696,29139.90034630012
-18.23433847242162,816538.8956725588,68610.10056682029,15425.913070641984,7220.092759871474,51.47685201708908,27330.75729260482
-26.613608151468444,793139.4328215078,68534.68740809083,15945.886636989824,8213.16339699316,41.9152056485492,28140.23330304125
-18.867529762452413,806698.0292702086,68947.28014217588,15875.346685241071,9268.8805821167,43.263793272422575,27525.70007241817
-16.436729211999122,796402.5364093325,68170.31960020399,15877.6379401836,8858.777146053846,35.54957113621129,28026.55406056592
-17.271601438521902,779388.7789964582,67865.78746408156,15781.261694612514,9771.513001009893,28.749070690086448,26793.100155659293
-25.5037365920246,796520.9190155035,73194.0124057786,16145.371405229504,4970.560602114989,302.40770183627103,26944.96531074631
-22.786715819169927,814263.2729722526,68582.72381677513,15799.088013617727,9155.489850503824,40.79885350626018,29605.489731805115
