rep,T_12,T_HN,T_Yor,T_OOA,T_Bas,N_Anc,N_1,N_2,N_Vin,N_Yor,N_OOA,N_Los,m_12,p_H_N,p_N_OOA,p_LosStu,p_2Yor,p_2Bas
14,1118708.1718487106,898140.1741080886,71564.06186495541,50000.00000000001,20890.657930607747,13632.007429104387,13746.036351686347,6622.089471707387,2454.4389932394874,246557.30036123923,896.4106816295015,1219.4103356982291,1.1709958172848194e-05,0.2,0.021116707423595917,0.2524035472849527,0.24604583835692515,0.36912123249263046
15,1168112.523199822,891467.2981746661,75506.62931693323,50000.00000000001,19561.09679808631,13297.159110567403,11518.606331298133,8808.728477469836,2464.0155065528634,435307.74019078474,1030.129038424146,1217.7417399133426,1.312845093459185e-05,0.2,0.02187738448262301,0.15606243683210072,0.2965923556594607,0.3203431455076608
16,1080233.9838826,975537.4958856646,54642.35498552396,54642.35498498264,48000.00000000612,13166.798179862335,12472.86480959679,9924.121971985429,2453.7917653562363,173119.86705149282,318.9207295786018,2020.5432963910507,8.607603724847256e-06,0.19999999999999987,0.021437482705417375,0.4812312130254648,0.30018679200811776,0.4864451246058283
17,1142813.868272286,950859.584619344,51236.42963531047,51236.42963486878,21298.56530965562,12873.18277397793,13170.582668148287,8726.318726192945,2460.7364356410753,158636.79643012446,155.53557505412272,1557.0309303773442,1.1453793966938792e-05,0.19999999999998186,0.02130593479834138,0.22884766821539182,0.2900575019621945,0.38821864775486126
18,1172474.473530788,976604.3581801375,51968.06458219448,51968.06458219438,24754.4216406632,12429.165816305567,12529.914857797612,9503.392378931392,2465.0669509530785,153962.68825792705,219.92901014135225,1610.6487815986854,1.07928322589822e-05,0.19999999999937057,0.02125386124492546,0.287779546368484,0.30911191800002774,0.40479355420835056
19,1381956.8576934466,820840.2117678603,123446.75994612863,60709.221414222055,48000.00000000049,13361.736287938162,12346.769394096907,7974.004667507182,2434.310789465246,273949.7263216991,1139.8585861238741,1673.5387856687232,1.1666549729160305e-05,0.2,0.02126408143730053,0.45358276150611193,0.1190864515156356,0.17851437217891983
20,1156115.7351166655,982319.1295601621,53994.09560743962,53994.095607386684,28576.90366869895,12511.188339665036,13335.377320392152,8592.617046006117,2461.5973515891146,172991.76443802257,352.44632045159625,1771.9885226324434,1.0296047647778587e-05,0.19999999999862828,0.021184925163963985,0.37284273771179355,0.2921678508149497,0.4706874808435352
21,1095767.9697730087,960401.9108765757,71014.01081753551,52048.346248550195,18442.559593419865,13166.937291708513,11437.72367693772,9443.044137290766,2461.7230754333236,163339.59701804438,524.6790406281741,1365.972369759803,9.092019362793057e-06,0.1999999999999985,0.02147015107891479,0.13855357136252686,0.33893617420850586,0.3457471217554918
22,1338006.1976744272,841057.9876113014,58609.19633394513,50000.00000000001,22153.76347841259,12959.275605791796,16052.501894155375,5000.000000000004,2448.8457249299518,649215.2780558236,806.6956696754982,1224.5500300477877,1.702557106094671e-05,0.2,0.021291392502682242,0.30172385826698667,0.14608207489057584,0.38857742948874563
23,1533366.891341224,840448.3164631847,76357.405460345,50000.00000000001,20797.79698731443,11361.847619517514,11987.321371256565,8124.142099531119,2464.245432538748,173438.56763559487,611.4291918160229,1224.431231682873,1.8877197189216e-05,0.2,0.021481308599534326,0.17870383917650992,0.2464688943389507,0.311822833636509
24,1102100.9270145441,953929.7068676072,65737.35608051499,50630.165924260335,19814.52283965029,13164.406074791608,11682.633803564411,9447.373235538213,2461.7655904466305,153094.46783754005,105.6459495473985,1458.0029250027048,9.714246756592934e-06,0.1999999999998601,0.02135966494971553,0.18261746544053456,0.3316981392105079,0.36468328179554493
25,1237280.284108849,675234.2622717866,92482.58162413882,50593.322543140675,20213.795051950678,15107.132510381329,10382.987306227038,7143.877284219679,2410.480508325007,139298.32135771625,122.80217473475979,1407.6499103091362,2.2706833211030704e-05,0.2,0.021175369804409674,0.22328275019569052,0.2577618800600396,0.3852699872032461
26,1162861.139236856,988963.1233028172,54598.326287565025,54598.326287345444,24105.387797840158,12377.001359992766,11035.363328775464,11087.776541638064,2467.857293672402,158170.85412797803,419.51254793636093,1736.4563788586172,1.038276691339622e-05,0.19999999999989904,0.02131169547623914,0.2557228985098232,0.3531146330179892,0.3978058425942114
27,1097996.394912107,943157.9604466346,70871.51232699721,50271.86936457719,19489.716369476177,13313.36218675719,12503.916264543992,8239.921283863878,2459.1524840679253,163034.16130651667,105.63973729455955,1312.6640376962082,9.773285768239212e-06,0.19999999999870452,0.021385847274523178,0.20356190430062007,0.3043651749708977,0.36756489528336705
28,1146468.410322181,929120.2532441955,50993.26762384813,50993.267623844506,24556.71002929302,13025.7583613395,12121.97093419051,9636.369641567251,2463.1386557887204,144736.61501262817,100.0000000000107,1666.2821231409305,1.2188577253499222e-05,0.19999999999999687,0.021234101356663808,0.2766652243878143,0.30973711495054923,0.40467940642435435
29,1103666.718359539,904573.119914228,50829.57997083375,50829.5799704994,22472.50737049329,13591.80537466618,14200.827104135476,7301.49949230435,2453.458770891218,156472.50220007476,100.0000000001116,1577.7314736225833,1.241794946354358e-05,0.19999999999993814,0.021194289709363125,0.29891307394954686,0.2522271801064255,0.4357028982353673
