ll,T_DH,N_anc,N_D,N_Y
-39.00133917821021,750161.3040000857,16954.456736787226,3774.459577975247,26629.754412225266
-39.51982746050548,775240.6148809802,16183.846339097105,3744.0007531050255,26505.132812016735
-38.63207960741724,734192.2122707785,17182.216406068077,4078.946098381863,25863.3537306832
-39.69430418974231,766107.725170913,16260.941641408166,3798.927965596984,27172.444589622737
-35.65495705883556,777163.4470186076,16125.911151005392,3741.59134165371,27161.804990673245
-37.78690937880172,762445.9435440243,16852.13513329651,4066.0034661734057,27477.29846783472
-34.98142110067799,744076.2595080556,16720.314040868823,3765.835982218053,27050.624734791232
-34.80523816905147,741816.1800568142,16517.079877929464,3969.454142024672,25998.82846445284
-32.46530473148509,782841.1180775705,16399.42981652058,3960.910577790231,28008.41697633413
-40.892754454718656,809710.3499607207,15815.18647103696,3933.1344474582656,28606.63052885501
-39.21096627972192,740885.6720593766,17031.427790537917,3722.477835635454,26969.35254559364
-45.708579875338046,691501.4369525034,17738.621882982927,3838.694215513253,26010.133823975084
-43.55203249537479,771467.2290369429,16417.360512411648,3929.427216341168,27516.47813516576
-41.95472431393154,731284.4789704874,17248.728985490703,3886.143503459914,26834.606203754305
-30.124084566091263,742694.7905538894,16575.549548248502,3669.8775383414554,26895.522239785336
-34.71175775679176,768442.6126090382,16460.926461947223,3770.8699274433047,28333.08832814116
-47.80152221095653,778869.8051345402,16164.212507699069,4041.9515208316425,27504.787967809072
-27.73452991779773,795050.2159035588,15847.248963934437,3734.8999182948864,28268.119381850283
-33.10177923432697,760965.2841278202,16556.68100602343,3770.0687646694714,28018.686511265027
-32.16507626406778,791295.9806141902,16084.484443210817,3794.9488645637753,28463.715114310715
-28.435400456156977,742384.5159227013,16515.21345374812,3770.112318808101,25938.92162627192
-24.986173438024156,746826.4380762976,16287.9824034972,3871.55409374884,26976.41061383574
-44.5481490226501,758242.6758334859,16569.273882118534,3719.456337170268,27988.975957644205
-31.85868715684669,797474.2665434355,16148.663843451995,3818.685219871264,28395.02205555193
-29.3107501578733,788737.1260262496,16083.588021135398,3812.848744264509,27307.732430615943
-26.38439700506736,752149.7398438619,16447.82675768277,3627.444462880628,27522.441255942653
-49.41409370742356,765902.5916516075,16554.101953581205,3804.984088357084,27671.570636504843
-42.69485280015087,781175.0955289637,16373.362640800984,4055.98505996939,27205.497096435825
-38.896478634703705,748212.9974072769,16479.268721604403,3849.0963778039127,27632.60419572225
-28.899609496329116,743352.4067654891,16463.680205798843,3772.917230082602,27649.51817161902
-44.5132262298016,753981.4050403328,16739.04188089619,3844.1702608059577,28011.351952459067
-50.44017628148731,723598.0116568551,16900.446249028802,3810.2108624665625,27000.078322634705
-41.441170316075926,781568.6988412928,16324.298620007352,3990.4804709048585,27349.868344181745
-40.34607601420068,730156.813563233,16780.382335559218,3704.0539985836513,24854.648011914986
