ll0,ll1,adj0_0,adj0_1,adj0_2,adj1
-7.789139836534487,-0.0221897617314727,1.5020368509869425e+21,-5897478.24118065,0.0538762885938314,0.1312621952039237
-10.607600791161351,-0.0769275174789747,6.497502865822097e+20,16690893.838220382,0.0520111571915458,0.1323252844283145
-11.342059991505476,-0.0699511658433269,-7.75930432493341e+20,-15931456.179868951,0.0523648229056095,0.1360644194407199
-12.234429846731183,-0.0424411487496363,-6.726279791771639e+21,9075835.52664831,0.0566417553515389,0.129919111760761
-13.326035737900812,-0.0350297345604314,-3.40303883575344e+20,-20552677.37034894,0.0500685824291893,0.1343551227093187
-10.274478033236464,-0.0850617429410583,,-23429266.80723088,0.0549029032530117,0.1353364821291561
-13.067487065944158,-0.02961526865208,-3.905719140630462e+20,56342577.44091676,0.0552052457048233,0.1334367699507336
-9.847230063082897,-0.0916477527845917,-2.004509634462605e+20,-23720991.215125933,0.0516268871334132,0.1339548888602139
-12.505749133947816,-0.0327363292062659,1.0850550836857609e+20,7509869.293726014,0.051255607301066,0.133681647038054
-11.671130241748315,-0.0356836039397351,1.4840352901780144e+21,6959081.460264163,0.0531753377113647,0.1345729285451856
-12.048448728345376,-0.1021069072867379,6.514685569139376e+20,-1289871683.7569091,0.0451368669367016,0.1299282300919537
-16.588502948054586,-0.0548247183353582,4.952470018220302e+21,-18920955.438706264,0.0528291458258365,0.1361111288019688
-13.71844294300477,-0.0624117985450264,4.299601097638096e+20,-3528806.3566783154,0.0551139085540588,0.1364820736768925
-12.837833254832232,-0.0501768987187312,8.051130648203721e+20,12079640.702338208,0.0505336610807387,0.1338837933473193
-9.920189737340326,-0.0285004780042942,-1.004809784396962e+21,-239469101.92736408,0.0511335993538017,0.1336182859621137
-9.907187226688064,-0.0329450669279299,-4.494174703935207e+20,-11538756.109081505,0.0554965064392888,0.13231040989156
-11.757256748926,-0.084343032334953,4.809106252941815e+21,-7491360.590507513,0.0514241993825448,0.1332472599294959
-15.12672904435994,-0.0411590087205804,-9.886758658072332e+20,25550577.312608343,0.0505845840684943,0.133574170375828
-17.064055352433442,-0.1409418104437907,4.148510325071092e+20,-10324349.047148678,0.0515608044414167,0.136095975309694
-14.89817009597781,-0.0985892541472921,-4.072209848893327e+20,6480188.969563667,0.0522356091186336,0.1342393220634692
-10.166928014286457,-0.0328539296008834,,-6393914.475366351,0.0480991802032874,0.1370474582641907
-10.574606857025548,-0.1058304174604183,-3.902500466566439e+20,-17855702.679241776,0.0504887496387057,0.1327711953100182
-12.369147824588271,-0.0976210331974972,1.5752230315484103e+21,-10850048.394546991,0.0559017398869685,0.1283282560070259
-14.507523357352554,-0.0488775643654123,9.933811576699486e+20,6313433.348943954,0.0462755551651725,0.1333957064100783
-13.49720463093376,-0.0481339680329171,-5.153282013080718e+20,-56892130.48401939,0.0502526740017356,0.1350927515268852
-18.619288589608654,-0.148987974527187,-9.020434910323936e+19,41260242.47423672,0.0526946676385648,0.1349526871497105
-14.404853358621072,-0.030867930462033,-7.921674183187471e+21,-21987991.19847856,0.0497718042169477,0.1355622416587731
-9.683321499323794,-0.1016980188126478,-1.0506750067165504e+21,176355200.36071596,0.0504466488302537,0.1327832714743205
-9.53584762040106,-0.0258491262859099,4.287116895686084e+20,33820653.85875816,0.0544881272860492,0.1343924532969092
-19.19410865012667,-0.0434700217668251,5.494634983207045e+20,-4664455.279968752,0.0508162042243151,0.1365784638117274
-9.881207784635226,-0.0666574234288441,2.8566828660155636e+20,-9803559.910935467,0.0549464329901538,0.1327974719189414
-13.340050371062704,-0.0198763464616906,4.1554348848701086e+20,9581229.54761454,0.0514095776508375,0.1352294707330026
-14.050896859507024,-0.0649327320968915,-1.0903631082141674e+21,-6042556.565266419,0.049611865069338,0.1342856609160323
-9.61341879657964,-0.0775524998642511,8.250154875179463e+20,-24164545.465205707,0.0497784021093406,0.1330521618999494
