sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
273,-514.0339049274157,815911.7871214648,754698.3877972126,122690.4260443535,62878.75404376762,49004.992471112484,641641.9109705909,16323.022945140297,2136.692882757799,3140.488736218905,3188.9750432936894,332.99745209878085,339.6232575563881,913.284260008731,35365.733119916935,8708.398599936816,734.5239021765716,6.986157203117357e-06,0.00020301886613796074,0.474899988253043,0.03280466962238843
274,-532.4266778038648,776136.6245918503,697168.5406987624,119823.6015604604,65343.13886845805,58825.72032909433,266047.3357131921,16876.77716415245,4025.5520242013886,3509.7843571996377,2804.674707182179,198.22752608919575,453.4633582130317,1202.7370682695307,31327.963240088255,10685.359291102031,866.3349671522552,4.950930306620798e-06,0.00015883528973328938,0.08338830377285798,0.03298865863115723
275,-678.4616383890561,794644.972807811,763980.5225868154,122709.37718645768,62922.72453091992,48000.00000022133,528946.9070502539,16693.41172776688,1576.6031827441905,3133.7230240376753,3179.3307315134352,351.36746728449333,388.21031138601364,844.2172071682646,38982.84673936921,5730.841941388134,622.9013248546697,6.522593663204182e-06,0.00028198349070028854,0.24496473867078852,0.027286325721943866
276,-464.97536798821534,840915.1791399638,783203.3465641338,123247.69453761449,60476.24062970219,57757.86188730749,606217.5300258861,16140.21982218012,3705.2414003871063,2976.0501722630565,3112.570376331133,340.22670170806117,210.64244026013958,850.8828718324958,36440.56180202721,9759.919219497633,867.799105950309,7.672102544443193e-06,0.0001776783240825698,0.2874562677532169,0.027902491819679777
277,-594.467443144312,802666.504867808,728764.2234851639,118439.02485576726,59974.32749384662,48000.000006972194,583512.1918633875,16885.057479839314,3165.6701447552173,3099.7068824947364,3275.485938722263,114.60792697064281,190.07649566083498,810.174244055566,31718.779516284383,10454.743086406073,817.3293432446105,6.739636723931525e-06,0.00015307511792859624,0.32565969307281706,0.022681823473470662
278,-697.1293262669378,797413.2294532661,709857.3532057645,138745.35009327115,86755.22251004294,51923.69344175444,631462.5484955697,16931.51510170066,2680.573163134711,2940.5835415608008,2900.903377405264,1001.851151428326,1686.4319560357053,2675.2019836848503,32346.249269468226,10575.771892045124,811.3299062380953,7.859352990412073e-06,0.00016898027102047893,0.5204249911609047,0.028657212238133577
279,-571.5030237394898,797708.763349234,719636.644704924,118869.3076153372,62034.15738204804,48000.000000153115,265948.81298774556,16926.368398183313,4333.657151699763,3318.061945821458,2896.3458850455304,187.16089985930012,330.8964031247112,994.2446817834881,36275.367718207206,6654.500585486738,618.7643613436408,5.193383757977722e-06,0.000257099581272831,0.07141699089328765,0.04369795419925533
280,-637.5649453843378,877238.9733239237,728377.399761369,129230.33412414514,71413.460250789,48000.000000361586,650555.7744331758,15921.641410857035,4023.1154622645217,3003.0057615676533,3158.499854041607,560.6275424301256,797.4725109636255,1295.7389729243869,34277.18382795004,7675.942160092798,763.4982426389357,7.187295849093273e-06,0.00019868121981360978,0.5128508613587525,0.03332606950856972
281,-821.2607202426877,785744.6150844134,744581.4079218092,120685.514646711,63801.382562322666,52257.63530712303,341120.45906479604,17118.26156796251,2261.6293665298485,3198.1135843083325,2885.9683840467287,239.72565727507896,411.7377159320263,1165.6096038108049,34216.77409827055,6840.440512769021,806.4788832711852,5.304524432398555e-06,0.0001808893962925181,0.13132317901222726,0.030527196635895044
282,-687.2987360010457,815726.7681212669,732538.3078079685,121081.20130132287,70305.99200881505,48000.0000003042,616453.6030395756,16343.395849531824,3624.65504984418,2783.0363073695585,2956.8029887932653,216.57595841433076,754.6466902203297,1404.9458517511716,33302.49804818396,7439.456485269239,734.6257786640949,8.640081009819961e-06,0.0001997623134503937,0.5046509357329019,0.018756247172719252
