sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
34,-464.3213048335509,745052.839948932,715710.2795102375,119085.52040193563,61712.96248098743,51632.76748846976,17853.927920453523,1264.2775580081989,3811.31645937927,2600.237386608308,212.93945727542533,369.85993692521816,1169.6303768882447,30936.876935573346,11545.765679472172,882.311368115788,3.3636189816687465e-06,0.00015849440190111313,0.0944185511414401,0.008629617353225436,0.02033224532977008
35,-471.6538501420577,770475.7922043887,733793.5061762761,118538.49839120235,66343.16643186368,68001.18469687963,17166.107040623374,1750.5504484456826,3490.451126717292,2490.5690031163363,186.15797885120864,700.1541563115653,1234.2090127215786,32444.352904329837,10524.48631664598,998.5662379393275,4.104607458725135e-06,0.0001525285150761349,0.09348484211036522,0.008445052293609536,0.029133125512058263
36,-621.645644551583,808681.9594570539,751840.6898310711,117554.9714756894,64638.39924134968,94723.39975071591,16636.225500509303,3308.5200773829547,3276.43182387284,2370.6896594086006,114.54986503213419,618.0267096340586,1138.8376089283774,37757.515632234565,11831.39596005694,1231.4727994609445,5.706744313900236e-06,0.00014987541743123508,0.09641803171111374,0.007623029121214124,0.03741949267983872
37,-499.7743092454689,807767.0318468744,776219.4275202756,117508.04389525013,69923.9359617155,79836.47836939356,16601.86637776201,2369.652142404397,3129.15268058611,2115.1372644548287,129.01152434257267,660.0867658463734,1675.3014156747026,38664.37597582458,9143.479569732943,1080.6719769434571,6.842239941879199e-06,0.00017038170985144392,0.10683761744161743,0.01597176011695592,0.034819612975863334
38,-559.5320357650537,739222.061580901,702590.5066811029,118755.3085602751,66439.45912364543,54287.435283907886,18070.047526411556,1933.2844590751274,3380.0825796721574,2465.092732324456,133.1124699184125,574.7573510133448,947.0696335798297,30267.18891604187,12929.141349492373,883.4356988462309,4.329002785408064e-06,0.00015211629210994923,0.10294615048852135,0.008479501549170106,0.03445921931064269
39,-475.9023045058218,733658.1801537005,679157.9820043312,119393.31579852175,64969.53631806476,48350.31689424405,17360.45447792043,2099.747663512525,3593.868427179692,2625.503021310935,247.99801516211028,398.8989994762687,1012.1162156546768,26389.14523358862,20353.326862100275,992.2153505970145,1.7778993794032147e-06,6.511702321306925e-05,0.09126227607121788,0.010408202006418905,0.02822527340264485
40,-517.0332301836318,795408.5165143203,771017.1780647519,116847.26173370259,60582.25648275826,66677.52648794228,17155.27425023632,1584.8292894226759,3055.0582098752297,2420.498639553403,79.31857832058331,240.18969337635752,889.808932244591,32766.65173404109,12956.387842796394,1021.4357778102631,5.577220622565481e-06,0.00015406953199315228,0.07916148664198959,0.01588260591423567,0.03463413385312433
41,-472.4592368997643,768306.916389856,744066.2779016838,118006.20964738932,62281.11890496143,67691.56948041932,17005.645598719308,1596.6597725742206,3221.3588189133193,2558.043704610748,112.30479475914575,386.60355287293436,1008.041294819024,33798.18329414772,11065.836923081977,1010.4956282743461,5.782753582572004e-06,0.00017989627892827585,0.06473550240071857,0.009811673189484718,0.03172249649903508
42,-558.364558082324,760291.7660940496,738534.4630558376,118444.62790244634,63419.98016274716,75373.1394653109,17502.313246797974,1402.1120806503905,3233.895342862448,2419.6339237531806,206.24750250471538,460.35003717123004,1151.1624810342853,31984.57026689779,11438.707533600726,1173.8948683859912,5.829356571230475e-06,0.00014317205298312993,0.07890207285909161,0.014612061822003971,0.03347806257403393
43,-526.1241064037881,760390.0682763449,687937.4624377837,118084.64042732016,63483.858385956446,48000.0000078685,17359.737910454063,3128.16221416992,3426.473626299011,2598.6270641058413,145.18789279552766,379.8612568904826,885.771524063909,29220.468082841813,16151.070003168117,846.0337619505033,2.5099605116534983e-06,0.00010088583919432317,0.08643555299618379,0.013933190659206734,0.017103549860193277
