sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
25,-532.045869140235,812558.922156583,795740.0203484813,118853.43278273984,66873.35941499154,48000.000000144675,16790.489679486484,837.7681761754195,3379.0087748831234,2640.7192491145306,163.53720337993775,652.5545771016023,1523.64317820396,39891.79261445236,5041.708298876143,567.549843578961,5.017024485442515e-06,0.000312147404230286,0.09237487215672772,0.061470741841305986
26,-642.2499169588497,698521.2081563384,642077.0191975485,117605.15701812539,70428.97525335109,48000.00000027487,17941.04598498264,2718.099828293814,3223.848663038215,2792.5892191253024,90.68161512369917,840.3298477658458,1243.916913100981,33006.038596883234,6005.380365355843,610.829986800733,2.911723713938736e-06,0.00024752951319700217,0.07176736140103418,0.03993172125706734
27,-489.9120942044641,765560.3327921751,748119.1867847255,118369.91425498537,74021.76203813116,60282.74325427814,17263.227076443385,1112.528793255432,3213.635899855735,2560.7527917509087,140.10751667329328,1293.8770583595192,2056.1149495580607,41764.682729878405,5782.926503156687,703.1447770923653,6.670859170972986e-06,0.00027203870189160983,0.08196512270891086,0.05345013231105513
28,-432.23070521205625,741358.9746475423,709623.664110384,119841.62405794568,63739.72249806982,48000.000000239146,17833.77666289258,1513.77715318671,3609.292384288997,2926.964874403914,227.25878954975116,404.58331443351483,979.8895034929096,39391.11382094629,5109.50788245838,557.5556672542747,3.500648408095282e-06,0.00028133916873446794,0.07031016285422838,0.05062709295432953
29,-564.0355599079026,750075.6880576677,701605.0518573012,115863.86512707456,64184.61446263125,56032.51802457528,17497.432121867016,2391.9027575072146,3265.725986330585,2677.51830511266,29.463468963973177,530.9949625615777,1031.1805530816296,41363.41081596395,5539.741898210587,607.5075273662429,4.040043656685511e-06,0.00027061417778368607,0.09325590542967818,0.045906869621146096
30,-538.7689611473539,759475.0551884342,749072.6252856689,120465.21372935169,71949.92895024437,70530.33092994576,17512.517201208822,614.5122456483277,3599.9413268614994,2645.846210601822,220.38384114820425,1000.6978692473624,1576.6530748658556,36140.71655064955,9085.174566355483,910.8303376524905,5.252357110109927e-06,0.00019326266859349275,0.08719887359340313,0.026061380720893965
31,-755.2650591698913,690809.7077400571,655650.734464329,119141.34096956716,67402.25437177648,55150.228012824584,18602.778621297442,1431.7857120295355,3553.713962822863,2813.400669605862,176.2933222463112,876.7305250199038,1188.819030226884,35217.23103600754,6319.577393100602,677.4849309959919,1.894846925611978e-06,0.00025241407002385234,0.08696895372677102,0.05326676479534698
32,-676.9302938264938,817891.8100192734,781315.9068212203,117953.11313872642,71767.61620848218,48000.000000034765,16532.15522720795,2343.428887900988,3233.822550407148,2730.957258651027,111.93893712569607,970.3036931618577,1523.145166250969,44743.695998082825,4363.481977959948,556.9845958661653,5.580513449555369e-06,0.0003228215041676467,0.06364489686286627,0.05301886646584675
33,-598.1266494692406,717458.1362676127,681475.3573177767,119724.52337941952,62709.01492308282,48000.000000301734,17582.595985430038,1352.6581625169208,3799.041153106086,3176.0929142794735,206.40429300371457,398.9892440189232,900.5553100211278,35595.44003319491,6701.384512879665,583.9010011716837,2.832766767434667e-07,0.00026976322543058285,0.06387459508866886,0.034645550920010273
34,-497.11094394433246,759216.293809164,710162.2101897679,118741.2453001726,64844.243722720414,48000.000000098036,17670.919861810136,2057.230471793126,3874.321371566642,2806.7742373127758,165.77263703054732,614.0106466751741,1469.7330160562935,37537.475531941935,5827.601966354335,622.8129350287664,3.080106626041336e-06,0.00028751406345603887,0.09103196906816827,0.037583200520935944
