sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
262,-575.1940511551577,795534.5881532765,741906.4056300827,122164.7410755257,62355.57533317505,75380.81149854584,388789.43092589034,16746.56917246084,4457.735165118587,2780.6559781851724,2535.7305700399424,425.441695864298,351.85491170367453,903.0774596164442,34965.998483976415,10131.572342861271,1099.9369683415493,7.730625203288624e-06,0.00014307186324390828,0.15615225456117907,0.013953963057248275,0.02799935519949387
263,-561.1766444130911,794310.9997101232,758038.7064097996,117470.8098643506,61436.85076045714,51657.87765067152,336914.8470311,16655.60932648456,3721.1500156265224,2946.503409623482,2489.2319511615938,146.66446971177285,364.0662617678133,867.9574982783163,30964.751568036638,14151.040340102365,908.9966787727834,8.297437450247406e-06,0.0001159756578125529,0.11109504786025372,0.012927114613081618,0.020406959244173316
264,-514.6729698401066,797465.3059449958,757273.8254488258,118145.42628036714,65289.57705716873,77301.15358929959,391806.23632944823,16788.24021443591,3096.25254998705,2777.813383357255,2591.7008618372492,129.7235053458192,533.321911990364,1001.9688228409892,36610.12013813052,8538.72415592153,1049.8715867327135,7.838955259976313e-06,0.00017030706266118822,0.18515615420419418,0.008817375464752295,0.0353653957944525
265,-564.6093554033419,802652.7657230118,770687.0688721313,118302.21627903827,64922.87886975358,62656.04661191762,394385.3476555469,16850.788042202817,3508.2634034326184,2751.587100107879,2503.991430433729,200.6977497201519,528.0034723949565,1263.0604860291699,34448.15291808011,9271.771948853893,935.7436064652508,9.153637183433155e-06,0.00016281503103783262,0.13327418347069797,0.013811819136873061,0.016736649296055225
266,-445.3876749095935,751849.2020189743,723319.3825079037,118232.9426547848,65116.48297256239,79078.4898617567,239601.0705798779,17166.01920387438,1996.3925109555246,3213.0352057157224,2442.7289354447857,136.45895889713978,540.4432876177613,1157.996124162627,35466.55312920108,10506.142989542093,1066.8353921695998,6.090719847986664e-06,0.00014640049886442737,0.07250590989291562,0.008418843124564994,0.028712086073488123
267,-658.5457580980851,785496.7721764855,775487.4893028882,119975.95345719389,62322.51216866457,72530.29446734353,352728.6428780563,16954.648559361103,781.1491996290762,3149.4491920154533,2728.154041432314,261.4358518285431,456.7786022800992,861.1714783498721,33608.98099554697,11193.03559705945,1109.7338279403612,7.024553943867011e-06,0.00014306747876479376,0.11381949021200212,0.011730388571006079,0.01837631090572759
268,-505.4726540221026,759677.1725397105,711734.4862959177,118948.98516671563,61559.94733397124,64719.46483488109,483785.93814167427,17554.51534817868,2436.8388190273317,2909.339921246416,2725.888654459146,242.7191794585588,342.45381793910025,897.894160411288,33823.58729190689,10958.3327667671,937.0835768657416,6.652925103950245e-06,0.000175669151891468,0.2354561581212366,0.013153025606475017,0.03810906796351737
269,-455.6625897321053,717205.7405133956,706649.552179431,117147.74733369611,59337.349173160066,61324.48366876431,335853.0226437455,17584.389598651647,538.028606895693,3261.9850585548675,2474.8463339162713,149.87157757329916,215.47204188584524,696.9676247906093,31461.425123429053,10938.598478405287,891.3761062530267,5.60855558080711e-06,0.00017617988377493973,0.14032837889515842,0.014159952061025327,0.025549002734074122
270,-668.9912407592128,729032.978987892,698315.6587940665,116172.90229849626,62800.41609307218,48442.63401351182,430942.47434291936,18202.29002939384,2061.743184233786,2824.4347521012396,2484.6130545786714,41.879377556104025,415.58287884028954,889.731101174835,29204.755363678698,11239.399917794002,845.74046837566,9.155233588241633e-06,0.00013360599763597683,0.25258344492066453,0.01406782781698726,0.01980765466210449
271,-515.9262257638927,835582.7901882721,828909.4652672366,119897.6194783033,65637.3218499323,93513.65104639248,340145.80853185174,16039.252652131778,407.4248184927372,3089.067303624945,2421.04458154969,304.85881711412645,528.5045851958824,1048.9576451285968,35236.974039817025,12561.431971053029,1335.2406588383774,6.222506666526033e-06,0.00012538515973760354,0.1507049493079277,0.01644126118067279,0.020670707852316353
