sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
402,-403.64412387501983,811802.9491209186,764681.255318458,125097.35249726633,59492.992001683524,62414.59298395968,487853.2822873302,16616.751423252677,2689.618522697139,3142.378998879478,2827.240802213899,660.4958934186509,170.9993130541966,722.3538913961042,30954.576156497264,12808.91642163487,1092.8290431041946,6.32275746967843e-06,0.00010948431499933407,0.18805917122618263,0.015796095327974272,0.029698157269147304
403,-562.1910522491416,804887.8950546611,736197.9452316938,116515.26025925718,61332.67591993501,52304.03342163146,502197.1496542069,16669.89770623816,4279.805792005179,2715.0846491056654,2772.4160290175796,81.39393375980652,303.0307391268476,910.5064282540504,31578.013810491604,13425.80739377773,942.8700123159617,7.75165896359705e-06,0.00010649391043959166,0.2527416813435171,0.009902785263727513,0.017417709105966312
404,-497.2672204087049,763379.4160731536,673833.9652862217,119455.40489500931,57918.15811752474,48000.00000040081,399797.3178924355,17671.08507437482,3186.062232265395,3371.8064331179226,2947.799583456306,213.9593370195176,103.7347618161833,641.4646452026145,27952.46846162767,15536.340507361512,1006.3306900529943,2.801287613554352e-06,0.00010750147391613551,0.17037198145671112,0.01063709709058815,0.021083988409130824
405,-513.1603049510913,774117.3779647629,678305.9653001399,120307.16026160785,58101.72621620697,48000.00000013103,588088.3000966894,17079.510200500612,4957.0394188118335,2680.7450324345946,2686.6197782869626,227.22584275471615,105.67390129658752,561.2704456526877,27414.446091253714,33869.78235632287,1017.7865325809876,8.612700538405175e-06,6.140267355694105e-05,0.4066554726072206,0.01580520758284877,0.03317758844630609
406,-425.50521574809267,831195.1696244464,706676.6873258122,119323.44339033111,57656.775925857044,54507.74538506272,503180.26747719815,16280.76322914648,7373.125452845505,2984.3003213582456,2797.5741118164883,218.33116799979703,90.54258913509626,629.0428098689069,30074.89609887371,19253.52978632197,1088.8018419728148,7.590489932580951e-06,8.09555290662432e-05,0.22106978422800935,0.01228122591478894,0.01805765065986455
407,-518.0345546546174,766815.9222526118,698439.6046128254,121119.93257204353,60055.358987672065,48000.00000056333,364772.08300384134,17469.668418329533,4039.025454403495,3176.0296768285316,2751.724577431708,328.98548424896813,247.53591611227193,796.9841428023745,27172.1144379606,26060.575657097204,1080.6983100790837,5.445060171914275e-06,6.119147024307825e-05,0.09502246201796205,0.01524298396055911,0.019707287776542303
408,-532.7374379927123,791783.140444987,758919.9867744471,120185.73841624231,57732.53536963549,48101.75955077036,397983.1540052612,16966.030966856684,1534.9249408831008,3088.2119682721773,2810.287651356634,222.6248074352895,107.3505992640097,646.0412206666933,26917.111912171466,31493.00661937077,1055.0920685057656,5.206751856033068e-06,2.9646311711390363e-05,0.16963729203548578,0.01115141689825025,0.017335663272983155
409,-440.79882558567374,814792.7738427052,786298.1232512074,119316.36473847725,63247.84042853073,55961.71702553214,310283.18404265103,16560.099187861044,1318.8563320307048,3412.4442827859352,2758.7438910820847,207.48697336845706,373.62722820568945,942.7307062704205,29264.89780845604,15808.817896495737,994.8455864795351,4.311010952594232e-06,0.00010068218647200388,0.12001293315824117,0.006331833963625328,0.022153083465831898
410,-584.7324051456035,813653.4538152507,766486.2495137879,119968.8741407598,58971.180287639414,49978.52530595535,328398.5939014897,16495.5044515836,3031.2512738941923,3041.7679844802597,2652.6462167330956,239.42898904482863,170.97848189769527,685.2698297363347,28184.665515513985,34530.55579699334,1068.6648383076797,6.5704665207217124e-06,5.297025188273254e-05,0.09186246596780274,0.012722011034153543,0.02524352992381822
411,-548.5567116790387,784371.0301300198,752699.4352025669,120481.36239243243,59651.32223154325,62082.123124443075,337336.1676742112,16952.010840250234,2228.90837185587,3047.4647141035416,2722.616581257325,247.31347157746083,189.6962799408602,718.5609876875806,29448.55574053002,28730.886552977634,1220.2300824840056,6.503624204945352e-06,6.746623607676176e-05,0.07834612568980916,0.01247250778830428,0.02536844949974772
412,-485.63406328609904,779058.4380699643,634050.0561889954,129707.63971306894,58646.54710899774,48000.00000646137,591563.9632263398,17134.15349386985,4549.904867210193,3120.261885822215,2917.119896698207,1035.0739107098227,145.8691913556522,734.9438811718994,30501.602448150323,14929.001076500042,858.189096975372,5.283598687106657e-06,0.000131305511856252,0.3883454606061018,0.015676021257039124,0.019724274602349982
413,-480.8505758232761,821937.7123033208,756511.7657247867,123789.25812062071,61662.331529248164,73006.53320043729,590302.840403616,16557.112623629153,3731.375638960283,2830.1345097687054,2896.1546006541516,417.8337871230551,323.6589949714036,853.4235525501066,33012.530916503114,14793.796157816352,1292.3936397632683,8.396903085397864e-06,0.0001039779611003161,0.3606039177919281,0.009875733406799947,0.020772975671499178
414,-586.4105291859651,844808.8535224026,797568.0539004038,119237.17277903396,57978.29080082747,71426.97759977794,525037.785109327,16476.483099176894,3313.8530803987856,2943.3815369094473,2734.134759080391,190.3085548750695,120.30294465723613,604.2166826010779,33221.06034163508,11375.78962303727,1176.4607903831077,8.315056147772869e-06,0.00012944739632575215,0.2707346419105643,0.014487222543618275,0.018846048767259996
415,-409.5091911997776,790502.0530552288,745579.6196788626,119754.4901971648,58592.84191411229,91302.75866239141,448625.31951313117,17242.77648156032,3433.9982820275204,2928.5939580332747,2646.1293584774166,235.80295346255483,131.95016655965836,704.2767917739033,31650.100830763437,18556.845356094476,1570.1095358016232,8.053043781589835e-06,9.16695585307985e-05,0.18192884985554267,0.017047874193501122,0.022935961026000286
416,-356.8541080717238,801248.8266321188,754853.634416795,120726.45311141593,61994.83205390203,63790.376589755295,336199.8277458875,16954.58532978755,1738.4406459206523,3462.339426151083,2833.1346940972126,311.8300008531112,313.7672286748854,1005.4133620700147,30553.50971622481,20235.484152050776,1148.139475571227,2.959407697048906e-06,0.00011083017443993194,0.1394860886151927,0.01144336649284676,0.01722019445848808
417,-501.72012197339575,808295.1951170937,734635.6266343918,118958.73585378853,61727.64368427165,67652.14153994368,277476.2677106352,16768.233059035232,3698.240548161528,3547.7717138187804,2692.906837835293,244.75426224189775,327.60230489363533,986.8629921990962,33527.82270622678,11029.077921958644,1057.1570816788897,4.665350799967128e-06,0.0001330530788458988,0.0856901772227457,0.009273056910064942,0.025002347556437543
418,-458.8377683429219,856684.9466092541,832830.4990046944,118164.54460222823,58866.14517073332,48000.00000156553,443765.21790095215,15934.00821215875,1761.433228194548,2813.908430105009,2795.29134662521,119.83807465619259,130.71837573749127,601.0573255874326,29047.91115948345,56382.67840201262,1106.3715158919936,7.876749794832164e-06,3.851333634216186e-05,0.169439379810021,0.009666618588091383,0.026385344938808692
419,-420.95860078670864,815820.8454651106,761699.6843791241,129922.79062699777,60748.32395587475,69196.70755460534,464536.3012636828,16442.885143863492,2175.6057753506398,3526.110144231785,2933.87046538344,912.5925787252514,224.16477700130548,1011.255252215159,34412.70858062945,14131.189056489246,1133.4854353440364,4.5590570048541976e-06,0.00014046157195481422,0.185198341207329,0.011691736364934134,0.023093147299168015
