sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
44,-358.69166243247986,761940.9594210363,702925.0868598709,116558.63260365814,62485.90778174389,17482.103657720767,28560.007675608183,4241.226154574341,2983.477428665208,2238.7704871916612,110.10456159522545,332.8802015486631,792.8764136136936,0.09306366632823572,0.017914705730868456,7.026930549808114e-06
45,-290.7214833341468,718731.0108191224,691421.5370477507,132554.38149500426,67345.56323095526,17939.217827702047,26851.810759388565,971.3707251407778,3893.8945134178325,2702.203538937507,1112.2716990085855,673.8755168718659,1051.5275707598933,0.08158540587508156,0.013454303718522253,1.000000001069834e-08
46,-381.58454239024184,728196.6185021639,702958.4725205982,119206.60888124612,59666.23492961922,17889.637669416385,27332.498937814893,1227.3643482321424,3350.300750974726,2631.623649406908,224.61079453846196,191.26048108847627,730.6299450019236,0.07445860362138071,0.016351093023433412,3.585324822376163e-06
47,-395.7334941905032,724593.481216762,665355.4616080413,124886.61619024123,68145.53257140002,17906.899917742143,27655.521895284386,2225.8460785433394,3609.494601864953,2377.346688029874,579.1636335150802,665.2382928044458,1243.2305605247548,0.10713665137761127,0.012952522517469322,1.2345078898874785e-06
48,-308.75348151805696,761530.822429099,690164.2649147587,117670.35625039578,62388.54541086786,17053.0957729072,28835.486056752303,3514.6467077624898,3299.2853371132405,2504.541905565971,153.28322123717487,294.3054692200662,860.1932347868875,0.08308566518316197,0.014904028968554486,4.318082455265957e-06
49,-373.47882712991475,721476.8769722086,682288.9375719762,121484.70543183832,64784.536825689254,17608.836643539962,27055.451538681195,2060.078250669252,3229.7961970010706,2410.086372168042,327.35932866097573,546.0312487367628,941.4522440238119,0.07295075868604531,0.01833606727622095,4.458636377734099e-06
50,-370.069972778774,698994.1708024446,692960.1993813163,117463.76874003084,60616.04730171558,18255.309499728824,26107.470679062302,282.8130456987187,3727.767697406174,2359.145519941929,111.46238579319832,245.50990442632084,952.8765439373433,0.11211954424338035,0.01172541149046052,3.2647199630827013e-06
51,-369.9874551381463,690688.3024187109,686166.0660909673,118062.86000573056,66203.96409792057,18392.00046730691,26985.33998168012,200.99998376522646,3620.6539638848076,2510.783460501505,157.11868734431565,639.6485626211447,1291.5585581591565,0.10771129856463195,0.009486768209986535,3.009192620003843e-06
52,-330.55103936494015,702224.7510739511,687380.903770296,125855.85968273143,61297.02888098314,18455.924706017526,26539.36282759571,604.3313020229973,3920.833225410598,2709.5407740348046,616.984125184288,326.80090900465007,913.781518361978,0.08073972947584014,0.012874814089280555,1.4956265303163412e-06
53,-362.2141412925685,751588.2282132222,728694.2085034804,119335.37560823504,60830.69022173636,17402.127304864534,28450.321145969996,1644.4942722601866,3048.3484216151255,2397.1616409953613,175.31059177018886,306.7668332512981,876.8925473741723,0.06560658377196504,0.015819192444708273,6.32289072959953e-06
54,-331.3940420235516,747510.3269242897,728316.271938313,161556.90373742336,93388.12911154724,17384.50374311125,27253.859024556496,634.9162668993647,3972.08499078657,1957.186092463327,2996.0384111172634,1878.823006159679,2768.746662975917,0.09256661704064292,0.018825213421252346,5.299698765064871e-08
55,-390.29492132625194,662306.1473416997,645238.7947383116,118802.24377039615,65510.76167821016,18971.391878736955,25407.126494891494,784.0868933177217,3493.0786160051493,2227.961862186474,248.9404590026381,665.9442744946291,1266.3306637829148,0.11685940331721402,0.016432245523358625,3.1825546567850306e-06
56,-333.23612708924367,723946.8276484399,706902.8847601055,122175.60829098393,61521.656235298135,17865.19558834002,27549.43143451869,842.8148319160873,3411.789632296872,2692.1674435411132,407.59810260794353,344.54383607616086,923.5213205432884,0.0760297535803571,0.010879030661247527,3.3529067801087943e-06
57,-443.3670303201311,769332.5327444668,702603.9887287371,119075.90502442549,66692.97885905368,16886.79373356227,29072.130283170853,3829.5569759926348,3092.0233283345674,2398.7105008294643,207.87874912016815,543.3796026315572,1050.198480424941,0.08923113552981456,0.008134841177266795,5.48650414856279e-06
58,-468.7653645845571,730430.6970878862,705044.9403473663,120457.55268328385,61634.91992853243,17720.06555272902,27911.11098971752,1193.809848754459,3363.8266766879838,2643.355147686225,267.73393406135557,333.1033053369763,879.9215949567857,0.08081426780437762,0.012666518373286256,3.2631510277023668e-06
59,-412.96176623490277,687369.0164020234,680690.8385898642,150203.11338223284,76455.1725250056,18576.603506418185,26845.1162022024,243.33968413069516,3783.788486789284,2520.4505898240977,2652.306709823659,1098.7828563545556,1897.073599989791,0.0670272891620816,0.01633587512913378,1.0000000009620198e-08
60,-407.3816805302049,714597.0544285505,691690.545758874,119416.19864577072,60843.331515959195,17537.102733590273,28596.82129068424,1301.4789275064527,3014.739248976689,2543.059364298,256.8826138977326,238.08936608720637,752.91530381801,0.06825378683946337,0.012358710950366197,4.822106217450613e-06
61,-357.0442423054394,710634.2740670391,656104.6681627436,117345.6114881837,61615.1309627754,18385.33712734726,27111.187203868027,2920.1073388229042,3206.538642725817,2438.1996205513583,100.02980241278533,283.13186179787095,941.059622835895,0.09151095145250494,0.013305303202943637,4.959390750896843e-06
62,-417.5939449327013,687153.5569875082,675488.6543990033,138539.00924009117,68321.88922497553,18233.222606005118,26446.82227057457,438.3455930910458,3751.5316886213095,2834.684533186406,1480.6911301399,798.1233967969881,1330.722076545806,0.07016918206045378,0.010460815125298442,2.0064603936066657e-07
63,-447.58581608266263,728818.8066279222,708560.230231457,122158.82187991019,63720.295089994186,17768.09291671696,28538.1945326321,1309.4121184742592,3127.336799510446,2348.8307864286403,441.11463433794495,387.13191636590363,860.332337148425,0.07526267102481231,0.017249480647013895,5.546902114484347e-06
64,-369.78847215576167,718140.1130065018,685101.0931076095,120319.58620127835,64008.77716921176,17961.729297861893,27187.49908969484,1398.2517411115093,3507.917457166884,2514.6368027275607,252.4248578093322,506.9838126020465,919.2835120830123,0.10076912750222919,0.008699465443109384,2.911787776447354e-06
65,-396.6587502400936,731786.9734551121,704527.5687620258,120167.8229798089,62788.470317001455,18128.868348990534,26649.698851472316,1174.7059278298589,3369.523285940423,2561.735317637108,318.37072119695546,430.0551900989991,975.1817020645834,0.08468187171956504,0.014590729207861178,3.150085271247861e-06
66,-359.4336704322316,717773.9772101486,689612.490788071,164390.40813898464,99707.78835252763,17862.867789066775,26853.22665013428,965.9768378381393,4074.7073592650613,1862.7141009203822,4750.637590690317,2133.704849053936,3445.6031407379414,0.09808988225058209,0.015615241549838866,1.0000000003161933e-08
67,-468.94531189189274,677422.0868622459,636699.5392213904,132279.64294472625,67718.07225952053,18531.979023629257,25821.022809667353,1528.129702357653,3819.3743403762246,2498.9739705831466,1187.5358835040245,615.0070836342021,1142.4604942694452,0.09467351078375885,0.017299171781820003,1.0000000014521521e-08
68,-306.5135673774844,705438.4531797583,698443.0643971115,128089.96596481516,63547.57633064699,18137.08420239788,26707.517787171153,267.3986067276731,3907.1127540317493,2729.0428846688983,1066.262483750469,365.8637040373306,947.8908183541625,0.08560426880864894,0.01360970903151522,6.481304638059654e-07
69,-435.4282717480669,687953.1826963457,617395.8260556876,119174.75891443704,63898.00366356869,18501.15593928271,25697.062949185354,2727.897014484896,3635.5998445496234,2696.306224116192,210.96449239333302,477.8746370778149,899.7098137514482,0.09299948315981517,0.011089896397910201,1.0623510362867349e-07
70,-420.65540121153697,702169.1147546504,691394.0627202315,121935.37832145594,61571.863135059924,17836.21954841642,26377.147943993758,418.4097269208045,3797.473927868837,2747.9825909740534,338.55087063324294,252.22853349104562,748.2155618651803,0.0752885987795812,0.01229866724680477,9.295800289986144e-07
71,-459.9333682889525,691218.9815583857,653442.7939354642,151510.1087517916,80933.81095571518,18032.76925106453,26277.40274666479,1409.9637617334977,3773.2680041013914,2421.0920198511985,2635.8678468423745,1405.3320271494267,1741.1084918853305,0.07363876736016675,0.01667454210172432,1.0000000003788739e-08
72,-412.8519166293308,700548.6172802905,667841.2697268719,118498.3627085539,62481.06284220053,18377.63440077009,26852.372958483527,1656.6204306179543,3452.28479628394,2606.844880228351,162.3469757489334,374.6784107886201,773.6155178699031,0.07610069698760855,0.014099858236450777,3.6745121814881436e-06
73,-431.34957628613813,701834.7901984955,683925.3489812805,123911.30774360476,63443.73058517692,18365.41852203817,25747.04780208056,714.3740046653348,3727.9476709840787,2485.360996074883,444.24903663105994,382.6246230505334,940.7198367549506,0.09508880604720461,0.015955874368025126,1.594970288085432e-06
74,-374.06382978996163,711961.8160492945,683374.5865911086,128194.71558735707,61728.00420225641,17931.014602016312,27447.794860847363,1003.0144938397584,4000.732236384817,2683.373661332066,792.2883478148134,287.10756611781466,880.4557614454479,0.0761019871804427,0.01705738327461604,1.5438277769404223e-07
75,-438.49659379538895,692143.453180621,655593.4920771982,128380.2268688774,69426.24992753081,18557.043410748494,25951.859699326327,1320.5442207956505,3708.340476353378,2517.849885058499,843.5471283992462,683.9971511533168,1237.4976417328023,0.10017809972456708,0.011675432906288911,1.0000000007584351e-08
76,-382.1479771917953,726058.4238394971,690312.203591013,118227.39548101819,64763.035268755215,17771.443425013724,27430.787274430015,1465.1575665785535,3437.5937174571636,2503.4201699955966,157.18763228035223,473.2674915950344,1134.6497430580373,0.11024983174395385,0.0094022573718908,2.703646371679581e-06
77,-271.5994818957215,756484.5197374469,728305.0350805882,120399.574434502,60445.18773303108,17289.50798270243,28372.75181894917,1599.4706713036114,3192.4482207177457,2444.7205460244923,280.576465070771,267.77975511668126,939.6749523002613,0.07583048082672626,0.015123179672605631,4.833807228291929e-06
78,-312.35418053593776,693694.5995758061,656820.576234616,129625.7719274046,65694.96297677743,18263.614301744048,25740.338058358895,1504.2928177531842,3854.3825920027275,2500.6811958753883,1024.8063318792358,640.4954099081276,1162.6878561704777,0.07997217202871436,0.016334763643061165,8.00675901844883e-07
