sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
223,-627.2487018996942,793406.0084072574,676004.1302583587,123553.34654319115,69036.97140757082,16149.686639605236,29304.941603590436,13980.052480158185,2553.4141307597483,3091.150582764109,328.3644434443327,675.7633920067228,1162.3001421283739,8.85923943888516e-06
224,-810.6765320074034,818762.5330138537,727010.5706240359,122920.32224720989,60220.31484086428,16336.916405760234,29620.481841132627,13923.173561948774,2580.6590507440674,3092.184197397312,302.3667594184892,234.01707214531334,1044.8116511783699,9.416092599624355e-06
225,-533.4071101956886,783330.1594746232,693646.4730057798,130812.92893553051,73969.46893708914,16863.008860894075,30022.213725096124,11661.351531962764,2708.4952440861753,3000.1527864692207,657.4265711593781,917.5417766732465,1992.8340971137616,9.435877212566082e-06
226,-588.759963119861,805956.023264366,651990.23433132,124340.3422637619,65427.249086407275,16385.621002954846,29778.105951707472,16270.49931103701,2685.197102082915,3014.135268044946,373.7663386329129,547.6817145353726,1283.4900994454847,8.579203404126789e-06
227,-577.9183957224075,783681.5174822301,676036.7594181244,122031.21799512992,65590.45087910199,16380.097996183735,29212.988599210003,9167.657658398659,2714.1538407032667,3188.064185913236,310.9222289053575,565.4749405011196,1095.1911649565513,7.178561852300191e-06
228,-640.4064547566348,779027.096788455,660590.952734627,123059.3339097304,63060.63310076308,16724.762930505407,29849.227466328735,11483.29069769597,2831.9480814135322,3091.585346764785,347.1847238818582,358.24615051035556,999.6558332677788,8.01889617163295e-06
229,-524.1924368120543,783576.5722920579,694637.2225494246,128114.31643602684,65167.60012468618,16557.827069541472,29343.690695370427,8154.083312561362,2891.237803858263,3210.5158996704627,608.8168546969233,430.7541135985237,1123.5358960464448,7.0134705077977785e-06
230,-550.0069273423958,797917.6233406278,665658.7203226391,126154.0547692543,66019.26203684015,16474.372619644753,30034.163046172947,11334.416648268316,2657.9564004819117,3141.1110797998526,458.449585322442,556.4894906897291,1190.859995070499,7.1914154011232235e-06
231,-510.2170588279383,783504.6395648236,597341.4783599508,120033.40144344754,64088.535364994095,16458.23440317185,29206.47086303889,13634.297628916565,2778.6873572956138,3170.3972801194373,211.7624013261564,471.34475685198754,1018.5529347827191,6.327640208276859e-06
232,-620.2565908428586,749516.1478307189,610039.7417326914,121265.96710129178,65260.19331775951,17182.5106626945,28409.74754198351,12200.87493597247,2867.561294826694,3075.6207565231493,315.7289878376185,472.1422135422799,1009.9229139962451,8.131285716145815e-06
