sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
22,-471.27101625884944,711021.4577834158,645365.2224512266,117486.83037244398,67584.37208378852,17222.550253973153,28958.736470049884,8784.752041469837,2635.5530621847715,2949.0999393678244,94.25071327432894,826.7857919640222,1223.8262475645577,0.0283307893895034,1.0669544555209967e-05
23,-493.2274745773409,678975.113607832,648269.8938046636,120651.67548200196,71138.62311433088,17840.21014894349,27274.72157661344,4103.079562562256,2679.0643194700892,2919.272298060595,219.95743891558996,917.8722928481624,1440.0631909652288,0.030302839998910275,1.0831627078392491e-05
24,-617.320157310947,719974.6911876181,708551.6726229418,118195.40882523941,64124.56105938618,17436.816152784282,27460.44589594082,4914.551227326849,2286.2707944713857,2865.4064849219344,118.64831934453373,529.9527986643352,1235.301419151431,0.020157664066163147,1.1666843413382833e-05
25,-492.31004380187284,748400.2344845606,616641.5379827204,120237.69845538,66268.18490475557,16898.90359544363,30094.48470645669,13481.253191692851,2462.82860854065,2886.3639211308014,223.1438806131436,594.7924673888647,1355.8187550363662,0.0397334553080423,1.0855697112927019e-05
26,-430.0842983795485,700063.2612521073,661380.3262579342,119943.4206591145,71445.47247404087,17269.62436236677,27889.99757348133,4095.2345373903017,2518.318349180918,2998.464092309723,177.92276997661844,861.3941545203138,1184.9538281405412,0.026392317397300556,8.697171559636489e-06
27,-399.6388262444867,705982.4105773804,572668.4406983234,117479.01818747527,69659.3483356647,17503.52214464488,28806.94503169187,13580.513707373284,2439.471222447135,2770.9516691657686,97.2123540708862,916.4586704986936,1716.0037178840967,0.027326430189064044,1.1268201473883107e-05
28,-367.6201520278818,729360.335254554,675234.1915372214,122560.75825076428,65196.59860349182,17393.789194871228,30037.747720476444,5437.908525192918,2800.149687339351,3122.4302890216118,357.2326920391929,461.80975237880085,1009.8957937808477,0.02685462003933475,8.877666041899728e-06
29,-453.4522510370055,706772.2941772962,590658.0330857018,118027.51990002245,65461.55284412391,17447.65358125,29314.700284118753,13101.63077452437,2327.115508649566,2825.6383802577384,104.7532275576976,564.5710087935817,1043.338618431578,0.029766984318532547,1.0585557621380886e-05
30,-467.89424943292335,696526.4793404054,653403.0102132965,121541.04500641422,67987.1008708433,17954.26821500302,28418.262105180005,5465.212132860076,2842.770327973718,3012.1098028463894,263.16281537154117,749.2001463622624,1269.9094171113704,0.025135846675170603,1.013966296471031e-05
31,-619.6758393245032,691820.0809017447,652047.449451572,120613.7353259933,69861.47739557315,17811.51825986254,29054.43360793775,4875.7626264048295,2458.841595055944,2900.51446005756,227.78795793165128,977.2248111946822,1245.9223948881397,0.03211066651270131,1.0353639688224699e-05
32,-577.316697399363,747239.5298692599,721850.6714131604,123863.6625426231,78091.54255613779,16925.396468619376,29948.56128003185,4043.272306477935,2609.3747675572013,2890.6314289853003,340.45459843768896,1274.0423108788361,1775.3831307209841,0.03451431872324984,1.0027949314076212e-05
33,-480.77975413141644,696715.9077071252,657767.779184831,120334.3457843303,64657.60466791167,17365.55732898701,28935.602621015707,2852.1372464232563,2748.495312861577,3197.201869074101,217.4055784512346,483.6386310589229,991.5070370346522,0.02246354674312967,6.786926413881804e-06
34,-379.9329932351094,715743.0886001351,640934.680288456,120707.97037458912,62632.80248128469,17625.94176034112,29503.561909021435,6293.87852029569,2873.7275271720737,3140.288357813625,253.97748045897524,443.22573369422054,1238.1192814443618,0.03237105833342445,9.149151490026264e-06
35,-464.1068647547937,721028.2473968144,660435.0725069721,119431.45576407402,69117.01028912554,17212.683555711086,28471.550475506283,8558.405491806796,2550.158132800048,2874.168136563025,191.60088804804226,946.7676100477119,1383.396014828343,0.03254849960447127,1.0873561096314045e-05
36,-469.7246753325353,714614.3562649749,663960.9460358509,122706.91936324566,68259.89375932113,17360.615419555423,29739.513932389153,6796.256606513298,2580.4065551742547,2899.191209581862,311.4409920783704,880.5724847881479,1288.557212883795,0.032370429134566205,1.066191773910165e-05
37,-538.4047755223573,707670.9702694503,646645.1966411218,129248.84991703539,93216.86010052435,17337.761078901138,29591.994321807255,97903.03794617423,2296.419791383704,2403.286155114439,529.2582887585506,1910.4873755899025,3173.320554749585,0.04364905866598282,1.4321420048519864e-05
38,-490.1840169263645,701950.61755316,626906.4154645549,121189.42615111067,71003.7743711151,17830.923740879236,29610.07333874595,11471.796782012774,2464.4147645842745,2863.800711678811,195.54599441000536,846.0959353398664,1132.3928079231146,0.03811378528161643,1.1156418674875252e-05
39,-366.3194143243445,734365.732787031,609171.3868931452,119206.69232892,69489.00912614856,16629.819314095665,28420.52147384109,9779.979967235677,2544.4636141952565,3019.006774769744,177.8346312706981,613.5155585855109,1269.2329215122584,0.034563655008023504,8.941059926253985e-06
40,-517.3608983891158,731358.151372385,621659.2526606658,122281.19170733061,72946.47709890359,17488.520613047112,29762.778512052013,12835.975842942678,2402.0502953355135,2871.5069847436157,249.75824739043148,893.6302239674982,1656.0330570237218,0.03275372397902266,1.023662075305828e-05
41,-380.72097829986035,744727.9439431375,683928.6521293821,118933.435703824,65942.68057544001,16775.73181559064,29961.535691856465,9119.427915111972,2609.128039518086,2936.4881427859455,125.11705959560558,618.9576447489743,1232.5738342814902,0.02614653368741614,1.0162194071862568e-05
42,-633.51443757397,704432.4234734431,633318.4059632513,123495.44591729832,77010.21428605041,17741.394443105783,27922.640536190436,11273.899229689285,2495.568464553733,2759.0767814416863,373.9145401084719,1402.7180088577406,2046.1017505763252,0.02874078845338939,1.137153562844775e-05
43,-542.6307088112769,702904.5002591779,688215.948609245,122237.12439815073,75761.16934585029,17593.451999493165,28582.100473637463,1915.1491269189999,2528.37459727057,3006.600199803101,268.3594329196022,1077.7211908381398,1506.0116418011091,0.031300092656931934,9.851684498425174e-06
44,-527.4696157764735,720211.1226646004,632169.3541089495,124969.27743240682,78800.57844142723,17439.88147088421,29714.448782944353,21123.034209200097,2338.0949861465688,2650.190038855077,474.53374310452483,1285.9093022564766,1659.7509191485058,0.03601831813929594,1.2882637772012519e-05
45,-389.340285992221,733851.7108327602,638769.2793074078,120598.83028550257,64764.633390346666,17129.43872423147,29406.077283140374,7175.1198342102425,2682.416077123223,3227.6029091100963,226.99267742648428,567.298533022671,960.1261918477376,0.030511403609097633,7.636944348246558e-06
46,-549.0240032473422,710783.9080293382,681034.5961317144,120213.82932989174,70336.33574734075,17596.002624866534,28624.72977196484,4524.669107685152,2495.172671045537,2978.6319431997986,197.45637211070698,769.1497248528957,1366.232829620677,0.027863807326070557,1.0470691479688417e-05
47,-447.0267977212592,718479.49854616,691337.4425842883,124534.29657306115,70997.13436812292,17218.558540732913,30372.04858301495,2863.6587832497603,2559.417147486471,3035.286989630791,397.86300551772183,903.5698622594444,1444.0671529162119,0.04212208134840081,9.42571863012878e-06
48,-448.3615256988132,729652.9133477393,615796.685285592,119507.75168258486,70413.98667091131,16963.618567258698,29901.22214899889,11534.978335845934,2518.81293284907,2919.526280972937,188.9068358014008,717.9016911847738,1329.9394306351594,0.02886252324694482,1.0196936489183981e-05
49,-542.2504364264092,704495.6707994095,625235.4043581663,128218.32116667225,85287.79569006858,17335.161530404104,28389.401995767777,10309.555647641759,2448.027861912586,2680.149803446067,457.8042367106616,2049.809312117918,2100.3164436451207,0.027714510854695593,1.0970670472569843e-05
50,-435.6301469422066,679050.6938363776,625032.399361336,118682.35114258468,62945.37124380797,17769.694516842697,28119.259631111167,6460.429563834531,2697.9266086931325,2886.8776161127544,136.12202973093065,388.6314365351031,1125.4808186861349,0.04025727318789448,1.033499619050464e-05
