sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
29,-432.7571856014865,792080.1987081189,738163.7004726913,126605.67344036301,62576.6244767732,48000.00000105718,16658.692745673005,2213.3857782753103,3600.4554091055747,2606.430970609742,627.0873234201702,295.1931883629652,951.2201927531517,31907.255312023117,11312.06561229516,855.8573274098355,2.6169431399126303e-06,0.00012942945512563748,0.07386723060307264,0.013676645103376569,0.018138636168232372
30,-398.2801650462001,770017.6241043641,707181.710416159,121032.98701609623,59487.08563185227,48000.00000051353,17008.412839174445,2158.5134856271648,3973.3662180261213,2486.1918034040805,376.2562357459121,198.94785686034413,837.0551209829483,29397.31678917585,14187.42948169862,903.2855241145353,1.460161681695431e-06,0.00012222898341765766,0.09957136675132629,0.01332024887501314,0.03481364829216678
31,-555.3194204565707,811591.1032020111,710602.1565520499,117893.34807565955,60710.70888588239,48750.77371578645,16396.6256751045,3383.6418880007072,3945.2444632036277,2596.4178290715163,125.23517704603638,273.67824511586144,761.8141124107525,29272.346466467985,24953.99945973858,978.8300267821929,1.2472897361784986e-06,7.9737487267812e-05,0.09566296006227706,0.008482651467581018,0.024649555659707955
32,-466.17953034199104,835863.9278915846,803229.0047240063,118089.65404896902,58251.290610835254,48000.00000080624,16033.287531559221,1840.3850144131586,3322.0312590061462,2588.1732941131136,230.35457165780156,126.39102642045015,684.2572267430978,29175.497247707164,16296.431552939006,978.6498943048999,4.505643711592316e-06,8.035899823614655e-05,0.061376101503609296,0.013063155405178158,0.015962273103369343
33,-390.3735552108607,792481.7486105427,745563.7893889956,120665.81687658808,60813.971397482004,60618.136081364784,16977.501170566047,2127.588282531117,3674.6567782080056,2613.6296890987064,344.7651613113712,273.00284112098336,814.5494198028814,29573.6060647692,19360.05552192252,1165.0473825859262,3.456313971043625e-06,9.157092199966167e-05,0.07456321799693709,0.013882965040576442,0.026267195737215244
34,-521.4286201407124,815502.0896112445,723421.2294947788,117093.73819306694,60103.71067430524,59539.29878455094,16376.012999667775,3837.6820531253793,3624.3449029624376,2596.19997293752,82.77896739346605,183.64731712795486,802.5610383912341,30114.042554538817,18560.939458609762,1172.0033974976511,2.941565814404981e-06,8.647421536006797e-05,0.0868116840908857,0.013019783363261655,0.025181253175655283
35,-623.5181297324217,807886.7298362182,761458.5810443567,117748.32813114795,58578.19473256016,48000.00000017784,16648.97394657607,2939.078194646357,2937.351062955649,2742.297696932141,108.19489282778872,120.94207695009781,685.9640246198603,28540.147522546133,32337.29552391075,986.796235026818,5.397507152422981e-06,5.0841960789567294e-05,0.05594699339175038,0.01278812506799544,0.025089393319617084
36,-477.1263262172978,791835.0962836002,741596.4472423688,117115.95385644695,63390.95777582233,48063.40545016631,16845.735114028364,2071.5616997697757,3616.8884709297427,2516.8879464739625,94.74792290658827,414.9149196337997,1146.6238779299688,29741.870427250236,14358.55677202941,975.0755239364383,2.5415588445374735e-06,7.544193745824036e-05,0.09404332007899097,0.010100133145133151,0.02678767490552688
37,-451.0998291959585,771806.6620932443,719251.0658263654,118210.90158320307,66650.58688817063,53388.668819313134,17550.764046415956,2024.5114734431934,3844.078164936865,2641.61592214728,159.04613539695745,560.4331175644007,1250.0293742815556,31386.365014582516,15555.170564306693,930.5029050072295,2.286347058208141e-06,0.0001373634992938534,0.09440317253275572,0.0071784765812151355,0.028839103425238155
38,-459.0637132467748,792478.8691502764,723460.7992917657,123457.58225228109,59027.32469005393,53011.258574938336,17125.045238721712,2432.1252810823,3893.5278130401884,2546.275439186999,443.0788479857671,164.8344936532627,895.9954143656215,30014.48419778346,11520.949334759109,891.7822492026444,1.2821933921002692e-06,0.0001342762026345996,0.09762913778062478,0.014220779840739054,0.03130927130794505
39,-491.6888336501952,758874.5568013646,678181.6232297827,123144.41310462239,65136.84392763966,48923.530406099395,17493.2485792322,2949.1167309931684,3985.8681285377415,2560.522915727526,520.6890402303998,530.0926200995737,1145.0005062855598,31538.585955216036,10973.557927554237,788.9087336821727,1.151535480969509e-06,0.00016814270524370518,0.09683039198293726,0.00973673309918354,0.03610995112841568
40,-410.47388621746614,833221.3425060995,810051.3554571789,117180.90877944809,61834.39989794184,53485.44374296046,16344.854881915942,1485.1590339220916,3264.9636063035346,2473.8211250007753,92.06067219325341,404.09853811026164,942.666998644458,28909.81105472541,23917.92344289472,1075.9816880817393,5.731213969982542e-06,7.387937486068705e-05,0.07817696490308748,0.010176294323710693,0.025920639721327098
41,-585.3739142440811,773105.0656014383,704732.6402917822,124746.44611256613,63158.313135853175,51190.22655791689,17383.414441744375,2552.946673730781,3536.747836296584,2652.7278481361777,560.4762146054484,353.7102154399818,901.936700881552,26761.277942225297,29592.319197792713,1167.210363252082,1.4833290753738257e-06,3.717798442693563e-05,0.09177290174160964,0.008505176772381003,0.021556186202764782
42,-515.0798434112794,773193.202996818,712667.6455092786,116223.96136365594,65327.6571072105,51335.00106706903,17270.948212246432,2371.373917339315,3934.784657047393,2360.230753333216,54.30627853115781,442.09598190669436,1158.9748785485747,29169.412289878062,20576.40658785127,1024.088901246827,2.3504625182290326e-06,0.00010064235518922333,0.12543362179686215,0.006834291033405411,0.014922713265819374
43,-563.6181793629546,832676.2187987885,781058.3418197951,118838.96880540204,62359.314088845545,55885.83022580621,16558.79013258007,2491.9813190800282,3529.200457933502,2611.6897915712775,183.90756771834367,290.831308778154,930.0133385729929,30082.21466438658,22354.40970982668,1038.1265996032203,4.05283165696976e-06,8.245240027334468e-05,0.0854391840064175,0.010561863647124296,0.032187368084256
44,-526.9602113149214,783973.3804747568,703425.3469074114,118486.40114423328,63509.45867854688,53061.571499841026,17035.224117665774,3340.980964120775,3467.4239144666126,2484.482471477113,149.73707006898138,390.2823467676171,998.6879949986177,29557.873798873214,18616.07997324948,1020.0409636378084,2.745381212506085e-06,0.0001044267320555477,0.09674337857076505,0.010785349249582181,0.02822233324627023
45,-623.5995431112008,783803.9226714015,698785.2386710662,117818.34438882991,61178.223886337015,48000.00000056665,17025.537727542007,3645.1899064301756,3644.6448421529362,2606.508419159159,144.81813852174486,306.61085813536994,933.4426157513615,28597.524337196413,16680.186879539735,907.2527196622159,2.811432923290915e-06,9.665043806740289e-05,0.08734279499551102,0.009619276294092462,0.017435213463975488
46,-533.4909890074739,783765.3731202305,739473.7567251866,121249.73328691967,59600.344342016855,48000.00000594372,16844.100712287574,2095.5934568224243,3742.576744022538,2706.7444724475836,376.8704015586911,181.1980408968266,712.7033859223541,29687.415377035773,17631.53754614373,949.6771695405549,3.932802106224551e-06,9.305618814307212e-05,0.06682070253394662,0.012644557602965017,0.0163402335353903
47,-779.4614774169361,747342.9786477005,708533.8740613114,117349.79277374702,60109.54912480859,48000.000000231645,17624.28601738144,1361.1110578367463,3734.4587314385562,2483.2992601485284,99.91065068713436,169.67676621459145,771.5459429019398,27753.955504614994,18960.300412411827,948.951591751309,1.1313898565844867e-06,8.886839453274776e-05,0.11028661025755779,0.010073604714512985,0.02253742282610397
48,-515.328151693793,759230.6205974389,680477.0904692909,118700.45374708355,62661.57595788486,48000.00000062583,17351.891579374074,2629.1930478353056,3856.236701561203,2544.437521069773,183.85543464954515,340.6802923220211,913.8779589226665,28445.67845004963,14871.792512611057,784.5751170711147,2.4673610396310653e-07,0.00015249347865925768,0.10770129133306112,0.008716794211868713,0.034535642801779017
