sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
51,-549.2153139321451,780152.2207564453,779741.2604504576,118320.82393047216,64421.986332819455,48000.00000024972,17198.435016938594,169.95051206792547,2702.165831319257,3082.1074888769704,136.5307905720715,631.0628421422397,1311.2278553282267,55654.70349312201,3452.5328868284664,427.25224420371813,1.0793223556422057e-05,0.00043299891924466615,0.09716789813077212
52,-503.7204790491875,790056.4692633455,668511.7950688999,119369.3811104627,61779.072919939616,48000.00000038265,17289.938953343535,14033.209716932817,2827.6722007936933,3076.1797919716414,166.94952549188037,415.6925134835574,1056.7150646253992,50926.45009793566,3540.7765648762665,472.5091906520557,9.284964829004933e-06,0.0004246367476405369,0.08529075016246834
53,-622.4303383651239,785724.2359747349,783075.7260294125,119951.46498451765,62123.13474627377,48000.00000006989,17103.115398159618,622.5173208792966,2718.107120575824,3076.1350472417944,153.82875988908603,469.10130150745584,1068.5393148200628,53861.081545628695,3479.6000607119663,450.5702291778843,9.935066153333332e-06,0.0004326236475654878,0.07455848753481371
54,-598.130064368033,802483.7058063665,705821.7629292593,122793.13209450174,65281.105464700755,48000.000000012,16868.80266536101,12133.399562722643,2603.658908862093,3059.9101235794747,262.84093797094135,562.8409987380014,1343.5708356746463,58959.85003958013,2922.3904413424048,412.74871385105064,9.60483684811776e-06,0.0004765759207514983,0.10694041128727245
55,-631.1036131626655,752630.7463274328,636752.0970589792,122025.73443638015,68609.43956289135,48000.00000004338,17807.514439196657,13703.357903909147,2690.3908542263353,2926.7430207341326,314.1133555974452,1137.694864310564,1741.978384971863,59139.49938310128,2998.5835604604836,407.2091045741014,9.739022216193116e-06,0.0004966656413354704,0.11101008033357612
56,-520.4055972953228,752034.884071813,725318.8577534521,120145.5127524158,62035.58462415106,48000.000000022315,17596.942338018034,4640.130509683742,2645.084070219667,3116.462527149111,213.6573541450725,437.8662394144579,1059.5020162044543,45611.22438200784,4027.021353174561,457.4291525538138,9.635854577534066e-06,0.00038256689439225273,0.07970329117689606
57,-678.3437522082322,809571.4825694576,803977.4500787029,119677.69073854186,60682.47045899974,48000.0000000502,16459.36742393999,1611.8401286402507,2634.399989701042,3102.8075620985887,195.53956223339472,289.4286341116609,870.3823781793337,49197.53248480341,3961.502948365294,465.4408714248556,1.012731070027388e-05,0.0003802810841174045,0.08453510785553683
58,-717.4273228238922,778087.2995594442,691508.0997719326,118986.67338421014,62767.08688635963,48000.000000023254,17093.56840333866,11723.429715566568,2586.154652629842,3100.4512276265245,147.69164860874832,482.6924897329166,1074.6172321318718,46176.27117106546,4197.415180993359,474.3428670668546,9.423547480301406e-06,0.00037430880562555645,0.0791942874029334
59,-619.1819558786308,774623.8881631644,738182.9140338813,120634.93532718734,59744.94061779267,48000.00000000202,17420.280535056907,4279.489212043266,2652.205551125511,3232.313656709049,216.61181117642985,253.51888393863598,1007.8148243659812,47969.84600110338,3989.121728317643,471.5892513228479,8.564786832999337e-06,0.0003915159006296555,0.08348190587067916
60,-651.0693990644202,745438.9469640283,699607.9152693318,120442.59674654581,64999.636527564486,48000.00000050424,17212.67815214522,6763.766518499154,2529.8170425463923,2981.7814435295872,240.43734609500916,510.5549745772716,1057.999103973365,43595.690412440286,4834.993445507368,497.34479637238155,9.662200797481707e-06,0.00033716347154653166,0.07707997133603575
61,-619.0696363087973,746221.1124646211,543584.9435658103,119109.52693276462,60160.19141210272,48000.00000053621,18026.244214978615,13822.62830508942,2696.9965606286996,3083.27189682339,141.27621665308124,251.162137918208,1026.6486034249074,42291.627596070306,4137.075375338251,533.533484619845,7.139976845568379e-06,0.0003932265744107977,0.09316697507420899
62,-668.6486806813673,761241.8869135027,663788.2033529874,118687.58222635339,61987.438134935146,48000.0000001121,17301.887401522315,14064.866994274373,2485.1152973593585,2973.15791798706,139.94591076068477,463.0232217371533,1077.9606720710124,46957.16870408215,3924.7638099704327,462.30439813932503,1.007403261918012e-05,0.00037582487406902037,0.07499623885093118
63,-762.904083068624,727196.2863331918,703668.1733344967,123116.27032809556,67132.5521554321,48000.00000000578,17967.019053876447,4382.757580967052,2618.4676264629925,2970.053102394982,328.0741804139635,672.9932896288042,1231.4511611602898,43489.05703574976,4364.568010504427,506.0756759159505,1.0121999079527906e-05,0.00036880690819810624,0.07784223768511134
64,-691.2223637378993,775213.9157180284,723756.3233500861,120218.60767619092,62841.01066932213,48000.000000432956,17278.86407879222,8750.662159428222,2665.352851078712,3014.1605486751373,205.21943810400694,556.8972820828038,940.2870673206343,49500.30264168235,3696.897783384663,458.0061828820032,1.032555273310399e-05,0.0004151498588111952,0.09064817971225053
65,-643.4299805415492,780391.2719119156,660692.1805198676,122265.32241894699,69854.5105089624,48000.00000013282,17609.24623209114,11759.670288694708,2579.776686059955,3053.6292566522043,308.243312130361,1044.8661417030046,1608.0274540699827,48960.06874671668,3387.6644358205995,455.7628107743306,9.299907580648044e-06,0.0004215936075994947,0.09147678980711979
66,-620.815163802287,769300.8212351891,697939.7462470899,119877.92418681104,59619.67879523978,48000.000000290136,17410.941611273734,8118.16153927356,2808.104260669879,3089.742299360382,226.1120114830569,233.50535394171771,1003.8353026770254,55101.429807773064,3142.6070296545854,424.1153339226444,9.270929915147353e-06,0.0004821289744397256,0.1117597578433847
67,-766.6668241860707,729187.1488707856,658637.3524721353,118749.82613089032,62334.810212043645,48000.00000003707,18026.849834716242,8943.158345271897,2648.6740983278523,3052.626430574682,141.73224830911084,416.119798573621,1019.158913357142,51121.72012723206,3210.92149546725,427.29492676905863,9.777888463604728e-06,0.0004288458775949313,0.107061191212313
68,-575.6921869778055,783287.484104451,749955.7189750089,119033.00106814608,61473.865524184956,48000.00000020146,17150.957386781356,6492.09229841968,2700.3800786491647,3152.250710234569,188.21640258064997,319.6683401132766,961.5924847653408,53696.729060451486,3340.6649072855907,453.10389659326927,9.664330345169818e-06,0.0004421952456288923,0.0903252320020677
69,-696.3126096971031,738826.2547837556,738027.8985349585,119542.46609329064,65480.9735606203,48000.000000060856,17916.26666324573,100.7705406189468,2745.7757800533086,3234.039748215149,174.58015345329747,700.9350253594831,1127.8550202137312,51340.85310596691,3227.711463262992,413.48433606270214,8.519838984937533e-06,0.00042562184854355605,0.09026647197051088
70,-634.6815323406493,763499.0252780737,651574.0306814488,118455.24200617822,60974.28890784591,48000.00000067758,17060.368612890383,8344.023932158141,2917.241260779878,3239.147785368061,122.76154894460801,270.9274659911846,828.2923208540853,41777.31405715915,4327.464326495984,502.1179743404805,6.642339331782149e-06,0.0003555919555856387,0.08925117906030332
71,-701.2266920643247,764523.7953111881,764021.2678504261,119857.9577951192,62268.04169211126,48000.00000000151,17045.42724541659,109.27738265455594,2610.0737475573032,3118.5120571677985,183.2178544356426,429.18554822688833,928.9431721674042,49798.21892346777,3668.1610528490573,457.3791976431768,9.875886071281624e-06,0.00042260370718973854,0.0750684522865562
72,-691.5808732190316,780740.2423930446,717226.8899574033,118202.09823546853,65194.293076842136,48000.000000000065,17275.754489702016,10967.91433107152,2755.5356704606947,3072.3060774770793,111.7646877700335,650.6008062999265,1071.4493890654785,47468.89696714368,3864.7688802481553,490.3723872478609,9.873010025815646e-06,0.00036919729988576654,0.08447397164816811
73,-688.1698531556971,791212.1315629217,718256.440818059,120443.22384997303,60671.50603401331,48000.00000012191,17264.57085614958,7712.338365151017,2852.0182892503512,3254.1098268020523,188.03587316830286,308.34417828317453,917.2188535840002,57234.46822425966,2966.2686721855666,410.8552150304406,8.500379378265465e-06,0.00047641080449634067,0.10214935506254844
74,-658.7954205427313,777188.5898974858,709484.4210583349,119737.84002311333,61429.723294618525,48000.00000009428,17158.68612550777,5425.616403934632,3003.1300606377886,3307.924768151603,170.18072936702345,340.1429156519361,1000.4302656112504,64873.50505584094,3067.511070246233,401.97144763392583,7.479384333607056e-06,0.0004978262696671865,0.0802336679876931
75,-783.9485706942544,731883.2901911273,612339.7309509864,119827.629153406,58553.618191208436,48000.000000028886,18158.934424878607,7984.147251178121,2807.1624655978353,3319.6736836412247,211.03817187453885,186.6564528385918,775.9407465989342,49332.14644817748,3397.320065719654,431.0282825487102,5.9033901610160795e-06,0.00044344558287794566,0.0950507348771157
76,-628.500765788518,763555.7024886953,549998.5556453565,119823.27559597834,64227.033112452395,48000.00000038043,17403.054527959364,14361.64688108191,2589.3309099989087,3043.231739454488,198.6881097937837,530.4705532612894,1259.6752080843196,53437.773033081576,3396.9481926118947,408.4342604035314,7.1971549276398055e-06,0.0004534098003799716,0.09985949932047258
77,-589.3319945644065,819358.9601403688,754387.6782319193,123426.4770458362,65941.3544632699,48000.00000006682,16553.03066002686,10977.11401133595,2693.7568718453763,3056.4039102350507,323.6539478298032,723.072385394434,1462.3413369487696,54374.94572512835,3384.598877376453,453.8455157710132,9.495719982905651e-06,0.00039967803191929516,0.09152265569857981
78,-521.8634252836601,762951.9828846859,757553.6442171604,121960.06649331574,64103.556887516126,48000.00000006333,17430.73327502431,703.4008865045615,2963.1905709609623,3165.65252371499,281.5545611860762,679.7006586971572,1256.143794761499,54410.19590172491,3043.065150398375,449.5169207791782,8.419828495972013e-06,0.00045754366910933676,0.0906019631486025
79,-559.3505763235761,736801.0797441975,679546.3593173006,119261.87245525516,63402.47127833986,48000.00000048062,17802.0677724167,6737.708339988795,3019.565046366312,3089.139710468336,192.0976703277105,490.35371671917267,1115.5369058781228,43128.2617539384,4667.407662685175,490.71772917832214,8.88725381757896e-06,0.00035783272349664555,0.0710264371852598
80,-669.4466287010432,780754.7853031977,614273.4865561053,121592.43635961626,68106.08251842187,48000.000000112275,17066.018143913545,17893.171662521436,2482.8343405655983,2875.1905681664366,257.92667321741396,1361.164213555519,1366.6681874358542,50945.563077605555,3435.333189150272,448.78579622633526,9.508307586747736e-06,0.0004342061057520327,0.08806968707032399
81,-686.5067851290419,775459.1927007029,624121.5061808194,119507.2987753299,71178.62293910552,48000.000000000065,17078.178951108683,16259.455403551816,2687.7944513081065,2895.5372553565717,176.1630351246653,1277.5190969663822,1936.9312694932482,52450.729315409284,3653.067876889719,444.24905999816605,9.63498684639222e-06,0.0004156636711218711,0.07442628486857206
