sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
57,-368.92760545726753,750526.0184012274,618984.8771826036,123800.53887951068,64868.05854694883,17067.35863021693,30353.823490529896,8093.585162185852,2813.1398985771857,3249.4361079644937,367.170832380139,403.10412691979906,1123.2227783361889,0.03106225260537382,6.2037925874598314e-06
58,-402.42742031686674,769825.6611539094,627396.0389537978,118657.32591625095,63874.1667585203,16505.05360986567,30332.053125500403,9370.603929269299,2720.819700208672,3137.392736976411,132.43266351011815,406.4850674891903,969.7359365130475,0.03200675691491276,7.6012806325561606e-06
59,-410.9375070669132,795945.9730419504,587734.7247656832,120042.15984038736,61243.17567658488,16197.485164841168,29408.915586162468,12311.925427063241,2863.4955172951154,3218.4725791159062,194.7220518655693,279.00688526649924,811.9800200899016,0.03142704964426909,6.412874348088671e-06
60,-563.530446756301,795669.3127768515,668351.3536330926,125212.27567911816,66454.74090266888,15942.489002473068,30444.476214457212,7643.50045204214,3018.0830650356997,3377.8751631336277,415.29374912922606,494.868132081826,994.0683538930016,0.03402550384158458,6.3271960223571e-06
61,-354.9434159151071,805892.3917985221,722851.216353278,126442.63766002948,70214.36704540082,15865.504609404423,31751.857645348617,7797.472734768457,2753.3981016064786,3242.8943244218585,454.4562492230716,761.1193800731243,1268.1040299095614,0.04465939707092544,8.069427131416984e-06
62,-437.1750125239263,785793.4673176641,681397.4025616486,131256.3860111777,71420.98026572853,16331.604259926127,30888.070613974665,7099.390644618164,2854.372417109695,3186.259002259846,815.264928818731,752.0331352847617,1565.9534684026319,0.03351946220931194,6.68458079680436e-06
63,-461.70158384960183,763864.1554803754,697842.4188545803,126124.91123296917,64335.15938241016,16553.919855575736,31090.79598286085,4686.254362728342,2749.9708415307236,3290.7605332938165,539.9578960189049,455.22948119451473,1186.0696152302917,0.030749157474242898,7.165562780560459e-06
64,-226.14937395279873,797768.979787274,658303.5319562133,122698.65473702623,63432.450308011306,16158.543243626194,31125.76440160617,9826.213527098647,2897.8725918185614,3258.6195497637564,336.2073385648058,352.77402420240685,1063.8713840916912,0.03747448269315144,7.501329090578745e-06
65,-506.5894713777539,786540.1478135636,577612.4072754914,120695.61233311868,66173.96912424878,16428.90895649129,30760.684615087994,14920.868848881699,2439.9834303674265,3047.2270853334835,241.80417441899056,506.890511279771,1099.3961357610028,0.025515889626062657,7.912505386613995e-06
66,-447.77941179550027,771027.7490403339,632697.0163422885,123393.88763805981,62797.40021722518,16583.197105364034,29427.197355002336,9162.37543810993,2789.264932544031,3220.309256958549,357.4286641990935,346.00522592048935,979.5071431897088,0.028905895982190143,6.453774091308527e-06
