sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
348,-688.4981601143654,706378.446861386,700615.8721715964,122512.06318736414,70575.6437890596,18032.1960646946,27276.450937052174,1111.3965801712768,2584.742149913551,2919.9341501922186,272.0725404696421,1034.9111612992765,1466.6181784898142,1.0168007302431902e-05
349,-651.9871916259623,673610.4307905189,665862.9033962827,123600.86052298563,70438.51607964937,18126.384114701574,26394.529643825714,2027.4219344586397,2739.899407459806,2780.389585692553,327.2971315944738,850.7039876894266,1509.6066240965506,1.1859084522980855e-05
350,-519.4795134578625,735833.5833767778,732364.2525577917,120916.19850854672,69180.81833421969,17402.47087127918,28199.60293012549,1322.1191242826444,2488.7712977299702,2984.3104603550096,222.40472385823895,837.1787646134405,1532.6780407183262,1.0008168982090114e-05
351,-731.5564438548815,700250.054067798,697317.5177383118,123784.58545249366,68777.32747468338,18018.346592782666,27106.059396585864,550.2359076844197,2508.0486982707125,2894.1236391055327,324.11083651652933,835.9264879227471,1557.8796243740014,9.950105497884222e-06
352,-659.9819491404528,744542.6637176712,716593.2057296823,120113.52379497117,65488.93767478493,17389.971619232296,30404.230271318436,8822.976786430763,2606.670441207626,2897.307205720734,222.59631558673127,700.014672147064,1401.7782233008886,1.1020488303361431e-05
353,-547.9944400507419,676619.323893657,674084.3015565372,118203.41084719829,68316.58974313941,18334.611643866065,26905.362285789248,561.6074892960344,2535.749590456935,2927.2847703855164,120.1515733540367,772.434355516292,1152.7454631375736,1.073058122111771e-05
354,-784.6284603943033,742184.4097139047,612764.4123600412,128251.01440473548,86210.05437389064,16983.87691129534,28693.691357135256,69887.07104561894,2175.525727905589,2421.083602254268,577.6992359667993,1781.2248506181866,2691.268151617745,1.3471454525822059e-05
355,-715.5211868193652,727005.9063577777,722113.2357061598,125917.09571537936,69081.24579219305,17624.489887347812,29202.403863415784,1004.0732986145736,2541.0321529740927,3019.2846772721064,396.665088550952,677.1408010976221,1343.0926443637675,1.0137051046924801e-05
356,-733.6307049901636,720979.376679195,715238.6011744358,122141.5692661761,69324.01070230191,17558.33361850163,28907.925726091373,1860.407171831468,2605.4413198664756,2923.638253740145,295.7734321280006,1016.0409097663801,1670.0180295002085,1.0457969004989979e-05
357,-575.4775529296576,691043.0512304641,680818.6434595415,121583.00192114896,68193.76917746557,17964.298988615916,27810.619128710794,2046.4533079735722,2463.0464334621633,2968.343644880637,279.8881190488613,810.9356123067512,1393.427583491998,1.0130669088782939e-05
358,-691.0668538553539,722031.8814454557,714502.1660025378,119576.80117072928,63162.2396551168,17479.607623248536,28805.696103085596,1423.7931792981221,2765.091530099049,3098.4347673080056,161.3394494349499,479.9717512669559,937.7127523960409,9.842679029389794e-06
359,-506.44480950387856,721678.5567737848,708923.6742599276,119739.41009071891,71115.10944786169,17998.54151654696,29242.89014535875,4847.354044224332,2681.710881087258,2903.806054103712,223.4899900497117,1126.0860747908696,1514.5962991223505,1.1324744934162777e-05
360,-663.8698498856447,707628.4592348817,697477.9864577877,121352.29010080917,67416.48659270568,17624.194387144766,28934.972459761186,1248.7916698441968,2791.30156584741,3126.832468804866,301.444244866602,790.0626096018682,1240.5186413505894,8.484100980073015e-06
361,-831.9631713907917,741407.5882920618,704550.7664219944,123601.48550512563,64686.06205463945,17234.642822168986,28332.297525400485,4519.422832447774,2823.9489310917065,3050.145771817424,339.29335839291605,567.9764306339569,1398.5159678360892,9.413238216153713e-06
