sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
198,-362.8479980505095,760014.0406348982,728574.0153593728,127659.88454867444,63193.783876349546,17234.24551816497,27879.983265672425,1076.58906584229,3935.4202167610338,2663.8475912657786,1107.8843149688655,319.43528854311876,962.0747632879259,0.08644184209657875,0.013249863436759844,2.026754462975233e-07
199,-291.25054749290814,815454.8176837453,768972.7938077855,118458.2228130082,63682.14737272561,16719.691308561323,29458.553759861,1570.5886630195967,3777.527511766636,2442.7076986596953,208.9308821221705,473.28250007598336,1056.7436242959254,0.11258368739981883,0.012855203765983243,1.851989514493532e-06
200,-376.6881503179768,762248.0939797215,739832.2960547811,126455.19146963276,60275.366027087475,17399.656901155817,27535.033460292703,1046.5818208319702,3572.575019270352,2727.8886934717007,732.9648722268598,279.46920161568073,930.2675649281136,0.061940154341596006,0.012700311297831144,3.0507832890460946e-06
201,-423.19559769643075,743064.4871140071,672069.7133722771,128456.93924522397,62384.14635399786,17705.145487701353,27382.010600970603,2519.3002168220287,3680.8006220201373,2800.9729323324127,845.2705849276764,334.90397660737347,958.9097803367778,0.07242137252572045,0.011929171780941992,2.0813328006054717e-07
202,-450.6952412981768,753799.6573925574,681204.9006390948,117621.64587217974,63116.86121865968,17529.466800580918,27600.036257733074,3385.9458386719807,3473.770226699918,2416.834961929402,124.06642872907817,389.3711430984884,995.2267959676963,0.09726893678197455,0.01016016377034511,3.777819241339142e-06
203,-248.8896605729787,796106.6226476164,735421.8252504378,117525.33619125673,60724.71003677785,16786.328704096668,28245.02664599926,3220.6329012402975,3073.331353615208,2483.167406847114,126.17806186946044,247.26713766379888,717.8227170972257,0.09096911327373368,0.010922802656801818,4.93541083451231e-06
204,-303.1014809573051,713910.3920980897,695198.6647000985,131944.92531049647,66456.32291116258,17994.90852278168,26119.159476162753,667.2813377310629,4042.7339312253844,2740.90022898906,1033.0599143056124,572.0460576451065,1032.3124404651787,0.08231331078249757,0.009958836228603192,2.241709811100989e-07
205,-318.2970061341822,753509.930221254,750346.6581066193,117108.84916993468,63470.15570706169,17430.007348722265,27386.261670310767,192.96761188843692,3186.5710169883423,2339.218988723602,79.10325612842514,320.5866087816908,853.5979746000038,0.09380200726570875,0.013138259924882646,5.267524463501368e-06
206,-323.28504055463327,742906.3506945132,713632.9564967944,123582.18216162211,62976.68326842439,17688.78532794043,27229.158302030643,1023.9716511075953,3776.8328271456317,2619.3875225425227,476.8392506171733,354.91454257963466,985.2387425175128,0.09458886476185607,0.009296138013753659,1.1258743377465512e-06
207,-426.0048553332667,802238.8839561731,780460.3888037648,116805.15171862053,60791.73852294717,16662.826537290242,28488.896410653382,913.4105642461225,3459.5083391073285,2425.830949179372,85.90751011233196,214.47395890982466,930.1235182748686,0.1064609051888762,0.009782620560282647,2.99441822318446e-06
