sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
143,-702.9715851158148,777541.5587712205,716252.7396209118,118552.16109313745,70209.87624949757,48000.00000003084,17397.30087579673,2352.661322510607,3804.1618904451825,2745.508721966711,143.36201286098745,826.9113586105324,1365.6067338002822,32640.69397748826,8766.73263048405,795.5386218236858,1.718541483066969e-06,0.0001720389356531015,0.089105303573539,0.02772140930028907
144,-579.6194711876922,784307.7665895842,753474.9126647875,121609.56312920144,62577.26278257026,56703.0699791873,17018.708980570624,1490.244920967817,3632.9993927015666,3077.421889584874,281.2977011186389,308.14928005025575,954.756386212992,32094.727141143434,11674.613071871552,959.7102468042459,3.6960506616758325e-06,0.00013155767383516638,0.059625357233333176,0.021368383281701334
145,-535.9632768705419,757792.5971337953,741697.4427176269,116836.80499646961,63764.494299188824,56951.457997698584,17396.22465927803,546.2111396572537,3936.894516891274,2747.7787125415666,87.73060718966752,460.67405229276136,1040.6869364158276,30181.055896333764,13408.18974938249,1019.2602100366715,1.2404849848783395e-06,0.00011747696460589891,0.10160788821661712,0.021962371593931808
146,-733.0866682756694,775250.1630470919,688859.9531577461,118512.79254732831,61587.248142407385,48000.00000021757,17023.125037112946,3190.0037255305606,3936.794164154623,2977.440645828036,112.2110725375512,345.56697473442335,788.0592016921489,33589.48900845078,6749.305036258435,738.622495871537,1.4436206091408583e-06,0.00020257970822980904,0.07940541070882567,0.03706969135307306
147,-652.0941049589335,785219.7731113551,708377.8204568129,117985.82263622383,65768.44187361153,55958.014078559296,16867.51991804136,2882.200407696985,3739.1594019085646,2835.2532049489573,136.89605483133494,500.3432369507834,1107.9341623646692,28110.088034062355,23708.315584974825,1176.5801634293987,1.4463926145614305e-06,6.390463769340347e-05,0.09410117350226538,0.024265729038737312
148,-554.8321640149787,765760.6646449533,723952.4790424809,119224.50420505038,62052.37455003207,48000.00000011833,17715.480545933104,1976.0266737864144,3728.586761560212,3047.3400185169426,145.06037094273935,292.253697516305,960.3450961350147,35442.53282219391,5719.653035532185,616.7350814005994,3.655414539214764e-06,0.0002548522427457291,0.06828782273701034,0.060685893369932666
149,-612.1276126826158,813964.2369907094,732782.2005886807,121734.35690531752,63402.40756317917,48000.00000025987,16690.570183207456,3969.7024101924785,3552.6927229004373,2915.12957993087,337.6985708417434,462.71653550345326,1129.7863113934618,37009.639178765385,5993.704758611728,634.291856560071,4.429194409103272e-06,0.00025128586909750204,0.06195071596677889,0.04870600175269961
150,-660.9319262964962,783486.0298936766,701503.9433399967,116739.79479679554,59544.23150009534,48000.000000015665,17274.662684202445,3660.5497488409164,3668.283632446909,2989.630503486401,57.204624387430215,203.97325926035077,981.0144588203166,37181.85016118429,4994.706616757297,614.3643673280749,3.1412636301287663e-06,0.0002734115449963789,0.07526807174604958,0.06000466510454689
151,-571.930906101929,781203.8438570022,737195.5342219198,118527.59026098486,63749.560126564465,48095.4231977547,17016.449983693296,1763.8956506756958,3688.9542010662294,2941.1380453634447,147.96275586936642,477.51794620065147,958.1940290816266,30068.76309061623,11902.345661007854,816.2563403704602,2.3819752212227773e-06,0.00016344854337687318,0.08895966959226097,0.023513045532645577
152,-725.773719749325,772342.5159445478,683139.6269301825,119787.88314990117,67000.39806112259,48000.00000135842,17551.028265165838,3508.7728513913034,3654.8628993298616,2936.8221844956856,225.32704691464417,588.1945518770358,1160.2601517091825,33526.685775857244,7268.207194644028,681.3287547890209,1.5354047349595775e-06,0.0002094460393167781,0.07905594157310078,0.04475175395420629
153,-645.9456470545801,792068.1813687216,735312.1490569839,119546.08070848486,67314.40153924872,48000.00000006521,16922.51373248312,2413.1866128311517,3659.6166675107365,2905.453136692527,181.04052477649702,600.0549364344237,1108.3796041631451,39457.312742781556,4728.223449376537,600.3862168874281,2.962199147740966e-06,0.000312442026830096,0.0688671775303862,0.054406042959612405
154,-515.094533131533,770366.3857522162,729444.6852694924,118977.536928093,66379.44232499144,51821.157235077924,17202.510978017497,1510.2919310439365,3913.2834530952236,2862.0021779798285,167.07170194522354,465.3905934933434,1258.0695597803085,30989.990118525384,10849.779173902905,817.2336175146811,1.5517629619184333e-06,0.00016046106636562597,0.0879048204860585,0.03538576672135352
155,-654.576553463902,788689.5906813662,713743.0337282963,117428.63476885472,61008.51040201875,48000.00000207209,17013.510412083113,2838.8901034502924,3941.4882013237484,3040.380650665067,86.5989242308331,255.29676916864872,736.2292071208853,31271.636289499835,10294.863042162473,810.9494146771244,1.380109042146586e-06,0.00013655313888172936,0.08332973996110826,0.024910419716164475
156,-581.2120818570418,763456.7829882763,725310.3113346866,120572.77333058046,68200.37855547293,48000.00000000126,17607.26464367609,1438.7249188778937,3789.5052480938944,2924.399687910789,247.857639545498,691.7122067054289,1388.171262162505,38618.963855933755,4882.550074946245,598.3940584311772,1.7018729366486286e-06,0.00029023175019232987,0.08599524945402011,0.05736822785195889
157,-638.6044295247865,781291.2690038286,726378.7917234602,118375.15811709428,68909.62290858744,48000.000000005944,16754.265890041337,2316.01728885699,3929.7652162260183,2739.110229885968,133.57169852265042,813.6398672814255,1478.9256903366095,32238.564400681335,8441.313753240775,763.2874313255633,2.9906220497768614e-06,0.0001799879991036861,0.08532578132782064,0.024669102495571325
158,-429.0286709422297,763131.0390622377,696015.9837779172,118325.82528220536,70178.38293977382,48000.00000011705,17256.979735713234,2199.6442242022194,4148.494429716869,2800.007894279982,127.35895694631726,843.2995511401156,1132.8255815723942,31024.087748121798,9600.676766519127,765.5044769576946,6.236661148456796e-07,0.0001537447666170257,0.0990532491596894,0.03118667626390594
