sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
252,-130.41825861980672,834558.8202324136,53466.76084366985,52397.84992887922,30693.053515664862,16255.219279539735,2393.8669712372225,28783.19314708603,31345.80769356207,86.36565721201157,6301.229310466169,959.2649914309329,1526.1499588989338,1.0000000028778562e-08,4.3393871787620056e-05,0.1322162771470138,0.018335889163786583,0.5883599215460505
253,-161.05829997612744,758727.4549799466,55104.89378385299,53272.36917353839,24053.162423207494,17567.185159200308,2381.6389821670105,29758.273318406696,16083.552779442249,122.44607491051949,5203.690977025821,1485.200822017609,1343.34218136938,1.0000000103453549e-08,9.101411451349743e-05,0.11754101482430392,0.01853171195607641,0.45537303578000754
254,-112.69137758663811,781715.8189251508,51058.1167331981,49928.30555820185,30441.56195290732,17212.688991564053,2323.318281044279,28031.661669530466,26446.289150884197,76.56659053262955,6331.407026357093,19999.99999983361,1492.5774449182716,1.3700410506596927e-05,6.163188290682332e-05,0.15047102494717843,0.018770020452750377,0.5609664202511833
255,-95.14377237804227,818894.2487409558,55060.475524022644,51705.20688526565,13939.764517136155,16687.436301612182,2421.824723947026,31984.478617849858,12330.968617396607,183.89887770786612,3110.2955897133247,1543.55357674427,1416.495527171583,4.6059865868225387e-05,8.309679030206681e-05,0.12342738908660184,0.018655724809731412,0.3683724544459098
256,-101.26692110064452,808414.8598454144,53963.00616009266,52843.50851298466,9397.84617230508,16310.866931058976,2522.285075245282,29292.036853012345,22973.941375770682,78.57399866708461,4005.5168953476277,19999.99999995053,1401.1369767487602,1.0000000059242123e-08,5.6828230078810555e-05,0.09567444934456049,0.022845823671362675,0.3252754824594281
257,-184.49489113815068,785867.3781303607,56291.40114309646,55481.189106244085,18626.18009136179,17202.01449480714,2638.168832326454,29118.186786215952,22915.282891667746,58.472859188112714,4337.086530696253,19999.999999823696,1592.6788860273582,1.0000000116676039e-08,6.602867744217999e-05,0.0958193508764276,0.02148681868167812,0.42424850956656573
258,-143.92007198247893,771717.838311406,50688.71029033493,49855.00738985462,8382.912512608264,17432.93966634276,2474.2834877366695,31151.568033552958,12788.721305185014,44.455725927838415,2901.190882602234,19999.99999999998,1500.8341134508055,7.954195824870214e-05,8.674821028008793e-05,0.1037342806231634,0.020729679463725136,0.3172124587590295
259,-158.40415335991614,819355.4938338004,55553.18933459791,54129.37483008172,23050.67973728761,16522.311091462612,2316.0005774980864,30150.94900826208,17982.756936514892,91.94788234557835,5752.8292130593545,19999.99999972877,1510.058999348145,1.000000007807591e-08,8.866903495701354e-05,0.11919790916692632,0.025034352753637863,0.49413475815436375
260,-147.87047881056552,803031.576876252,56196.078441975864,54464.795331895,10516.666606257333,16916.868594664295,2303.501900939226,28550.7295848751,29589.170301313687,131.61761649458123,3172.580525666367,19999.999999926193,1587.0453929972182,1.0000000013936212e-08,5.377638287795757e-05,0.1409812100620247,0.017334998286544164,0.39098619670961093
261,-117.94771248092718,806530.5408671856,55233.548210575296,52417.89143505506,24819.56519435069,16883.854652073944,2441.041704834043,29431.160777937963,19860.462501032052,184.06575764105992,6093.287699506464,19999.99999999579,1364.495666091601,3.0238163636798028e-05,5.954589917892719e-05,0.10747213295477459,0.02748290758300548,0.4574105807680125
262,-95.9117504802334,846367.8541284199,53836.5698060294,50656.193326335895,27768.270716131807,16076.254695182512,2520.4443972613867,31477.0086504412,15847.170265239065,211.1248827646285,5332.33758887796,5199.882774643541,1447.9507894485025,2.692403134166684e-05,5.9269847909950454e-05,0.11463161147340666,0.01906297862752512,0.5624398383693359
263,-97.29545621562391,851784.4234467978,56183.960598020014,54850.642184702425,27613.732595967795,15896.395656448993,2523.8199928658973,32290.599967882114,15071.053935380363,93.7187695689823,4318.0569033014,19999.99999980821,1437.8397460624003,3.29963082189591e-05,6.339223460621169e-05,0.11310053382501525,0.019448764227064496,0.5809216043100507
