sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
406,-617.4402672182026,825529.1932242529,699798.1058446418,121533.44715567816,59317.72934311431,48000.00000020445,16354.116079723994,10486.654664077836,2989.4399901162283,3321.916963510552,264.88989196148907,169.6389362481476,784.8090584802113,54580.81838153932,3223.4317395667063,449.67998164707984,7.4657557246480315e-06,0.00041498292055398665,0.08199257450021616
407,-716.820211171625,783960.5532894656,634273.479470347,124959.01294402564,69079.26366639255,48000.00000045504,17212.932193391713,11150.91214146893,2931.570210809793,3202.1183692151385,395.17257208353107,871.9139515620669,1464.1261445865443,42138.156028321115,4117.452491271544,545.910789353104,6.607541160198136e-06,0.00035706552638654264,0.06641995498512673
408,-754.9972291854535,833411.9002561786,650560.8853803303,121340.59463489607,58315.82875006513,48000.00000004781,16383.812882621356,13135.57716339157,2724.5559677487568,3280.462090025109,222.62596645248502,148.69523198450895,758.3358648214578,55999.98250101168,2936.1861502612064,422.04972181239475,6.982117822584302e-06,0.0004277731549272112,0.0950372238962942
409,-624.0910959981162,827372.2633982156,656382.0321587371,120914.07788389652,63062.47904146227,48000.00000004534,16387.54623499408,15417.86447216252,2718.7979973629604,3141.476071978296,247.08453005001715,401.17864921932346,1012.9803688374933,47987.25167786924,3499.601539910626,451.91406983251704,8.170564346176346e-06,0.0003834568042416371,0.07861453456074569
410,-734.0331024975806,820586.533509413,644123.4402755058,123197.72750047778,64000.664775791156,48000.00000010622,16421.00254383925,14355.075717680122,2734.671944335204,3101.8926106195804,314.3750337730891,468.5509946413614,1046.8151851209207,43716.585187125835,4184.445484919098,517.9493881964493,8.082376901226644e-06,0.00034431514222960617,0.07555914702209922
411,-661.9903254324729,771395.650130306,670392.5480683248,121217.3683867997,60240.99581172749,48000.000000000065,17169.315815944472,8045.911924236309,2891.4571958847364,3286.6258358787913,226.38332136564244,240.79072149298162,800.839706589382,42821.20564469275,4722.1713848006675,532.7790209256534,7.0782725357930105e-06,0.00031268343628625757,0.06593505985965897
412,-684.3245440950641,769844.5408653805,729803.7039165541,127338.62017809549,62473.30161608793,48000.00000010955,17317.714111642796,3029.5070193845213,2991.8183465610277,3360.6358397286217,562.5053777353297,368.36448928187565,1070.6604457287901,61846.99965971319,2979.422912829794,403.9018925256217,6.992814410515805e-06,0.00047514125839308335,0.09799707150911025
413,-664.9045728436998,812715.8473006871,698149.0872698801,125183.98956238882,64946.926286618866,48000.0000004275,16624.670749210138,11757.726532610159,2761.348916602613,3197.9063948464486,408.10853232721485,563.8442326869068,1134.0004110708055,51585.43988189497,3677.943627959717,491.5594394800219,8.488890519410868e-06,0.0003736291769511649,0.07426108030670639
414,-827.2655414411475,856631.2267278057,757488.589395943,123586.21023444308,64991.82601159519,48000.00000000825,16274.564907898653,13374.814624115483,2842.1347811290157,3173.664073799295,306.0274931205686,512.5076271190236,1090.801952363231,58131.45331417393,2956.5602937938474,430.22231736617204,8.92934006942582e-06,0.0004461735514376298,0.0863759139388449
415,-634.7920458438996,789926.3265968959,632850.4443872455,123668.55745154663,63488.43701082713,48000.000000111504,17258.363602117977,11922.45712713116,2910.8446003048616,3269.51823889344,328.3404849761073,378.24890854487467,1067.4898421745606,51161.54641057678,3658.154659992813,469.5519097484683,7.032699859846958e-06,0.0003941669599955063,0.08442873001600014
416,-594.5973919936124,829965.312414732,622577.868519169,123305.88474237923,68089.71574908296,48000.000000001426,16575.801936081938,14251.766044697835,2682.28379700984,3203.3237051018737,345.4568698311767,694.1965920754868,1527.509808340824,56730.78730278434,3458.22050206169,426.37948605884105,7.05585397741856e-06,0.0004492254123094634,0.08858734011296256
417,-623.1895695527558,819179.9291494064,644790.3914601551,122900.25119455617,68241.22835719508,48000.00000006035,16625.383368741168,16454.572228220823,2859.408104541347,3010.8216713909733,386.6461820103857,751.0179647433755,1501.5566493585256,49044.81702981075,3688.680860517495,480.5594983723234,8.91093829384307e-06,0.00036391008868859656,0.06791336777891856
418,-607.8963516107367,868196.7302744265,643456.7358567572,119660.27580544035,59999.91491526898,48000.00000009752,15793.700745437958,17378.900538627462,2669.817170542007,3177.154463962838,154.61244029193477,187.60043929949472,718.4965439639174,47522.2910480796,3993.280762280514,514.4771474281504,7.855875395684765e-06,0.00037201985535363126,0.09075301454174414
419,-575.3568486012019,833224.5051216099,691421.0464292356,126417.81339576606,61355.13389453812,48000.00000004696,16198.314746951213,9506.856004970768,3115.548803209308,3340.576741641416,512.260818466394,278.09258806575986,1170.608309330052,54489.39423536388,3815.5718417159796,469.27165013112324,6.52745884470359e-06,0.00041773259306738625,0.08064070747719498
