sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
13,-392.1407810782004,2296982.898923307,740300.9155765801,677117.461639203,116873.69451468729,60116.42996014007,16920.165547981567,28421.514108013354,4826.187598596134,2980.241797578948,2432.6542672975834,91.83213903502578,247.22129385872043,624.0135037402404,0.013895882439365485,0.05610303828453924,0.014610712115660129,7.360102716889351e-06
14,-313.08733399884864,2499999.9999961597,704228.4421055055,657775.1755778034,118539.25065809763,60805.324249919955,17722.439521589604,26596.716246344327,2253.526211388261,3265.341145462842,2773.0201943668953,164.13898618341838,254.8292353668784,772.2495594667982,0.008492099458541633,0.06242930274793674,0.009390530343511635,3.90721269347959e-06
15,-303.936302954414,1709831.94964891,724573.8082588856,708046.1505054354,120833.76108808938,60932.69617643579,17382.69346451538,29627.273187305556,827.0615959975233,3064.3227700740244,2694.4629528574283,300.17523862456704,243.68504478316467,860.2423146290064,0.03419649296901702,0.04494332983366284,0.01557812676854635,5.099080783265155e-06
16,-282.6706303939991,2499999.999994663,719929.8758581699,698250.8553981425,123678.69297427569,60539.47406882639,17912.71772846221,27567.033145422218,1138.100686889821,3361.5763689359187,2744.8915737754664,383.46647377956003,236.38916795073953,806.2228495144485,0.008011389478566458,0.056051495948893394,0.012579692055022235,4.271364694870475e-06
17,-309.9506920926318,2499999.9998611566,714568.7979503511,679431.7537447086,129010.35366409949,64043.33146114123,17870.099628092612,25885.581439965405,1508.3584333606893,3457.6709157175956,2764.340020193507,792.8680338636999,434.5105987079277,827.6110815546629,0.0023966720361770287,0.05925758546801095,0.01206620872909847,2.3736196076164076e-06
18,-385.69583750268305,2476844.2353235628,705380.4305297086,678164.0580860532,117349.21938294209,61279.70198002948,17999.83113261592,27388.912110407055,2100.3850440770284,3029.0018929273715,2382.370271955199,151.6089946667142,311.898287201184,1008.2828006092219,0.008387007076399305,0.051378024959617026,0.01895980436884238,7.49634033394037e-06
19,-397.83631171133146,2201692.2684023594,732702.1681503407,709534.0562763127,120822.08269225905,65568.2687865209,17510.86747669968,28702.670013598366,1259.1160521200186,3243.8037422883012,2626.3398826380735,284.72427184197977,432.3822335126236,1142.6408023504625,0.012780574738787381,0.06118321486933149,0.013880090125040637,4.860633449803424e-06
20,-227.39236079167122,1137918.038240545,716416.4314674502,669338.373268158,123216.19239092009,61389.78945560674,17691.836168865804,26741.74523773715,2016.175684233849,3508.000251031703,2814.0618508348425,485.46360894142293,234.6001295081615,793.1877796824955,0.024935455155763547,0.06472949834530983,0.011520129720546855,1.8545103069034764e-06
21,-425.9956744232758,2499999.999996422,740079.8106072729,719256.9352939852,120824.16843819307,64549.43909031073,17424.776840483486,27355.51679221911,1780.8649604703567,3019.623381971868,2500.687890500386,299.21449591714736,444.72941911858254,1122.7061373462127,0.0005759539177494396,0.06556526187108545,0.009340481385665029,7.087404899769154e-06
22,-380.77709326475053,1743039.6182195174,736190.4987776463,680072.3982013824,116327.87233166656,62139.84823369044,17240.19573700341,28388.244788619326,4059.263577772473,3060.940561910828,2597.7617954797797,61.361728716481664,404.235479902725,885.8081352813228,0.011164847316473707,0.056737305975427955,0.01198902532062928,7.01023172994073e-06
23,-318.75630866445545,2499999.999994281,682878.0780417895,634982.7859372231,133386.59181566822,66524.04448528851,18356.003587905452,25537.08721036787,1776.253335077082,4010.7358633644535,2651.1319511718134,1293.5571090816206,573.0264117780473,1121.308224341747,0.0011445139818237618,0.0789655108017129,0.017798410385083025,1.0000000045937778e-08
24,-510.4750827618718,1000000.4644187887,752245.5933275656,725915.6356591812,117020.48400253223,60609.16093022772,17346.856886896803,27195.628242761304,3755.872780955793,2521.6800494310114,2405.1214918035316,92.31400213945763,281.25930223848843,958.3645810286905,1.0001068362928503e-08,0.05100506959717274,0.013036403374473432,9.167098566782722e-06
25,-378.67712211006,2499999.9999995306,751634.515420707,707048.9836318865,120725.91043477294,61269.53107246781,17424.07066446093,28213.784329118018,2117.316069197902,3301.20557413036,2576.094757337875,322.5110441589495,288.949974659487,987.0222225582902,0.006760221515066267,0.08077297327840709,0.011700660057489593,4.5591944864398185e-06
26,-391.36849740321,2499999.999999664,691053.5142224362,668779.8233681899,120231.13619932525,63873.29819989463,17592.528371440058,27019.57031596985,1505.055990047444,2831.8439376290776,2931.784466234375,223.2219921110351,418.98415252670424,810.6177926708178,0.011546266154047137,0.02357832036934793,0.00826400699887819,5.831012832446743e-06
27,-287.14390664369625,2499999.9999941657,763183.8064711012,704379.0441639958,115744.62015936553,65305.0313603174,17175.906532959063,28750.837402443532,4145.928500998052,2989.6441890774076,2327.629939247908,35.853669916174546,560.8238767555813,1346.0159502894649,0.0005670267603401955,0.08369206327470845,0.012949603683852761,7.438388640448758e-06
28,-262.1084498742271,2499999.999988788,740932.77641154,723086.6641227071,122745.38457024345,59851.1933836214,17650.83515418501,28805.925167039408,928.0825990119454,3478.155091387833,2693.6600409314156,510.11772752892375,189.02105359289436,696.8984139959073,0.003435954595476951,0.06318770839950001,0.012814375482129424,4.2195269836309965e-06
29,-345.20670016678974,1003840.2919423559,716147.0058024114,706920.4489823416,117416.94843564404,60249.26549721743,17757.944274989324,28061.312796521954,644.5164158178474,2834.107063367717,2478.041239898109,102.76715228464663,244.76907026885303,738.9115257157777,0.04127752881326177,0.06772074625979373,0.012985797528410748,6.797725172474413e-06
30,-368.2881733076704,1000000.0000032467,714190.3486756149,676494.0835304989,127078.92372241867,67651.68249742147,18166.17293280669,27375.530176773413,1928.4014009044618,3652.2342466078794,2627.79456875132,652.2241582423358,665.2830878142487,1213.0573401902707,0.008218741089449932,0.07108362375678089,0.01143338144567901,3.938343285253703e-06
31,-466.4542717582905,2499999.999992114,759784.3624390491,754763.4058092281,118754.77657102828,62342.7546779459,17189.030855908863,29774.588141509033,416.26923079027625,2844.1570244511768,2410.505928079558,211.75103552805436,403.42747362468015,809.3327638407744,0.008339076799283269,0.057250972979095066,0.01656586195803278,7.418985279715624e-06
32,-423.5912705712676,1562387.4057996557,726408.9354707259,700116.1079009137,122070.26824965549,61197.01391610833,17610.6281585133,28068.69860208888,1452.8416463797773,3197.0088078456533,2732.3906280867723,404.2874786998917,274.828985900679,788.0775058503057,0.023334916737094355,0.039844615213624604,0.01655340098404728,4.786109171176912e-06
33,-403.2402546140563,2499999.9999977006,698018.7438939969,674802.4401739108,130712.99972560126,61710.769395094954,17663.661837541473,27797.49157052016,917.9597182668798,3588.6307717170675,2956.3168713241303,1010.7606003030825,296.55259327812956,807.4970756241648,0.004733272498885306,0.047365074463495443,0.012494146355950564,8.258249164467415e-07
34,-298.5484633898525,2036159.0650261114,717567.3064112989,670695.2680113629,122176.93932603368,60596.809422424485,18059.948284088045,27941.8254543718,2144.009518229223,3601.6311728929572,2766.693191059715,408.54103250129265,292.5169532036084,1044.2733571085269,0.008974459749740865,0.06860112154470191,0.00980698184436095,3.818130740290598e-06
35,-372.97234096571447,2499999.9999999967,719509.2192022324,674681.2140257407,119211.27566044618,63206.258027917014,17794.969444624177,26633.390204166368,2091.885860902453,3428.3923529892686,2618.450205936673,235.0670658500382,481.54775121859507,999.3099024753592,0.002893681128647599,0.07964493480620435,0.010038562279464187,3.6262036056025165e-06
36,-418.24098000136905,1000000.0000027103,720043.217156061,714283.2742881412,126501.83960974739,68219.56851793132,17646.267312617198,28627.22576899143,351.87818711104376,3097.4287629232995,2625.464462574199,564.4512840874781,821.0632633857099,1263.7682353624061,0.070053277991697,0.053466907857310494,0.007963417818104541,6.44545251592221e-06
37,-378.55325454876333,2335610.719711649,727994.7548243037,713220.5273364689,120339.34547809583,63025.80445489929,17458.865412152216,28599.342447512194,1066.8940353103094,3071.8722424278394,2556.1780519942267,311.15510872065346,332.7871243452913,1075.1055125322948,0.014217294623583263,0.05201112724915537,0.01799949893837486,6.766862292767713e-06
38,-410.026688908368,2263158.0956489444,727599.576383368,696344.8466870602,118472.57202607064,63565.81697622696,17926.822613977507,28700.4319321061,2095.858207624729,3079.691300444121,2582.536301436366,125.61766284503373,403.15961480220284,772.7545286929084,0.010787025030779952,0.07338100385122101,0.010287921459758572,6.180802187127797e-06
39,-301.5275559766256,2499999.9999971944,733061.1708685117,676601.8537359439,119219.11711134634,59515.73905173132,17063.839196432415,27003.780867966936,2418.7251506195003,3342.7447873035376,2947.6531153713195,230.61977099011318,163.30784480108954,707.4186875625438,0.008970796036443502,0.058439976913246455,0.010221092166428088,3.0545618903741764e-06
40,-347.34578650079123,2459520.303442488,711451.3588023789,702955.5378209732,118973.35130896368,59891.26186838868,18223.633390102,27704.992951307977,563.0221902612691,2937.3350630886566,2556.023418603874,178.36407155936163,197.9182950698493,805.495874415605,0.007861757826748455,0.05760670350254765,0.016858960722952614,6.065599462956427e-06
