sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_H_N,p_H_WN,p_N_OOA,p_L_S
140,-991.2928448870124,742477.6178765956,699595.9055630023,121064.37983267,59022.58389680209,53182.17877018422,52197.88352157148,31259.518509793288,17457.360863315218,1919.8180762445397,3723.1954363870746,2743.4958298135525,159.74471674622956,855.4288481194778,343.99528115003307,25988.887237276216,59584.2797979261,79.06834203469528,1655.8704174478917,6284.24229735156,1659.6014522549228,2.3312382959626465e-06,4.3247709685092886e-05,0.07843900188222933,0.011799570694845819,0.023720938991971516,0.6441285986075553
141,-818.2466005724318,736666.1974681398,692987.5601318261,118071.45886456985,63747.09633443162,53638.157161432224,51241.38663313361,35281.490947888524,17688.105916569308,2240.582643138222,3231.9535784879,2408.4121185152444,368.95229688888503,920.2814446544552,170.2702514665368,26189.670648366864,38840.82230067414,201.64156470239536,1491.8125304583466,10956.861507378115,1967.807328461564,4.672697599556804e-06,3.923829732869672e-05,0.09775641983263432,0.0135529792776244,0.019250349469943733,0.8017140290379883
142,-931.0011454363901,695794.4866225689,648107.391146385,116949.00015026331,66686.43663824337,54243.582695881174,51484.385746359345,30204.044733877392,18351.764453244818,2095.5088520808713,3623.9066974801603,2313.176533218704,700.7753981310796,1303.8710583441593,106.52735105150391,24910.70329964414,60638.13307191681,207.14351094757825,1855.8660924045287,6089.175140530281,553.0984740968142,3.2583099907584793e-06,2.386875255436742e-05,0.1103423735532686,0.014185549716203751,0.019076179787527247,0.5613197322891562
143,-859.2197671189773,729928.7535766487,689837.0143191905,117855.60622218535,62271.043929624844,55755.86965092682,53109.56675153342,29026.93520970022,17669.53824886449,2231.855206059227,3262.7129352233105,2425.393253365605,360.2603866995129,937.8854545140349,203.63889154723105,27515.41945373504,21944.78277590327,210.09721270133355,1393.0658590929422,7701.127277036276,99999.99999769822,4.9155064113558405e-06,7.404929095127658e-05,0.08555884556673818,0.014074107725440897,0.016942408215395076,0.613267829526866
144,-840.1272430638728,731025.0933705829,675396.7318102147,119419.19077363046,58762.881147879394,56125.97572574808,54428.93634272705,23974.07391389131,17718.632968940805,2083.319680669787,3950.95486518,2889.05010722002,178.53904723979227,679.9168327621226,317.0979351651815,27064.9207907099,19965.88048228902,129.25407965550198,1351.0621030111135,5982.0752001999745,2878.920877666393,2.5711230408779846e-07,7.407985229890152e-05,0.08337738520606366,0.010909619839074394,0.017382057861910424,0.460163212919978
145,-652.2238512887312,735093.9355940117,697970.8509958987,117693.06102107419,61661.34724014183,50630.54074032993,47999.99999999597,14106.493457840275,17844.629031620545,2337.159183654934,3265.8252604030504,2446.892552447747,283.1298557377573,871.2316072690048,120.51288695526173,26680.217770088355,46948.633877040375,196.1739235245856,1823.5601509972323,6238.587539267748,1335.965045848634,5.46402501698765e-06,1.5995383505064428e-05,0.07471325820831368,0.014408995105745167,0.012442977954043678,0.35840950451161196
146,-814.1912867024835,778810.6444639384,735472.3295845939,117936.72335077604,61482.81688182531,55913.249712909324,53505.00054697415,29226.8499278345,16768.437253721673,2371.0631745906458,3620.0665748892484,2478.047588905754,336.0466096521345,992.8841368947733,154.24918695691923,28765.298931301677,39439.75238652952,193.21394905606653,1640.0447378393364,9140.668568702993,1129.3367131208463,5.083474551846392e-06,4.209955010879683e-05,0.09002793635609152,0.011654040551778983,0.015142608730761216,0.6070849278292666
147,-897.4501927611824,719922.1188990559,682150.6213066782,117423.98253767475,63956.429081140355,56834.13972079365,54554.67385044629,20011.868768223754,17888.888047142675,2261.445285055282,3175.037557431421,2490.443794045982,526.8456882072804,1014.1681565697984,125.90747965174596,26112.513800726018,33132.77449588737,191.71379281652167,1833.4082743506083,4081.6109102371674,3307.3357663039583,4.9281092579584825e-06,3.5709107073314265e-05,0.07758082543029192,0.012830250513786518,0.018929236962682026,0.4775515358015649
148,-681.8733489496738,789655.0422738254,735841.7834497489,116650.31178899397,65562.83980669659,56515.09283773667,53741.71389914052,36616.12482048818,16625.769589180247,2585.0048207121035,3264.613277025912,2296.8146616839604,517.0980488275842,1099.3354112534848,100.93007911012118,26201.984393542236,85327.46035021776,261.6487439324445,1836.2299431955053,10486.651096656618,658.1790269012237,4.591305622114061e-06,1.7171146580219468e-05,0.10537669260453271,0.01411676917588747,0.016788849571535147,0.8517659262173712
149,-921.0907695458523,762689.675681007,725215.2346251735,117046.51485358915,64140.70032875219,58977.036707028084,56342.0580673358,24269.89461771067,17024.067899222267,2302.1072478402225,3316.9688331621064,2455.6901690289164,387.5205091043616,1097.2016954333674,116.32858634163624,29202.103033669817,29568.74445450277,197.53990100099853,1363.5387421605253,5200.968841733107,6485.333925779867,5.106578007438878e-06,9.042244908141748e-05,0.07930947491533835,0.01167277552932446,0.02637901902022905,0.5743076877909996
