sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
66,-137.17213266074947,812457.7805420498,55547.42260265229,53798.1277581302,19919.73013644749,16897.120327998684,2194.1776983470027,29141.48787441141,15653.546673368899,133.4310376920487,4662.06025157555,19999.99999983208,1499.315501020697,3.159982532404872e-06,6.421647000305465e-05,0.14678016005816596,0.02233659686806312,0.44355466018051953
67,-136.65108745870566,832500.3170892488,56469.90194221271,55093.9208631246,31979.221292226543,16700.292720384037,2167.0778887515635,29349.145698213903,19083.71376186586,109.42287474539249,9825.157091551037,898.3113616374964,1628.3152052453572,1.8234944187531885e-06,4.707621966000071e-05,0.1700514346412607,0.025123307790855295,0.6790659495863061
68,-149.1514380878305,837139.5820465048,54809.16862849325,53303.177353058745,17594.97141457571,16722.344068879385,2312.643554684312,29493.710397139672,16071.72664240445,108.17152605591947,4119.843262924844,19999.999999941647,1487.8160823002156,1.0000000262091064e-08,7.822934405161685e-05,0.15626318277327408,0.028150754215451917,0.3500650306445827
69,-108.36044299348475,812140.8081611148,55738.750561560235,54348.567670259064,10087.540785769052,16808.595393105694,2196.0690192691363,28464.435214084402,20203.352501316578,102.7509990376112,2776.8781559992785,1578.5674573653612,1640.8148907899572,1.0000000061912414e-08,7.793168998053982e-05,0.15538974212094414,0.018743656661812526,0.36663533881150523
70,-138.55656764917097,807408.944440172,54805.694509291185,53787.31955865252,22560.467914050914,16704.998812041205,2478.340009577559,29367.346237866077,24753.026257249046,78.63856168870996,4218.338022642276,1257.3944066419565,1542.3490306333597,1.0000000072514529e-08,4.836474351942367e-05,0.09976858062261502,0.015274186925745139,0.4203405325357767
71,-125.40105212341743,810520.8514622131,55746.25284673518,53784.7799586741,24796.681101728776,17083.192731516654,2190.0827788813463,28947.00691853005,13425.844946010337,133.60275795402796,6102.459685126852,624.3446696612582,1463.2205913189534,1.0000000105692753e-08,7.66461337185257e-05,0.15826604456144228,0.03360637412770618,0.4954980303749782
72,-131.58412506385145,796506.6408338654,51312.272776536374,49772.804131030665,28195.84037069832,17802.221390100316,2276.6313740491473,27389.55301393461,24682.63909970504,113.63010876849145,5726.082262036132,1216.003897534061,1391.4159984215307,1.0000000058788228e-08,5.4731697977390317e-05,0.14998239664199375,0.02326623002636809,0.4850636099768693
73,-151.61239688382992,815784.7888307738,52005.01865970076,50462.96398588607,23248.21067859142,16768.999742402353,2151.294431901034,28183.08341530069,45121.85310326775,109.65379330133997,4959.83661314615,1600.1366765394225,1654.9327840523936,1.0000000347022098e-08,3.460027000167904e-05,0.16056044793921653,0.022468106515198875,0.3790216149315362
74,-105.61788706506627,833541.662948441,55137.43806808752,53806.40700452013,23973.46467463969,16487.286362164967,2137.043501488131,29978.281004937762,16879.23582864284,93.61373234161339,5506.772496374808,6452.465949740931,1430.8630002621237,1.0000000103958816e-08,7.916572034597771e-05,0.16494337328179334,0.024432814095589717,0.42193929341249115
75,-135.2078352674793,825775.3958484551,56330.14547541846,54931.81979432997,16714.703513515655,16671.487701698996,2397.323228071745,29451.98322172874,19849.326331034696,96.87495297778958,4892.10720839227,19999.999999913973,1446.9392159798108,1.0000000006540458e-08,7.901868413929828e-05,0.13358918521025936,0.0261625337004006,0.41167248998935363
76,-100.75943298401982,836905.9485649082,56118.59533678299,54946.919896128726,17341.33977801717,16493.50025442404,2434.945708309481,30650.664505569013,17721.605463179676,83.02172854907352,4099.930763380007,2778.5260671429446,1556.9263450493643,1.312988526446575e-05,5.6331517516108865e-05,0.13406796638404755,0.017583069296206323,0.42459404467495643
77,-154.91644056786694,824927.9345204611,52917.78310713107,50663.12969610677,28059.804483357068,16551.27521269224,2372.272304002765,30600.559623824436,19736.731154658642,159.62444698676836,7185.476922569076,1279.76008962331,1368.5189818268202,4.8707164906750074e-06,5.7052435459388256e-05,0.12120467181825381,0.021711879165718578,0.5151851380401683
78,-125.60384088292949,811255.3669496708,53255.04980126133,51768.441133245906,15231.542826398721,16760.30681901804,2176.0215408631757,29323.3950704683,17542.240859602665,98.6039430861116,3849.4320156149424,19999.99999997291,1384.0453518341928,2.2506123232884287e-06,8.443575535897196e-05,0.16395897864377806,0.01661687572142137,0.3736293220247848
79,-101.03944357298245,860945.4947696556,54402.90145622144,53727.780071560876,23287.211387629726,15971.873212935821,2408.4854640425583,30448.055746379534,23768.562436547578,54.15152964056693,4458.803943365866,2806.2344199685126,1389.2536343426075,5.951516439204164e-06,6.690411040344891e-05,0.12281607104385663,0.0228649315972106,0.49032411676666865
80,-128.5201639586164,826381.1996580379,53773.06714001323,52079.66247131475,31243.15581274293,16523.255969072125,2336.3069636623045,30095.107196972975,14902.50351842442,114.49215484008647,8801.11921881295,2481.537919228485,1421.87465082527,1.3392685967915835e-05,6.364440187066095e-05,0.11546769810917439,0.024503491418324135,0.5984203502996905
81,-129.09047772408638,818257.2710322798,55297.82638454925,51880.55176823019,29715.882208496896,16540.98915731723,2507.6797128358203,29777.964351467905,22523.92814994261,285.6243187414601,6721.488504729081,16686.984995374478,1334.8613337743723,1.0000000105828254e-08,5.610716133063527e-05,0.10133928814310401,0.022358385578420428,0.531155493312702
82,-127.71795580627895,821017.1992188036,52756.6779714584,48640.59719216126,16335.205377173494,17192.065117688486,2222.414830042006,29558.43715177214,14556.52911589335,251.74850682005228,4187.494962748513,11680.255460457447,1468.4247996694266,4.451662870480615e-05,5.723463906168952e-05,0.16956341521389326,0.02186298064554973,0.30052211863172507
83,-108.11756649455043,833779.0116040579,54370.25257407161,52771.87638434823,17490.51693407009,16823.430239593476,2200.8679299802493,31424.25653379894,13596.607638786163,102.33100205997027,3935.034191760824,2961.4843403559166,1354.2838729717926,1.9344132727078002e-05,9.080383866116557e-05,0.16353108531496635,0.02004467429527373,0.4209581742876351
