sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
409,-671.8077805851254,798053.6869624304,709958.6890446305,119194.85276825927,62849.55815541353,58789.49576970482,56372.38750850899,33873.79722392685,16541.664692419166,4179.6878207266745,3295.5444745747895,2718.700936040547,359.17018652110187,928.6445019456321,206.5361457451836,27926.281186602646,25783.603531231667,239.71860739757938,1506.347650792107,10777.87261070137,99999.9999991543,3.987213134654468e-06,4.37232466783526e-05,0.009564287589161032,0.0759560857780137,0.0072789726134271145,0.0190898327760759,0.7171037092835701
410,-818.0029685877056,789997.2992966992,720801.7417217685,121274.678020636,59327.2382162465,53831.47668255062,49534.85641960426,35717.50115637479,16602.605301768694,4189.887178473659,3015.077153323195,2675.8678489660683,189.33693723822986,699.0996174685885,295.4353012611801,28145.849868903653,34530.09516492481,289.87616131187764,1632.39325857652,11960.518259458764,1083.6629612492438,6.129597577738543e-06,3.6481624174589454e-05,0.009961309402054665,0.047685416177984115,0.012620068582142908,0.021862701395752457,0.6411264229121353
411,-819.1030764734173,752572.9874107789,680801.9030362766,121829.96682393173,59446.28866384263,55865.225456965076,52363.235898646744,38023.025854174935,17183.786745056776,4172.988745303121,3071.3284335483345,2791.9889069811047,182.02266481485964,677.606948158177,309.97461559111633,27780.71926062349,55927.55088852313,272.29047764368704,1660.9515820432719,13496.254605352011,1485.734039291824,5.114450891318968e-06,2.5869123056508108e-05,0.007163253243329974,0.04103270042165787,0.012177207686203232,0.019482178121239747,0.7958060644885757
412,-672.0437521769293,783488.1355306254,695323.6867249259,126987.42477196654,58794.158244394595,58870.47859950447,54634.78962073722,30339.307386123877,16492.262108669907,4298.677667580621,3197.2436411616845,2830.372728926364,153.11932860845545,757.5455519318369,798.3758273914398,31273.238155440555,22896.918118967274,311.82223271725985,1464.4073208488396,5872.528800804697,855.8888877734522,4.601958737433894e-06,7.885452679744258e-05,0.022768206818163945,0.03618459216264455,0.014851758419420465,0.01822468418457312,0.5864113063211986
413,-703.4170826386422,801266.0701971346,723053.1867959447,121637.49742682259,60144.00628342011,55548.29403168156,51817.89375500587,34148.411261570654,16497.26876623212,4435.049627055939,3104.5177505014885,2792.54776268101,237.1808087858197,783.8309655197367,295.2890097142782,30175.970075053247,33661.55839218537,281.2233431434735,1689.871294918476,12372.169548815435,1111.098993816389,5.665403582233505e-06,3.941491035434824e-05,0.016873336908738126,0.05419472628056689,0.009588927957878754,0.019536914360050305,0.6468769078836644
414,-846.6776967328068,784657.134768592,710085.1518659511,122107.52344723533,59873.858901537715,58216.239682065294,54630.81611783964,30062.2263360489,16832.49807076109,4207.742981696063,3168.1271497270736,2773.7615210738086,205.82169807661003,701.6523704416347,336.1607420789123,29338.960456151377,21270.84014417605,295.17896999407947,1590.4429578920956,5333.682424860063,99999.99999844322,5.50713208025127e-06,5.58992189948098e-05,0.022524484678814138,0.04406219027602515,0.013774042466372595,0.013821843027783817,0.5779478022122261
415,-756.3524012492903,785898.5426211574,695198.7046210158,123516.39654699716,59226.59295088334,56796.359959319896,54121.4519189803,19574.98385287471,16904.203563312894,4610.573618401436,3228.546994382514,2821.4629998936493,157.9880748366356,757.5500068405493,452.9110585397385,31074.760049585042,23303.45927044366,184.36701222464924,1612.50128466027,4604.363301796914,99999.9999985674,4.30880676893271e-06,6.34038717454202e-05,0.015959583878150475,0.04860262643256932,0.016000506225431872,0.017012883676042187,0.40904951428459385
416,-614.0733665971015,803847.3866353343,699923.0698623203,120771.28209933665,61601.92568913222,54923.6608337863,52624.29469429379,26788.932547919172,16544.127748312665,4143.516017136624,3401.7762931803354,2836.4207034331516,307.34921809178303,948.9588109746359,320.60607378064543,29599.297894353076,39524.00271534788,176.8485511386785,1612.0182527499976,8032.912894634235,99999.99999939375,2.5841334902784596e-06,5.1983624896456595e-05,0.012435154145014941,0.07010715886284492,0.011546453581032845,0.011575984135691636,0.45881058036203864
417,-762.9294199050692,789717.4287570225,699123.08853851,118506.90056645554,61245.394219449554,56113.628548972694,52628.02373613314,21804.02758605187,16899.4497872331,4471.809578628926,3449.731733745807,2728.1187228056606,296.64990316299,953.9013063637535,204.73772218183439,30055.43171110723,18371.395056972302,255.5257035666388,1377.306591698812,5835.873774479583,9399.0252390959,4.517054402453611e-06,7.177463595077759e-05,0.005784071131998914,0.0664326884834351,0.00928004946418366,0.01971746546377235,0.41903994191423327
418,-777.0432605321165,798957.7344157334,716651.747691833,118511.89659242255,57359.76901120304,56875.27325238114,54331.63766722499,22616.14504369276,16377.84569964895,4803.626616432625,2884.664308540484,2871.294957136035,76.80034871084091,526.2332987290757,137.35175824441475,29849.38590557853,30147.23494496874,204.98064724530116,1664.8756451398613,6986.9109184325125,5284.262906716282,6.102085651769498e-06,5.143662927866716e-05,0.020884827664625388,0.039035614898274305,0.010112976908315644,0.026375357156955877,0.4819200325203229
419,-616.0016354378474,816650.7081521153,701536.9611927096,144536.72383436214,68402.27363761692,57265.90082017458,55276.314630075816,23675.295002406245,16075.117708098647,3968.4978501882724,3982.652485608669,2898.7563330006838,576.3918531218716,1511.0722633156333,2129.0525039143436,31708.11388032521,28429.098975203535,149.9793225318517,1587.275399953765,5921.4650149651225,3739.8254703119296,7.079785320074528e-07,7.180896394733871e-05,0.012207544777525814,0.04971717651161111,0.012433430257689155,0.01715429389755379,0.5560183048108389
420,-655.8874341563701,794032.4098747473,716500.026699277,122953.94037122458,60634.97568961426,54207.654535566086,50453.35524663028,30078.1370019425,16654.11492752863,4476.092998991166,3046.5994237190503,2872.628746678499,220.2135025766677,891.8158947318824,359.83354102557905,28154.281925787298,37861.402577039735,280.70099830878536,1744.6745238437702,7195.864698609142,1064.0593272208828,5.199112413247364e-06,2.957769869344552e-05,0.010516544964842738,0.033700534211584095,0.011788042883912797,0.025262173046457486,0.5827470791287966
421,-712.6774859631811,775828.9734996851,688876.9525168086,121541.10175772563,60902.082595111366,56657.97171570352,52981.06891668852,29362.315108673596,16615.992197273896,4171.517189601051,2889.983985200858,2919.48705881343,287.9627610596378,751.6049077375656,315.5212452670894,29460.850605573924,29620.240513148623,280.5291534513154,1670.4678199873667,9903.321261549656,1237.2168658277517,4.866904287880164e-06,3.540204838209824e-05,0.022277647507297507,0.044536823630353356,0.008771114669149932,0.019797281132196212,0.5411858856901762
422,-798.9977850428822,774328.902132462,686399.8104554135,121660.31938065623,59602.42925932409,54043.11015608038,50545.783595105706,38478.83391610022,17004.46536663726,4423.466133596263,3102.107164314231,2730.4448924244657,181.88198410899523,748.657030293128,355.72946777338626,28737.238066929796,34267.62266851603,278.16531217553444,1678.0745961970945,14170.235960701271,683.4956191994413,5.066902044359804e-06,4.019685814262805e-05,0.01588367586245878,0.05281369432770076,0.009661609405750842,0.016108320308061322,0.8482460739795157
423,-801.4347860053016,797244.1798565601,709107.396542608,124767.02334864669,67689.61767499859,56655.381439720615,53951.197385657266,31530.243228037732,16724.503473077264,4969.3619767033015,3193.5458763681986,2697.930229718115,644.1368810820987,1167.2451026917797,524.820880831883,29326.111470371914,33778.90586575794,223.98071449772777,1731.0870570756042,10055.297591464108,99999.9999994101,5.5357983535536934e-06,3.369897765719375e-05,0.014075781149764557,0.056170843503103536,0.00920433442926218,0.02199928141485084,0.5950824543197853
424,-823.6596199907558,785282.1297702779,702257.041377512,120525.19863325897,60614.02448476165,54332.03045540272,51020.08106461388,36016.537881986704,16896.67038828475,4221.613942929072,3320.6266690035172,2707.404552055238,238.5909141539065,935.0636945889262,327.3972012824774,28351.271743072764,25918.738264931802,259.0445654713143,1668.559757360493,11957.443385902314,1047.012046517107,5.306988503723123e-06,3.967536822523698e-05,0.0139840296694409,0.06458573016514092,0.009737456503741956,0.023647385032844744,0.7785117298199579
425,-782.2715934158095,772662.1154662934,728487.9501231569,119047.45975925104,64254.46542067428,58666.56566763947,54642.999035961126,27471.67060300051,16692.938602375147,3928.8237159980804,2777.000549175999,2418.316457480996,433.62559683542645,990.4792628856248,167.9125147839558,30043.20799223488,22767.077260885595,296.26080078415424,1655.251472576854,5726.700723001629,873.5109043739706,8.36525023392232e-06,6.416124335509535e-05,0.027068452933265864,0.05890311780751321,0.013182416548025983,0.02634508750556498,0.5529493920569786
426,-754.792682711985,781442.9527835737,691570.4610412571,119326.28456549373,57339.70433314049,57638.017538871056,54563.44841975649,17898.63383037587,16819.59213312848,4507.395897612462,3270.1443667948165,2739.3300108682047,97.61929964664898,597.503374241993,199.8303342215634,30293.528701623138,18136.906004828055,231.64079358750848,1495.4574728338566,5562.619057377783,7353.273699590887,4.65690171707528e-06,8.2324404392054e-05,0.014457007518212767,0.055853854031790065,0.01213643650914899,0.01706297774684161,0.44210942710872736
427,-757.2048456362888,766488.614146311,689747.0578442259,125906.0427926202,59924.808664888275,56344.967045701706,53690.69488651177,31162.757482216646,16828.658231405472,4672.35024636906,3032.38454923867,3074.1476147961334,193.87279939688457,855.703549647773,616.5651519429933,30609.876969070745,19597.526543378703,189.3862969308899,1414.7945973189626,11888.237798921164,99998.25988525538,5.595320263054333e-06,7.41281439858037e-05,0.023177820336078767,0.010035335896971557,0.011707257780009086,0.02416576664859177,0.6339481972007103
428,-513.7808038030348,796157.9798981567,701638.8891435813,120728.53271579737,60796.93355674692,54324.94284888203,51110.518651253224,14623.112441505233,16528.341247747892,4260.9305137518195,3453.220956058359,2791.393885132857,284.204412607259,882.5792357004038,291.66167431605055,31337.313995948498,17830.6973960057,204.60486268775807,1354.0549490173755,5295.886729764614,99999.9999999906,4.230354332541377e-06,9.804380334754269e-05,0.017578965989406285,0.06658688024418205,0.00818695166992849,0.017341333395298242,0.37787898823038785
429,-678.5826062838203,809564.753668638,718042.2106702412,120440.93661320106,58572.165948799004,56400.15757090815,52286.271261095055,13510.476058166445,16179.805828826698,4683.192277444633,3068.1833777253582,2636.064430533359,138.84296400100595,767.181437782752,279.1047774698462,30684.617757087148,18651.748921134076,280.6726293850925,1414.9194924892686,5488.2895912672175,99999.99999929588,5.269721320186835e-06,7.301593710855446e-05,0.019466424927294532,0.05059203787238649,0.016371787256081377,0.018154009553904577,0.30975453135498004
430,-746.2325871527256,770231.8170555814,664616.3960300412,116751.17438621608,58131.566748714,54691.12864594162,52335.919377035076,22048.10477256429,17202.136173956023,4602.293764248389,3358.346514696168,2807.7876967644843,140.280467907028,668.0857986269382,85.34490548904614,28802.876969668516,23626.478443839263,183.2393068673347,1653.249432067193,5325.158937181394,99999.99998456064,3.601374360672356e-06,5.115204332108019e-05,0.016256116650082,0.06065090755345411,0.0134354198035915,0.022694205650684397,0.41044040272873994
431,-763.9381555389747,785247.961480272,700295.9300378979,121634.78462625068,61383.24472905659,55918.9171950257,52306.26378469542,28385.544182305523,16869.326782067623,4417.753312542511,3058.6497437405437,2710.9788406496114,353.3792826700876,1013.8482507266256,285.39861033440957,28070.350654070447,50785.91974895435,280.96490199207324,1689.3769825769991,6856.505384247033,3522.9894993428557,5.310765063717942e-06,3.2534250899403796e-05,0.01335487409022549,0.05810349677593857,0.00849549222795153,0.02451706220598009,0.5007387104015147
