sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
42,-155.4078976892555,756998.267207179,55124.930492459585,53548.6422460182,17640.50921743801,2281.70806418824,28248.06722384079,22054.919759031378,120.33636506522528,4032.941074882493,9999.999999887601,1022.4910094384204,1.0000000086295326e-08,6.504149345813806e-05,0.0003486918613833719,0.14411603677248994,0.01561222449944004
43,-215.17880430113044,861276.5099134422,50932.65567031025,49216.725511370074,16431.142280419128,2306.8626553241697,29911.656835566926,23337.079492346864,113.76453109376853,6247.545006259596,9999.999999902717,955.9348111618092,5.5918878957389655e-06,4.2867849656383866e-05,0.0003583772825913461,0.1571650386814792,0.026135670372654088
44,-153.75275067377714,777139.1645022326,49482.5413690018,47941.58692351267,17297.190129854935,2273.4732662620904,28411.331451867172,21193.629257715973,103.15325024994478,5147.053613228471,955.9833646106011,932.106065463907,4.445099496560693e-05,3.34765019185835e-05,0.00047408087904037666,0.13887005788662588,0.01773846686539337
45,-103.45408706870792,801010.1943525191,52917.13211633226,51261.14448930389,17183.415942506384,2300.533736143096,28982.59210104335,14717.493546064095,116.61338878208801,4621.354744936648,9826.392019252915,861.3125073522236,1.0000000150302723e-08,8.34447550351087e-05,0.00033842241376679156,0.15103159239617875,0.01891602957902265
46,-114.95023158167305,808875.9685697323,52314.887315700595,51670.282086199644,16680.500003887202,2432.526879235777,30504.23164451517,15276.158255293574,44.09714774281236,3907.7639012431578,9999.999999951833,975.7364238923494,2.0781239148517493e-05,6.219825429789869e-05,0.0003683520005774344,0.11052556494955881,0.021042453132575037
47,-164.46271133317504,739079.0458272736,52542.633814455,51382.146391066264,17630.17198534575,2330.760092421492,27483.884009288016,19882.997734801203,90.0589203179644,4390.0858998565445,9999.999999969828,957.7829915814655,1.0000000049673457e-08,5.217010556951569e-05,0.00037623756789407337,0.11403035314649797,0.025578341526349233
48,-120.48832651098644,810532.1065176037,52527.5826810883,50934.738891589564,16427.696363747153,2322.792454713035,29756.352874650285,19014.210646084783,112.55969624633362,4646.703691240796,9999.99999989865,826.0639651762766,5.076775850159224e-06,8.865244609275322e-05,0.0003710521196808806,0.12564292228765653,0.023051537981994243
49,-175.34030541252196,835673.8837591226,52702.49961980727,51029.992658568386,16751.404637319036,2265.145398075726,29001.172917102595,20541.779344605242,131.84172578005328,4658.206511722501,1119.9422041065006,1143.6137315603817,3.184247274878325e-07,4.0665550595171145e-05,0.00033933284079193425,0.14543985077643745,0.018007515064014434
50,-196.58204634126457,844671.305723713,55444.44975699659,52050.90887609329,16892.59707601114,2302.7021502229063,28151.530900502003,48455.533136859696,265.011841339603,4179.3913154637485,9999.999999999938,1066.0360165745728,1.0000000007645103e-08,3.4850251059337606e-05,0.00038376484558673733,0.16223274785368685,0.021307391723926872
51,-141.41700809431865,834550.4843210408,54366.53927370144,52831.51715815373,16623.064601311493,2265.860042666613,30563.67374331867,21198.285316292327,108.79702193179455,4175.931241497982,3935.239382321658,1042.3967575983368,1.394816328830631e-05,5.671529506771436e-05,0.000355868242252919,0.13807110929100433,0.024869270636184163
52,-138.06704516578827,851963.1607803658,54076.04457504243,49883.47253630896,16054.185346744083,2176.3671957331107,31235.129445580125,20315.044227851125,275.331430271158,4451.3437076567125,9999.999893999184,926.0235805554818,4.048036150947559e-05,5.424025344614339e-05,0.0004042100946623861,0.15724172192893635,0.02657566693798469
53,-147.98872255882472,747274.8847959152,55431.66981657182,53722.852916389566,17968.253857525262,2373.4999471145456,27948.70917383877,18885.54405759778,124.08861275746546,4803.938628231867,9999.999999948388,819.1643285903549,2.8846043872250377e-05,6.68574212933261e-05,0.0004884577869897674,0.13741150197750146,0.023871605215921014
