sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
34,-298.31550160708434,717622.7913316567,672905.6540181532,123041.69326528929,60780.71357661402,18062.38135054823,27926.565268384107,1995.25925779056,3648.7809363293313,2784.206527211368,464.96069852777185,303.2386546564952,1058.5669783107162,0.009025432211209224,0.0687543140633098,0.009871002573908931,3.5350289528638805e-06
35,-372.8748570470351,707475.6428824681,674720.1593096022,118616.79856343623,63367.55378005079,17985.836673671067,26257.221299720943,1556.7643425412007,3401.445364487331,2589.827142733965,198.4699046627071,491.2149418453685,1007.3701319842487,0.00397282177546931,0.08119313531889262,0.010002531396670164,3.838097326344734e-06
36,-419.12587871203505,717568.6278163084,669391.8655349762,122851.7030622869,65607.69615689808,17705.28047706742,28461.7254480794,3049.694383936844,3038.4705653187443,2581.106556873694,378.65692267850665,645.865277512555,1106.9829794507464,0.012444044641873505,0.057593469790996984,0.008256485474149458,6.452345818091231e-06
37,-378.63848057041264,749160.4712676689,732041.8974578768,117651.67642759827,61490.86591353299,17149.188772829442,29162.88480006155,1286.586544243255,3070.706380656312,2525.415751760449,149.02091287583863,264.0996352409592,977.5449238737222,0.017714933484794755,0.05750634340085467,0.018083811065079274,6.941934933273835e-06
38,-413.0549585876301,689441.9209115457,663048.1373555528,120727.40136234123,62226.94311535999,18521.872272247947,27434.487108973026,1392.3459555504105,3280.769697557353,2729.1388075228247,217.76719213862702,336.9491807251361,715.3456732736935,0.012189034292414297,0.07223041768939327,0.010354433141810128,4.230925695026972e-06
39,-300.488807118343,757175.9293486811,725913.6339964194,117346.99308247786,63172.95117682473,16651.622681608707,27857.220142024613,1831.7697619850555,3011.3222901480503,2714.088128218678,117.98798548826127,307.93679263168366,896.9662679395427,0.016360391916853442,0.05580932586424849,0.009945168384109204,6.036157922190972e-06
40,-346.4840308195735,742444.34109694,702765.4230710615,118429.59681846623,59928.035844554266,17787.17123865834,28533.891411590463,2495.2106883020733,2975.9284390432003,2534.7438816878653,153.2574301388941,199.14343525913407,808.8246139037769,0.009423301027547763,0.06328767581648012,0.016824402474399064,5.7254923156113094e-06
41,-321.48089352053944,762716.9797961395,749345.8508977857,119674.15727825767,62920.314786172545,16815.37918903561,29441.215056488698,1188.5370015622789,2970.841268680035,2623.7310367211776,173.8801425720371,402.5571393738962,1016.1567374100598,0.01022881601106232,0.04390710184800451,0.009765694084064273,7.39801861255278e-06
42,-464.580574897915,702561.1326770053,642964.1424701649,120077.6887924114,61901.28975396896,18348.862972158073,26029.640043966254,2925.304625501646,3374.7244103872795,2501.9490287190565,341.0328831360596,356.3485987236465,987.7286960492796,0.00018288116646388562,0.08030201595128783,0.01650293302323481,3.557127910596029e-06
43,-373.5346844429665,704459.0594855231,692657.6531897173,120061.95072802968,62031.59141353037,18084.12993107687,26928.546391560812,533.7475555216525,3385.8140663839918,2706.468120914714,264.0380001566918,299.65809520847347,768.6319991219937,0.005663001763750277,0.0692368311776414,0.016310199478300726,2.9346562177843283e-06
44,-356.27944246693085,776720.6740498156,772060.0129660238,116761.50652395602,61731.73319953438,17092.788930131363,29545.625704544662,552.3026085972764,2823.2975806014774,2294.0206826476374,123.62722648368337,297.56260995127957,754.1812251201216,0.00888410645647674,0.07210750709992292,0.017841153908666214,8.759823410020586e-06
45,-281.81318370222044,725964.7216111855,660140.73351023,133189.9441281643,63710.533862455086,17692.196422822275,27563.870219234428,2385.6416852997186,3747.056634560251,2934.935510719303,1176.750820199905,461.63618850661805,868.7961575918424,0.007702472582877102,0.0628869152934408,0.013265604079449808,4.4998371550205245e-08
46,-381.16543219676345,723586.7738119042,704241.1725665326,120680.3078623034,62047.68465101427,17934.67804684372,27295.23373299302,985.2602101593272,3281.3275873109424,2594.795697267598,305.7794200569794,297.35123813333416,855.928467447808,0.001601782503261727,0.0716897845020704,0.016130996186599526,4.0534177164145594e-06
47,-360.8877041316568,735025.9406051635,693655.1971806667,122884.68877216244,61008.481523432434,17353.5379659083,29461.389162121173,2114.2373534458143,3104.4162610364897,2767.822367848014,436.6418455447713,286.4641844761024,834.4569989151787,0.02150070194109688,0.051142110864026626,0.012052384574762653,4.731253340688211e-06
48,-312.12398539602225,716646.7060047757,660544.1710365376,124603.34102312253,62055.05469422056,17715.216993101014,27520.0718897769,2082.3443045677914,3762.447278758028,2738.1051512508357,658.6713363183703,280.8172691406313,839.9536006073482,0.0012662900343738672,0.0805267823493392,0.015259574731332421,8.015590822353208e-07
