sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
427,-803.8119104736888,659894.5996690255,577055.0407705285,117412.59794314895,59979.76804053907,55739.10525758727,53478.413477540475,31275.629570401143,14715.497434787903,6598.675663861927,2405.8271317406047,2376.45406951174,188.3941493287882,860.4041491243248,155.96948668739537,25537.66096104218,20877.29006661923,165.67312645918884,1423.851938114302,10320.440780553636,99681.24091087823,8.911937474026595e-06,6.880215396951544e-05,0.01731586891815076,0.004140253240535557,0.018252508372471683,0.023152026006124735,0.6451047937492709
428,-614.8866781225327,699923.6264364893,604126.9802835374,116176.00655290436,61786.05128283578,53909.377944579326,50616.39868001416,12097.136458584635,14286.10196854119,4892.284504852624,2834.3419391546013,2273.872012457708,321.44992948220386,946.1074324680663,65.82800727639503,26350.137291747404,19923.19145805502,215.19914919695822,1362.088398110695,4475.38974702232,99999.9999999922,6.428497245446623e-06,8.976657025807432e-05,0.011064028562532947,0.07344781516138207,0.014017021917798338,0.0165792089344083,0.3557853590156842
429,-771.6680601671767,690181.0547226252,597676.7733343573,115629.20110238667,60378.66520688546,55278.14166637743,51479.212681272875,13863.123801284784,14305.904339717796,5511.073727447695,2488.598312517816,2110.5312780058193,205.04862128986508,873.1072389003998,37.19985306907208,25171.865120429193,20301.6848684987,268.5771498516997,1411.1365452736127,5073.708954732674,99999.99998463115,7.713118693579849e-06,6.499490730750415e-05,0.012525410347369172,0.053630552543372914,0.022945250549974584,0.017046315679372655,0.3066730799964917
430,-909.4102170363905,654241.8386658588,579608.6299220921,115308.97745007546,58885.81105720321,59517.276745376934,52867.306419430286,23396.7643498175,15131.111137807397,4012.6966768647058,2678.8259581224997,2346.9888864502914,170.29881545503287,724.8314059534083,17.98582019866252,23872.342230945433,25724.022951965915,526.0966901184736,1653.136394513598,4959.146674387067,99999.99999865958,6.5295010938979265e-06,4.9530204764212756e-05,0.013903953501476543,0.0456687178018481,0.02033033216609418,0.02294561713437165,0.44611003645919467
431,-826.6579617710802,690942.8905982694,603783.0980650091,116579.93110764775,61029.916166876304,54875.06573097612,51202.32560090105,27080.78598689563,14549.061431182185,5193.663426703907,2525.770695106522,2226.8440922888235,316.40082550914536,996.8332501743181,75.22504579811113,23767.88603563343,68319.83026778244,289.2151825790264,1716.483790403056,6033.965467405363,3325.8988121575826,7.613926455911882e-06,2.3328282373024852e-05,0.008546047029864638,0.06119346380747568,0.014847156874015605,0.0229516608275864,0.470450253960096
432,-651.934698500291,657084.4683542987,512855.4218487807,118795.85223614975,60490.38718289824,57200.20698101802,54603.12341076528,27628.470383861186,14817.262360796969,5363.959395984723,3009.2538207724015,2441.812972003978,272.38879421411434,885.7664066387853,298.7351480749798,25145.743229111467,26647.873772357947,188.61458966547323,1451.4146052713734,5638.755175750256,974.2852839897668,2.0475625056658275e-06,6.941180443235024e-05,0.00939849052427836,0.05613723882861748,0.015632788657474892,0.017086744776310708,0.5483908756423286
433,-823.5252946313286,685335.7844414182,595647.628444895,116558.55258581972,59753.21405708133,55265.10782216597,51474.7729259809,32921.773935180965,14195.209875971363,5192.440632055569,2621.967417185708,2184.2088264947793,178.26544067819412,769.8180477804617,76.77784867034977,24209.296718525486,27237.550078711436,298.7558809573901,1636.148971678804,6883.420830589076,852.2962563993843,7.335765620715625e-06,3.679891718686957e-05,0.012856461163403107,0.06618182350082999,0.019927382208958705,0.017862200289326776,0.6509129063147806
434,-744.463067944447,705591.8363224162,598966.3935028075,116965.9964393588,62629.48013113874,55001.840487149835,51417.65576311577,10000.131953603826,14051.457045529189,5613.000759606118,2690.6514235561394,2224.413678784691,319.6828197930235,940.5844856284289,123.24799697522656,25058.49343328964,29224.52856496295,280.45856806878953,1540.847466498353,3045.7286109562556,99999.99999876438,5.4536987840984005e-06,6.076869257557766e-05,0.005386292763598482,0.07707113104139525,0.0169257528610179,0.0200284722648293,0.3378379428439303
435,-683.1592170252948,703521.2659926225,610532.6190770199,118685.99970291687,62729.86638532341,56674.20782116997,54182.868322613,17917.098244828332,13956.681207852536,5439.836550377944,2424.936339293767,2189.0753898138014,397.8245327290212,1053.4452298109782,208.98159047332643,26217.29213166195,26260.57852325621,193.01963064899198,1541.7642527330786,4006.966414570917,16397.60636239565,7.860234187053778e-06,6.993738337026677e-05,0.01297286304063685,0.05491492451164012,0.016379643975192336,0.013822003695633312,0.41223982397048703
436,-797.7181487064136,689740.7596933914,596654.227368915,116822.76843829904,59017.51571940601,58026.112615156155,54163.57537687034,24096.389690221025,14610.954336693703,4874.826123969899,2659.7050021702103,2283.4521808185027,167.48920603530178,911.5456077435055,77.29465608597262,25894.060357231127,19108.368208669974,263.94235120183157,1438.207935200187,5494.784848991033,99999.9636742555,7.226122109256606e-06,8.402202719049308e-05,0.010828156538183092,0.06352179196536896,0.013919714418629705,0.019589652607445496,0.4412549154055078
