sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
259,-511.1009859213617,792619.9529136055,743345.8981380205,120029.66136242652,65182.49366062129,49210.16155041691,466847.40182852634,16908.97326174093,3384.8804953608983,3113.1192951434996,2944.8553476519483,181.16401574977579,665.3360115623283,1086.2754060299023,39366.337144545876,5504.879061626037,604.6790319827877,7.94581412259356e-06,0.00031623155305897686,0.14111060226135005,0.0566361246561278
260,-462.23097054870414,776378.9244184468,749647.9897489377,124405.66018888359,80241.71575034085,69244.08847747618,302303.0611373261,17097.19832960155,1767.6977574188963,3134.676053979251,2555.6864710876484,463.35560699553423,1569.1622212448235,2054.2102422845305,41873.31344137365,7103.828287679804,824.5866665676265,6.632232125145458e-06,0.00022203202353545152,0.10889007749502609,0.03912536931811333
261,-573.4067387650196,754356.8242331957,714402.4277472999,118985.10733979224,67735.69489546776,59475.67502323063,299621.0871108667,17518.781760338923,1833.9990610261416,3473.0603769907875,2955.259370189889,162.6512623970887,779.5261891661287,1113.5636243242207,32225.58099860277,9795.882803358141,830.1157671754731,4.42531881639171e-06,0.00016788065306804148,0.09082663308552713,0.03705687568405163
262,-660.8886943988196,791502.3097343716,787632.3418455028,128697.88651989262,82072.8950755884,55055.466671834816,403736.712032974,16850.617948966363,513.4413265073672,2668.850308343159,2548.786892740585,603.9425248025523,1580.2053615923837,2110.6968828102113,39332.9313241078,5788.847649954993,676.0850790548153,9.323657493742125e-06,0.0002484033451941139,0.1700096600995952,0.044469320794995104
263,-647.8153398690333,765823.4094062394,734017.3510394039,119430.30354584291,70337.29370241215,55728.330396787635,349819.48837323266,17105.497096842053,2500.7754497415194,3068.0873332744522,2697.6950267903485,208.44650036060207,1051.541249005196,1429.027015532744,35365.6340042643,7487.9211152904345,754.8762655287213,7.556524544594527e-06,0.00020319555884775356,0.12903845201676548,0.03196153478759965
264,-544.375735621034,789969.703461431,780101.4595268035,119434.13294976825,76025.64066700784,63666.05663232218,312459.97085448366,16887.266424616148,753.903641598088,2908.4148791701173,2505.9704686137898,162.12565778383572,1229.0933235684224,1595.1831782500124,36398.930155160655,7210.379827360881,850.377483827922,7.19947624514814e-06,0.00020662285133421705,0.1392362695565161,0.043488890972643975
265,-664.1637851928638,799835.3591432122,785190.5629320634,123365.76584872423,81174.19854873675,74188.06267751387,390171.21080712334,16886.633570787824,1469.1503235006592,2821.894311339345,2600.178953894174,393.866696236273,1675.2753003209075,2452.4093523524693,38881.285718313324,7777.296790328558,945.6817931995904,9.006831946608234e-06,0.0001842029358792319,0.15335240595408106,0.02264002224737337
266,-474.52021953790523,753154.1440682871,731735.129684815,117119.86680766249,67704.17020287193,56456.683112872975,204098.4631949643,17150.327973734817,1335.4658163298811,3386.1078777911575,2617.6580495671246,77.05432859556355,754.1903035955182,1352.528823889798,38181.35742055353,6669.455286595413,687.7425060091978,5.117361167638693e-06,0.00023101399540512868,0.05831852047916031,0.04153004901354296
267,-730.1029119695957,771156.475467739,742487.9268416247,120139.40255536309,71357.99124640235,58398.88050338266,372301.96645066707,17193.645354171433,2247.280981143526,3094.6574965511454,2841.421910169682,218.4980408936073,1219.8763623140853,1391.7668287664185,36276.41174066206,7258.716267459914,775.5480195208794,7.531729445191109e-06,0.00021734946884715897,0.13275088470607319,0.02764974208337706
268,-591.3476904419913,829333.1676696867,769375.1724026483,119132.18738780728,76719.57104145762,103063.62777030584,503048.32459449297,16470.16399410793,4130.791827560646,2672.1076511503607,2638.993243290778,182.9572262712352,1392.6113458327484,1823.8402794410583,49134.92464829151,8834.471415409627,1107.156180878553,9.354043495713591e-06,0.00017979449889590188,0.33700985468856354,0.042173546397522375
269,-531.2577401662006,738969.9636607104,728346.8033511295,118834.93355926879,63936.16225875017,54182.80869192707,475485.182108005,17308.054707496387,497.6766745867408,3219.0880135820144,2939.869539355467,191.5406007779475,544.9846515346806,979.964113277093,40779.453765758124,5410.024131079468,585.3857735252443,6.532373194291118e-06,0.0003122011465763445,0.24532276236167014,0.048681800441422896
270,-772.8793930786388,803373.6147390177,774570.1820218408,116053.10672972798,69867.44519409428,53111.54898095611,497176.88569591515,17088.171882202347,2250.7620550268734,2783.0785677489835,2714.378133333618,31.271507761009715,941.4729671962324,1321.0550385480062,38887.890760601986,5876.629213716927,679.4000046788635,1.033970119946075e-05,0.00024910232255115805,0.35300887189834934,0.033995167960550896
271,-641.0286319319298,766453.6110333751,711150.9900045773,129473.60572028274,88240.1909138468,71605.65936355737,410413.131406657,17159.22782618582,3015.154641743726,2937.406135289938,2539.893531658002,646.0691250172366,2002.1535319114766,2359.556277437835,38459.12123449634,7104.471988709112,841.4826339433744,7.156918878059546e-06,0.00020965025630695849,0.23737659827896465,0.032112244565903544
272,-726.2166274306087,772527.3384650067,745647.6908268424,122636.06316012495,74807.33800913699,58117.7184732153,257875.99106966355,17299.844038832143,1554.2742618006619,3410.800995917221,2690.153724703719,321.2568426447986,1314.9142108464653,1796.3992448652402,37000.17209197707,7348.721493847064,774.9554646992408,5.5496955944004224e-06,0.00021697597431179436,0.07548449830058782,0.045703356285558085
273,-596.179864076234,725200.0496838529,673991.29850342,128898.95620097392,80594.20381752324,55271.98832179754,443382.5119837953,17776.942392162156,2897.429010974009,2926.55301328666,2626.2154112974363,568.0354682460159,1537.5648146363496,1599.0405478705281,39254.97231710204,6278.187419559806,621.9205606273559,7.41968411719644e-06,0.0002720015624962891,0.23876685926448363,0.029346043784575258
274,-549.8708068549785,786979.2010490453,731855.4169775122,126348.89573725083,86269.10438598228,59754.1267372413,366958.49530547677,17163.477188777655,4188.464678137687,2917.139837861254,2390.4676908641522,407.9020215312802,1540.2817488425965,2325.2847165211597,35183.221255474054,7917.70184094234,871.5710750719134,8.650952108069304e-06,0.00020295549609387095,0.1816004617349538,0.04235902339235764
275,-497.6466423395641,775603.1633216352,742137.9675089958,126363.12600814064,79515.41791140553,57461.664406239935,285794.5215846491,17419.756273507603,2409.6859870281296,2998.6371346277006,2404.389280076606,577.4875458830771,1561.882665007817,2817.505151007266,36611.31215809201,7006.877442010072,748.2817844872231,7.482002005395734e-06,0.00021998471309438047,0.10257975044100909,0.050048089563672085
276,-499.3992220505702,743645.4419879834,706413.9308420658,127441.52257547846,84531.21497242722,84233.84037069177,406361.9757962392,17705.1493550778,1992.8307619139707,3126.0459866110987,2595.5610151280175,538.321356845723,1654.9102470008158,1946.5497594014614,36299.47055046512,8722.113656419278,1087.201006592141,7.432265727686473e-06,0.00017224185245980097,0.2143547417565768,0.031634476832718486
277,-625.6158592005687,787120.1814841144,705331.3166658422,121104.98740157051,71605.52597360271,62900.11867277226,357075.06249492074,16927.558483929584,4123.832273476561,3148.474866564813,2683.471230223387,284.663298132953,1062.0522100622945,1592.1172922058947,34091.48278379725,9307.009128264346,959.5797721087935,5.827660099869652e-06,0.00017726133928645476,0.17163385910407092,0.01965990931906457
278,-541.6148420448893,780345.80640559,744698.8478389692,119529.44243252662,75214.44008732683,63242.54822755754,383641.4732451389,17149.441243689304,2102.55394018503,3093.9020312286084,2749.322175308801,221.21534958166316,1076.624820104706,1596.6358035479304,39149.38640994557,7013.262026221547,754.3345827384682,6.891394246341692e-06,0.00023043130594848813,0.1686315202301388,0.040814818265910255
279,-577.8838596713242,775561.2608596637,752466.4377278676,118580.14152166586,60859.27184106493,48000.000000308384,288486.2607129541,17581.64100435333,1226.270229971382,3421.0108203940504,3064.2378919925186,136.14660051333792,341.6463365362125,917.8019406650666,44285.609888974024,4000.024666880087,509.2615972900577,4.858654739457354e-06,0.0003264414809737497,0.068010262329028,0.06449778270919627
280,-568.7255700031965,758507.2047483791,703174.3650108655,119056.41739202746,65610.43352779934,48000.000000196684,243026.35822084686,17480.089654449646,3387.584707735563,3291.5900568659004,2800.7649860783354,162.45586394565476,750.5907675946858,1235.653237345985,44000.792712022005,3949.5144115490343,477.5054593200103,6.161394792553611e-06,0.00038288132198280897,0.056688429348599814,0.07977557041303589
281,-575.4278437591804,783091.5238159504,721765.8353729509,118134.66510504509,71557.88273916193,75565.15265562385,595715.9946274771,17386.315193289847,3124.6369484376482,2780.5297446243167,2953.1744208869886,120.2817642716879,815.5278017572093,1499.022707675394,39779.81356253185,8119.04809111944,985.52691849726,9.442240290728228e-06,0.00018455086981334352,0.5372792511824394,0.02083140858556769
282,-471.13782875017966,765705.4377998591,745161.2764908564,133428.02512345396,93071.88292188726,71395.36706448496,419535.8201766807,17276.401851555634,1629.5553048430288,2703.121097285783,2408.546987383263,577.4602683533651,1943.2188283060718,3039.400720471015,41264.39551824729,6803.688092030925,791.3328070972725,9.473645564956629e-06,0.00023910441711350624,0.2268382263029331,0.031906119787128324
283,-460.8441226406559,808163.8346195031,780147.5486677851,118222.47069726113,74995.88322611847,58227.16710082811,452547.9900581763,16672.415956270026,2359.4653597726997,2863.8218374034614,2683.1834814493086,130.69315558363058,1106.1298988046478,1612.9367895321216,37746.99364274186,8068.572474891809,803.9748484108298,8.606250969487458e-06,0.0002316446588687552,0.20450090130306833,0.046139350025944464
284,-531.664697531947,751670.5738331908,731524.1658795889,118702.60708577823,68060.82299114435,56689.43902261596,284770.1590027164,17313.399459692922,1050.9289736983592,3263.2258140772983,2692.1746556069793,170.0830391323425,865.1704653479123,1472.696645744844,36025.2876393787,6406.766651006103,752.4504237034675,4.9947606028063585e-06,0.00023774369665453409,0.10446343971270768,0.03634493629014897
