sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
10,-833.6567507078056,737501.7881950261,703297.8279150126,118263.80736582149,60392.78767078142,58453.46063391301,56048.172983149954,29378.681265754858,17409.908168026046,2228.5451342315346,3037.7907412859727,2749.7565204634884,328.0788013493408,873.6248943098811,160.05761413992278,27944.347632406294,22921.948970534428,205.33149395235247,1538.2071449978062,9093.747517208989,99999.99999841533,5.88813636845236e-06,5.865569347883345e-05,0.014612446222877268,0.05813337931703401,0.006859727905906929,0.018818849846090342,0.6253116101244731
11,-713.64125874662,737810.2916718677,697960.7417023075,118496.858475201,58057.0592798635,53072.54698370958,50790.67656214695,17834.05773066743,17124.909097366915,2050.9050078072396,3382.5217070156505,2742.3483815416002,135.7842423794673,776.8971999771886,178.31686688870104,28627.563837565365,25424.83360680689,149.23320456763807,1334.9470749465713,5126.878779437889,47490.776828013986,4.6986839911738294e-06,9.453458544476068e-05,0.016145121515018724,0.06783191761866238,0.011073333017398844,0.019786140048973055,0.41195088838957966
12,-806.2601256067795,761265.7901000099,715638.1338580741,125987.15622225795,59765.51759182213,59084.127925936955,58180.46201424179,27331.833144471333,17077.35801838634,2313.609367022438,3370.3785532772476,2824.7857108663784,227.86891027169762,963.6397032378547,530.9306097732332,29284.126797425113,22198.03613181963,83.03811070682517,1503.1464130519653,6103.395604393823,7498.53840196836,4.8131894173628824e-06,5.7018613223288834e-05,0.02392051890182767,0.04788720781885796,0.010250688868381163,0.020133224573128116,0.5596536554029289
13,-792.5589174862624,729172.2365503182,699682.3777688754,116613.5645088667,59480.676853650606,56660.77043667899,54523.08357914845,32693.163801963372,17062.124767998328,2262.622572935685,3034.755010912908,2477.993943836443,218.52907865740866,630.2487111117804,78.69707501084284,27069.734428542448,40165.71275836448,180.12039325665907,1640.8575847205195,9388.694752015004,99999.99999927935,7.401349266492024e-06,4.816615466404668e-05,0.020181245050532384,0.05712782959931432,0.013466585611623092,0.01988878349635339,0.6988625513485188
14,-618.9545549434022,738951.1398558447,700789.878526443,118493.72060434525,62589.240134211985,57515.038514131564,54826.84804671885,31178.01242046998,17132.046585250362,2235.0601900357806,3093.090370004662,2744.253071324167,342.5165916027157,930.4942633483514,150.67535857246185,28165.52860184598,21989.346833686337,205.86965241861435,1620.7641015896684,6914.82952473991,1922.594897989478,5.828286774320916e-06,5.501281253037315e-05,0.016611803832174376,0.05703669433979203,0.006894855732107225,0.02165961970668594,0.5902962824742098
15,-713.4311665528145,755553.7630508081,714429.2315201657,118795.14009776413,61582.24968283256,58870.30658097883,56480.97515158219,24288.023317878997,16734.006040073873,2323.4756038538367,2995.421731605602,2608.613200750811,282.0037274365044,931.7871383483237,187.42378048017946,29629.742164076695,34550.7883113609,193.95395207190842,1518.4304715956969,5174.132223342913,99999.99999999984,5.918254226605175e-06,6.401445099498338e-05,0.026508425634793567,0.048477117960401134,0.014789053873782015,0.016360177380185234,0.542538311130967
16,-674.6655741126647,742771.1433851216,712303.98840136,120294.81992849776,60156.736072855965,60708.521504103825,58256.75355713213,25636.2122759871,17428.136370553824,1984.6049632260356,3145.6946895844667,2669.9185846187975,230.54675025927122,814.3760927824428,220.81815437389446,28493.392880643245,25081.958981838965,198.40493837138712,1516.9855870523816,7063.783688081637,99999.99999988207,6.170145375418241e-06,7.26771811236224e-05,0.016735260055030655,0.051751036547444756,0.011263375951635735,0.0222148319871511,0.584722524747016
17,-729.9929949772725,764167.4743663687,716328.4081757646,121422.52528694608,58370.79934417865,56920.335824730384,54989.50114557752,34398.27430992238,17078.399068008563,2233.806710209616,3312.0397408114845,2893.097087798509,143.72669790059507,614.6562939687415,313.4043863590984,28448.498926593813,18957.412401449736,149.46455755655543,1571.1835987291606,9439.426782620598,744.9248770049427,3.8070974195868096e-06,5.919284636609973e-05,0.009775090242027974,0.05534990235022935,0.00957890745380651,0.022126359146632923,0.6935881371139723
18,-854.0214400502418,729676.5320839668,701159.1939683412,117431.59032771879,60205.7508168397,58475.12164947198,55732.94241463302,20727.179768484868,17491.606015113965,2231.6752786211237,3020.980153832117,2553.0515837089483,269.5158800417998,987.198969331988,152.3525597224663,27479.66367835664,34632.323785966444,213.77116136062148,1755.0300350219256,5098.308366002824,1221.191883824506,7.394340650154224e-06,5.3606021172903784e-05,0.017741718916228496,0.0401396059794341,0.015738973415512218,0.02019557190761964,0.46024899678519704
19,-779.9972547567982,740997.563320988,703181.115766394,118341.31139999718,63172.86655985401,56084.40460976221,53438.08002428664,29008.232177488026,17306.079393357133,2302.1471187619663,3139.9482922024,2646.036503068225,344.79568613896225,1030.233431937956,154.70127542068388,28225.599409043334,36184.63221146092,213.04114772515496,1643.6157259945085,5065.967685772931,99999.99999967974,5.818719382055843e-06,5.3884427153865496e-05,0.019832734771405718,0.05439439530417319,0.01313330416136322,0.01455612945290893,0.5568603628272262
