sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
10,-160.26760699219392,802967.8751947823,51938.339133721354,50681.52227782468,16752.85039125829,2548.1639333432186,29140.594079609444,19072.288844951185,90.81347827266306,5695.683838269817,9999.999999947393,942.139783148454,2.1215337278470238e-05,4.4044806547127114e-05,0.00040831119102876536,0.1067293225017143,0.018771849976666446
11,-140.06279002004555,794519.2999357085,51379.063158126366,50195.75183576543,16555.623654809264,2483.4637246870975,29815.98299536611,19382.078044710615,77.91711808391983,5068.839908983504,9999.999999948637,767.1292448855185,5.441957634275006e-06,0.00010222113591461006,0.0004345419961920709,0.12086797658293574,0.023086752422068743
12,-198.7516792758778,794563.0622516006,55818.64645327143,54690.24218406801,17080.225079816857,2513.5057374125868,28382.09699438583,25331.94508471295,99.95802400256225,4596.308492329058,9999.99999991883,954.9467055614035,1.0000000273078577e-08,3.9731822746017924e-05,0.0003747275621354123,0.1208810990387994,0.019588541544882276
13,-202.0432808882366,782370.8091601345,50632.13553593832,49237.26459661107,16323.94254526785,2570.9781700695307,29975.696991069974,18178.537202238942,89.28009852111897,4360.421348175274,9999.99999991112,1016.7116357676384,4.290944128761418e-05,5.127087408405201e-05,0.00037249730746904795,0.083943782161425,0.020314630311790968
14,-134.07919638519877,835356.0427211649,51290.10466255328,50506.88166122197,16080.122261109273,2299.1840252613974,29658.238290543333,18646.520197346676,54.83099384875069,4845.711947417643,1828.09593229452,1100.3011217289877,1.1424402560275851e-05,4.407982474433218e-05,0.0003071872315208615,0.13661723293466627,0.02050861407231738
15,-254.9325902349401,778813.2735209274,53975.22050016096,52751.42390017061,16723.87780772133,2508.2452825956193,28773.574153459725,36145.60203519773,97.35667974694421,4457.738058663447,9999.99999994963,919.066644619517,1.000000007790087e-08,4.6936559219994584e-05,0.0003995377870781226,0.10859178260389502,0.015717353054975527
16,-190.95854909230135,812172.0452527914,53679.45838822798,51782.76960742887,16632.13483900096,2567.8824497763976,31489.26168185456,14553.460252018991,120.37785803638774,3980.9790299880415,9999.9999999467,895.0768120249217,5.9715906613240685e-05,5.749157510802689e-05,0.00044314450241370084,0.10400847696469163,0.020983416697525837
17,-139.20257379179736,821484.3550741446,53738.93052281703,52543.4397193325,16446.589657411576,2430.604178397368,29911.587424366662,15101.493089700463,83.85590660107289,5174.7232923760175,1685.0930486155871,1025.9955026053976,1.2196052959792342e-06,6.616599376765321e-05,0.0003291225183605479,0.10409788353072642,0.018962786977447764
18,-120.80987149384501,817766.1784271009,55068.68633938378,53297.848677090005,16632.28326931214,2487.714453656642,30958.6009861263,15121.977052953393,112.8764567852428,3662.292911900861,2045.0273614592427,1007.9122173590974,6.385912236614014e-05,5.259366481691599e-05,0.00043443619484516,0.12593811332604996,0.024375490541000747
19,-162.35630347737478,760436.1937361713,51434.825462718196,50717.86333732229,17514.574503764663,2344.5324108523405,27334.469253147145,32711.36318879138,53.87289368425717,3979.225913730592,9999.999999996617,1110.3273263809492,5.914023751624644e-06,4.5438353020506105e-05,0.00030861047517685426,0.14454184335347114,0.015594857913530548
