sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
20,-295.76635380865775,2499999.9999948186,749518.3343521941,693108.3115337185,138547.9096449523,69281.13534941596,17505.004533461943,27625.774775540936,2185.1290486377734,3538.406399746333,2639.538522686681,1219.8269531726157,899.1393705437497,1382.4716813808648,0.008017559594997763,0.06580110165622043,0.013787840872827337,1.9336241996092964e-06
21,-299.82114786860484,1509734.48421176,774104.4701120998,718360.1395937009,121316.0733270765,60685.910931057755,16877.41766053785,28449.357445823425,3201.5247647842557,3047.654409481309,2658.2297224258173,273.4698234174924,241.43414954620988,815.1552921208702,0.02351457929038894,0.06450425025035739,0.007638526346824286,5.627672673246565e-06
22,-348.35263506241074,2499999.999998829,719933.3573807899,700944.8664100164,118223.71241359833,60704.95351134589,17602.508155250827,27281.60750858581,986.0821002611441,3177.9175756985833,2645.7784776870235,128.22912591389098,217.3211868453962,762.9689885098861,0.010428263217713748,0.07336010958466721,0.00844723727347865,4.907503408706107e-06
23,-394.673803152395,2499999.999981549,765151.7282953797,747100.7211019045,121594.20373257021,60210.23705343767,16970.7759008458,28417.603072716436,834.49187988594,3297.933390852275,2829.915325138184,349.0291023000921,247.57179518699104,834.9399818956904,0.010432785792152453,0.0520173586428227,0.013047666865745487,4.034369499449589e-06
24,-313.19536945521605,2499999.9999990463,783158.2685182844,706178.9990251792,127917.27105889966,65026.56436166774,17032.048729687158,29437.17411466016,2648.4655426488603,4081.6862075590325,2853.6367103670914,927.3296789544899,456.31162194728256,1264.4358411280411,0.0062701072351252635,0.07163390130939486,0.012411420178087693,5.0556553883272e-07
25,-354.40108158301007,2159586.488325803,788403.0497311832,713508.2628651657,120850.03310403095,61192.8068039242,16592.386803146554,28779.708330414906,3629.3703772441445,3148.78105872252,2673.9128859061652,309.9785086637597,244.72409551129988,801.7985847544459,0.01434573808763775,0.069159022351056,0.009943559565912767,4.544316247005157e-06
26,-568.6772059920436,2313837.6638520393,748105.9951798739,641752.5355246261,131945.56267043308,63278.24921257804,17723.39726676669,27095.276026533636,3573.430842691802,3838.0623075575927,2797.9715350005768,1316.8663620975533,318.08915237657396,891.4805675262162,0.00856008451755813,0.07420240325611895,0.014959847604812573,1.0000000006543796e-08
27,-334.95637552574783,1010313.760751766,779348.6215029089,695323.8061893701,124427.11531258265,60445.8483089043,16906.413438391883,27764.066367763717,3621.387448897832,3538.3325106627653,2808.800817531513,584.5706504934092,217.5575932299754,736.9477418997117,0.06747686330957185,0.05329147484287259,0.015065928966381394,3.3156524872542645e-06
28,-412.4714399307959,2499999.999831638,751422.1638220085,580916.254945279,124247.30108436497,59717.50358546372,17228.447067502388,26870.834306016557,9636.492513369098,2951.1636588248375,2476.386635897752,542.0632570566098,192.78018863844343,874.624073212866,0.00034055698908474135,0.053011707356553014,0.018179571440583547,4.584422638742083e-06
29,-341.96913762513475,1726092.3568738138,750790.4717936195,733390.748847562,134598.68720400898,66101.70686585469,17008.190813334546,28744.94099979586,880.685512077019,3243.48319320963,2808.199481294922,1029.4456241697594,445.23581244532886,1152.382066940201,0.019964482677623255,0.03723008433314572,0.012985647983266348,4.581473674104907e-06
30,-263.49795061124644,1902510.6339644452,738240.1820240737,653840.6806362115,133999.74240812403,61349.66246026921,17143.170419456084,27940.76894018503,2716.10425663367,3966.471677265786,2871.791303120097,1385.1006947463645,292.4300406639201,946.9561238989949,0.016293397898084372,0.06500973144683005,0.01252968947119539,1.0000000013594229e-08
31,-429.3337720177474,2339827.2822167184,793260.7067671648,708024.4778240853,119182.2897649946,59508.19790850299,16388.07015903295,29810.391425494516,3496.150805727947,3488.358948487102,2714.487203861175,189.68164158317586,208.84367359582603,683.1622357230165,0.012084331432608092,0.0626656385783632,0.010187091576077575,3.634880569636099e-06
32,-369.58648385616834,2250873.6207697503,801004.8145423027,711473.1621870968,121738.96763789712,59528.629929763796,16401.92895058487,27632.105763941974,4863.734518478377,3221.008443657448,2780.2020170773944,513.6743770285735,179.47901585525912,752.6004895665028,0.00807142295393007,0.04257067188908283,0.01146195994832383,4.388238308438928e-06
33,-259.4840656750571,1000000.0000073803,762216.0019548091,735177.4355634819,134312.0314709672,66846.04208893872,17297.59249862792,28249.45907598491,1009.2944761762009,3953.4152400355524,2771.882042367122,1370.2014572573387,582.2326414517075,1119.9702615057242,0.026229579829200465,0.064009383479384,0.014081842089342149,1.568419717236766e-06
34,-399.06649065971146,1631039.0302504674,772469.591765521,758432.1996457007,117213.12271593245,59293.09995023778,16830.9517901652,28421.34877308096,656.836212557691,3439.574957918055,2702.402119469691,84.88236950396858,150.91802846633712,759.3088549318046,0.014722908453566311,0.07067589039547112,0.012363804635877104,4.153314451041049e-06
35,-484.998690262282,1000000.0000071262,764806.7073352832,707347.3590156368,119188.13648366868,58692.23905981973,17261.502587845447,27895.225908467703,3236.4778963675203,2954.432467693089,2800.992514417287,167.36648795520267,123.07662919937401,687.1343584670483,0.008031905271121924,0.053841497191364156,0.012811750424018395,4.648494844692461e-06
36,-357.01537758152625,2499999.9999831747,757478.0239664653,734701.7196663235,121174.8971584294,61560.6491559526,17010.238866186035,28261.528875743552,1060.0558200950813,3383.3182718041226,2884.436420416941,294.1031448777264,318.0797905451831,999.32357106017,0.012721347866784548,0.05289813482424706,0.00930981623027744,3.6617761054982585e-06
37,-357.3063874775854,1000000.0000106186,782221.2992749505,744220.7201833214,118458.74182191689,63566.1657767063,17125.761706757676,30807.838916406887,1583.6587306238073,3559.4422289303025,2807.172310272657,174.94246812010894,401.39214033924816,1028.1432821307362,0.07394623596481874,0.06836143649639168,0.00816109157721924,3.902919080047326e-06
38,-259.62383880872625,1184952.2426785927,797312.23299577,642784.5602492105,140920.1791957637,66129.1976283391,16648.575860747827,28525.423317583085,5374.841090181708,3573.518048026167,2798.984078913462,1488.0841114173636,492.50573406350946,1352.8731830628415,0.04840653016864889,0.05807805527811787,0.013185414176815864,9.074641575715662e-07
39,-312.4507490053374,2050603.7877090427,744346.087329623,627447.0277270684,131176.576491528,65981.79268403353,17340.785228844827,29216.545848306883,4362.2460754878375,3745.9308233945276,2899.2773568583743,1109.5459584349592,573.20968314065,1166.9368624636136,0.014550718056880406,0.06024161041838617,0.008695209174036201,9.933328614050626e-07
40,-307.7211324163576,1511499.5160125936,819490.585650948,799221.0089160138,118197.6410094079,61234.386036258365,16408.13854487841,28883.850032789873,1384.108757654454,3193.6612994487305,2584.5233643900647,139.86875338042293,356.53721554690486,890.0968445484458,0.014917885386577706,0.06354083384382295,0.010545737256582227,6.157277394952719e-06
41,-483.5209518027681,2455671.1926272,768442.5379501123,739525.568024737,131128.36811424658,68023.05983468246,17418.129001993548,27249.37958622287,1082.788473260878,3555.0915918571045,2646.06099406771,969.493698212817,574.8312820302187,1186.1714823679163,0.0029757697783296096,0.08386098731956873,0.009378866697900298,1.7980368186669446e-06
42,-352.13820580196284,2107071.8025261853,754417.690783187,691991.8524354268,117305.23136962239,60221.65398770689,17174.959464707114,29305.36236590972,2868.1077295647983,3563.171149085173,2695.9628520145748,105.14495440414844,211.99412211306387,853.3270557912294,0.016681651808565817,0.07830020186091612,0.007001297371771827,3.8085511795015992e-06
43,-425.43915712059345,2499999.999975021,779798.4841499765,701527.9869501924,127326.24809191597,62925.04950836702,16999.836286300262,29468.450062951197,3675.2341445827838,3398.6079709853834,3045.6171352457422,633.9684531908895,314.13853040662195,980.8502562369764,0.014177116199122257,0.04451299947588598,0.009392318062283337,3.819242324041233e-06
44,-397.16302124615135,2499999.999990893,747485.3894438494,707314.0050245085,125614.25140147115,63693.498033883574,17255.068727367354,28799.351864923927,1841.1789246328517,3301.491950608195,2781.777098974307,503.172355580173,393.52279669120543,993.4642884879281,0.011665567417583454,0.056844078155284354,0.01139292141100186,3.6963836263741395e-06
45,-525.7286641347578,2499999.999999215,743868.4092773696,641263.2664785929,122084.21299196254,61142.5484958579,17417.6405610448,27212.14109955144,4422.547059231055,3491.8705990596472,2833.4479327332815,394.22412422868683,302.91890972947687,936.151204955078,0.008185849068950922,0.06042733828470446,0.009756772832072744,2.6249184369718314e-06
46,-391.1066718896691,2499999.999946333,744652.6464623194,691292.9466427814,128512.95439424591,60807.2446363487,17327.634648695268,27779.618273178367,2205.7420029708687,3881.344025838749,2848.3869077500126,900.4718948089719,229.40791183827847,752.8371146783958,0.0015472318709035602,0.060491024148387515,0.012944515831684395,2.111186086760001e-06
47,-589.6692471780506,2499999.999993735,733424.1565289669,651490.7616183569,138544.02395105863,66200.44439734206,17401.204193279318,27988.60787102747,2821.0660203965244,3638.93220725544,2884.5543307545995,1315.7212784106625,395.7390693655446,1079.5383808678346,0.011775742535030824,0.059235635359622556,0.01094416883988438,1.0000000003038405e-08
48,-248.06699273175872,2041563.0063283686,760965.2288546355,707818.137903612,119293.52514715199,62083.37883516112,16938.282163305692,28388.37891773121,2540.2689136125264,3169.2512035270847,2532.593468922899,215.50725570943183,302.83134863128623,819.6843457292072,0.013814656001515126,0.0735187519252588,0.011123993451649454,4.283000921421964e-06
49,-409.789991392927,1006535.0416370619,770043.8534103644,690374.5508176683,117010.62326417225,58769.632029858105,17148.25489975645,28145.545677740618,4170.697262932864,2923.515803315135,2721.0820613537926,85.79498254980737,123.69118598883401,621.9123316433461,0.11022817890180786,0.04849222519195985,0.015272136819809191,5.508705055234104e-06
50,-454.9422755891844,2394668.471075122,789591.0592364258,728819.2878343649,129056.68589920718,65293.600522640365,17021.871884513297,29947.1533278516,2772.6562863944823,3348.7518824463054,2891.859040108826,785.2892679573201,524.7906412041355,1292.2148645739828,0.00983865975228875,0.05724404411462103,0.008571365980983523,3.7004971951393967e-06
51,-327.2529550036151,1657816.9792690033,759628.2709383102,714772.7426556576,123932.53033820374,61806.84473876675,17302.457417856807,28900.45588494436,1982.6262691344486,3438.001679118579,2786.8153744180217,456.7407825472266,300.4896596828552,830.9151545843124,0.013761035823218502,0.05884671667485193,0.009723673877966561,3.2756124479449127e-06
52,-457.85215494677817,1672038.1632568927,793422.935516755,701926.9769356805,129080.35490491206,67123.41174109845,16409.025074388206,30154.647811746647,3557.6343865992862,3408.2023347142094,2764.3811007033933,962.3568457846495,570.0909072328365,1028.1602354403146,0.012839948716339807,0.07159858652177624,0.010556697048060455,1.9161891170632935e-06
53,-322.1560600535322,2220794.7340851887,758844.4799959895,720682.7194767147,127733.28614671832,65226.17648674433,17214.225523534904,29276.9051633639,1664.3749989401842,3453.5746431305874,2963.9196147976113,799.9600533635265,435.55364248908694,1170.117275708892,0.021483852219116167,0.05207717684377177,0.009475275573496166,3.053291030565048e-06
