sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
305,-245.59742857948262,821079.8649488336,741487.9100760802,125035.02939677615,61194.88380193423,16249.393593332583,29474.917252826814,3553.886886606023,3146.3975750635345,2971.356150323886,491.2218645005327,256.3251781615339,805.6128045039964,0.018576359501697663,0.04646840066080969,0.011240519078770366,3.752298271590879e-06
306,-365.69427403660774,746891.6639134294,639518.5723689989,120769.20523908784,59781.89282378472,17505.752052904976,28970.091530164475,4634.810419621177,3257.321263241124,2929.2466261779173,272.81787339904605,206.36459611072308,895.9120492803821,0.01831988382807563,0.05828445357442846,0.007434924037649052,2.8674383469287926e-06
307,-412.077850339782,735015.5551186147,635385.3648786126,119413.30115422852,60810.88312941849,17460.278635452858,25940.14193083873,5115.131574756075,3183.6396049280534,2612.525911808198,187.59895042568672,255.62410635072956,767.2417819319506,0.004187864181679023,0.07111967076850055,0.01132977079716019,4.26926900204786e-06
308,-391.3574439695632,823356.1850979404,741497.2821987174,122923.91925186565,63164.13726102684,16218.05740504026,30596.914197760434,3560.4193019571226,3307.823689809626,2876.3355056835344,407.8698373760329,349.25964808032734,1000.541923371254,0.01399682941435637,0.05232883712096218,0.013036614260486731,3.5843291279493457e-06
309,-418.8047163958218,748789.9279593602,657179.2292863291,130110.43143351038,63501.730917122426,17053.55935730585,28625.66220094842,3616.7675173401894,3398.3894275518046,3045.2915935046913,831.8314756842801,348.7220256961439,933.7823117078987,0.01656541186480007,0.043666374591090254,0.011727472168714113,2.18054960661882e-06
310,-296.5907615436978,769571.4966632866,696219.2741754986,129819.08910812833,64182.669726533575,16926.47087585693,28105.50821753687,2814.2631645649394,3475.027959115345,2961.0354383267727,831.718595875123,396.3998933216942,1102.3795270089524,0.017135086743009818,0.04763681393032889,0.008052849436220566,2.3408635415396838e-06
311,-300.5609343082234,766855.1425419152,747761.5772397711,119997.4732972067,61401.257660800846,17415.44862983598,29334.340741889653,1191.3838713109344,3388.8771429263893,2685.9215396656355,244.17043047772825,283.776779888013,933.8461856581267,0.00487956883246218,0.05843532329325252,0.013931024961348019,5.460850454466216e-06
312,-395.46146033065924,782546.9549221518,632829.2337638341,134830.08849271998,64528.128578799784,16775.392272938305,30293.22722136524,5195.003932157011,3611.156716563869,2939.302758822131,1541.9938837536972,362.61031182350496,1176.524398146044,0.014222147314360086,0.0591456456536062,0.01159797060795278,3.082262963880582e-07
313,-338.4502545189876,765802.3146024131,754804.6665164168,118860.73592997849,59444.78375205817,16951.842375286946,29191.204790699954,646.2512150780499,3059.7153000552985,2483.325914726089,191.81242636051246,156.67034019865886,812.3258190874528,0.008615413955604211,0.06920628369578202,0.017300589411165093,5.491530199954375e-06
314,-289.56443747355263,818544.8230302529,767603.5936268124,122843.11636165618,64026.783472293035,16140.527154604517,29026.739931926713,2214.7989936945028,3274.5517546338438,2827.7286174877545,459.6705143419397,416.7677587750116,1095.6588597782704,0.007261189194485995,0.06529065128238531,0.010750110590553637,3.5024657212803895e-06
