sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
20,-736.2411908434976,894733.1483709351,840161.1359956975,146904.99653494015,77408.45653463659,50036.76861549112,48502.21900912552,37965.22343458035,20158.266721976073,3314.8612887904796,3483.417592725925,3143.4670488744196,1490.1021497608224,1812.9507234836422,1287.6491150907532,34613.92674210892,26555.150736971063,104.8432033596727,1701.2837334531227,19178.65208993579,564.7476882331271,5.126197388865621e-06,3.656702830097935e-05,0.034123304174938585,0.032443105192181396,0.007987484028323642,0.020402828267562744,0.8111220497461211
21,-777.7347075916659,889320.3847301215,843264.4770611103,142114.5704685982,79688.61736229547,56242.069468055255,54945.27701519826,20552.71572702671,19929.81832275486,3420.559811217041,3295.4686031067395,3166.8228235098013,1260.3033946492426,1867.5837082865235,1027.7758785022777,36831.1579350405,16912.096944663183,95.8366437257913,1441.96115681098,6092.41531346696,661.7387959807456,6.090005164547395e-06,7.565537753538176e-05,0.03763337464200515,0.0326707211478416,0.0021609615524754676,0.018037636944147797,0.40396306135450305
22,-797.7229155658251,917593.4447731562,853957.5045719885,134217.4941502986,68371.38107041216,53127.71760257653,51697.554413335456,34498.24941919411,19553.95573511563,3151.632343405517,3792.2684528600407,3327.3676190708256,573.0539511033837,1222.8699692032362,775.8763140222281,35015.68086279903,34402.53381582683,109.6648840832826,1769.2943338068787,9777.808425802437,631.5797932212192,3.903910409468616e-06,3.566056177024987e-05,0.03343009610041389,0.048593599953477465,0.004421739364753223,0.020626400885543027,0.6579495670026047
23,-893.6535171257833,920985.3457241977,855824.4978556085,132218.65624202313,66435.92690555117,57681.12993846559,56392.060785817186,34993.502594246194,19467.417350984455,3087.2344116208637,3676.3366828837966,3556.3074995099014,626.9376454239837,1235.804961811691,736.7924765058258,35418.043694408734,26690.858987172993,105.73988354736383,1623.6650970669118,8151.305921114498,1593.7561726248873,3.880116589005207e-06,4.711240569445179e-05,0.0359024798107678,0.03459687230740641,0.00476868555051108,0.02655324762686151,0.6351750813589028
24,-779.4980397382212,922538.6563124424,849787.7696901154,137225.22554359934,71298.27680418939,55633.39665510489,54167.10405263155,22523.57168415305,19692.667549122536,3339.6388010800747,4110.826212379363,3341.235978063241,848.0024440067145,1606.220667963915,1205.0657389024645,37328.412393348066,20115.282239901764,103.1222040686342,1512.9790068840844,6517.670603088262,61934.70914322147,3.2999496554591513e-06,7.753405143564033e-05,0.030327062777758703,0.04167392219764693,0.007793735952119571,0.02220057768162939,0.4081858210635275
25,-839.995196946663,889095.5717615553,822709.3889353785,132951.8958280686,66590.50526244356,58222.91572724141,56626.476230415545,30351.24546905429,19984.902463701575,3439.3911171995574,3516.1002204521174,3219.390571018348,495.7676270513298,1082.711951098692,815.060949820445,36374.36567260231,16627.939551337913,118.7996317264027,1457.3434553997874,8007.739175796916,1451.0920970286002,4.313327604603237e-06,9.010038587485156e-05,0.034045788460179804,0.047016577958127324,0.0057257564609038076,0.026751397063062246,0.6539855738567039
26,-968.1737134382909,906454.354119097,831114.0770018321,132233.0650972515,64901.12198247078,53127.404058402986,51786.299261661006,34371.52584496251,20200.58900600485,3272.8863578300993,3990.6332361339487,3235.704292376516,414.3650309390839,975.2440770224858,939.1593921764487,33768.92035178624,29008.24623104511,114.13146323246123,1648.3031058094791,10466.551953716265,896.0542042115832,3.323240806224499e-06,3.3137378668645585e-05,0.030770275148121147,0.05624355595782709,0.008979875527085093,0.022930657196644402,0.6587938145323227
27,-730.4841492042215,934475.1800933533,873460.5303164021,138606.46503750925,69068.72139184196,55720.44348087186,54189.69463105515,29873.938304507286,19449.29307993544,3337.9884468125074,3938.7162253142938,3367.544864502864,626.7847374221236,1210.1824137116357,1171.155906325514,36405.781099114676,17165.763613155017,115.94250726881079,1459.282794227907,7180.037499993896,4781.837480917675,4.185377478623445e-06,6.844922354148875e-05,0.030906320542329804,0.034273793581489485,0.009546052412009743,0.025239495530975015,0.5850759281587393
28,-778.0493538126606,876942.7533390431,824200.3392197936,136605.27636566138,65546.19685202517,55933.267313051234,54341.991573205814,26049.430983120164,20363.321511410166,3418.6854599812236,3601.136260613298,3085.4521863172617,485.7514432783181,1278.3576760484902,1002.9737808358248,35384.499490359995,13629.923493065215,116.16712559038801,1437.2847090774533,6792.577068644899,542.9347120403174,4.855919293369891e-06,8.943882032689297e-05,0.011479355769166904,0.040388852910936114,0.010907288823472215,0.018259920119704714,0.5518040180370242
29,-784.5831229772538,924635.8082371451,879051.5154803337,151270.27053736706,85642.20224050638,57278.12849937155,55750.62359283186,30722.993199148714,19181.677120244207,3449.561053115396,3336.8759861504977,3309.2396691911554,1397.1391732648804,2309.624792803262,1313.2819786859386,36726.29154278509,25847.26204791453,126.68848644484451,1666.1477497227238,10215.790593874484,1027.0453851634184,6.2033673300154885e-06,4.8065083109706354e-05,0.03705440957976813,0.016203808310504386,0.0037964481697838567,0.016364815520258938,0.654107133186873
30,-601.3175961130231,914207.5311237832,842148.515712037,135065.81045989218,64301.85620854881,55879.043119672584,54313.32307845946,32645.51243847416,19314.818732624557,3102.90996399639,4017.0017271612046,3353.9280445307736,458.3827095991921,1108.3793477220495,1017.1598253067434,35292.045041535705,31470.736767862036,115.28822353864649,1760.0355162966603,8870.66959773859,787.9631774812254,3.5872653098670905e-06,4.6791424315595755e-05,0.03419402680341053,0.04340942016313737,0.006161367629781348,0.027682357358286263,0.6309416722594644
31,-779.3487134447082,911570.6421315128,829011.3890483124,128824.19356317428,61602.92017455286,56583.35855649924,54978.48877477411,27883.70325307021,19510.930394777803,3154.2057942555216,4128.339713020758,3571.4330674190655,333.4198645410447,791.7733723166792,565.61885290625,36127.90108723375,25932.574985777905,115.47739260830943,1623.4762684600335,8511.919622050793,99999.9999987278,2.6285490087767934e-06,6.021743088697453e-05,0.03284181131303761,0.04455333204912214,0.0028055282941990356,0.02201705158285438,0.5119436813094113
32,-784.9271083776077,917775.3095904686,861150.548691287,130390.71063778813,62394.398348736184,54512.45395617763,53359.939686296464,33371.21588460874,19569.69010038312,3395.1613511238857,3594.649254694794,3441.3478171260476,310.79821651272545,910.2930022735235,914.6969418704685,34162.705527465405,20680.055659793565,98.85820628539484,1629.5717186821219,8263.198948582465,1097.8378504333048,4.388149267303373e-06,4.383213594686905e-05,0.026776891987070842,0.026588119455936393,0.006422707583204717,0.018182724030447878,0.6254453607381388
33,-601.0209261422427,923813.9073712343,861245.424364475,136458.269812992,67356.855228611,55922.41541990324,54197.15034523763,29358.760411255844,19771.68679267806,3276.819146213766,3932.95174601104,3382.248869865598,638.6263369001985,1202.7493545460757,1077.9848063250254,36951.86070490746,19652.042540213704,114.54179977400769,1540.1637462896892,7585.816748712331,99999.99999972575,4.108836707187852e-06,7.317465831087427e-05,0.024694369085300816,0.03701439261360602,0.007706722683208018,0.025234096466386118,0.5356758677637198
34,-801.7055935410349,936904.2185271442,872455.5413159439,133799.08528719435,68686.84016281116,56451.28077764006,54998.25993250917,34045.11113726579,19202.911781851744,3344.9313279292483,3909.4930573159086,3296.840395676866,572.5455549620539,1274.068517036041,698.1357070348712,35655.43779982322,28818.3740071707,120.48542662015133,1655.2124554829688,15219.729965218905,1494.882771400752,4.154758930283974e-06,4.601183007886482e-05,0.025102310493299397,0.04440642649018469,0.006743989788901581,0.020469971521032658,0.7225480111839856
35,-948.557175303597,895888.6579478752,855642.823743109,126218.0521624662,59685.06392193331,56172.09675902758,54658.315498493954,33100.72377170495,20194.401873613577,2974.0447033136525,3258.492606367204,3450.6303152484334,170.34702986827492,726.0049328340305,407.53251184221114,35341.42031647754,19320.102536687078,109.84292257328413,1419.2455719769334,8517.294253222353,621.416451347937,5.490738200965513e-06,6.798718885581954e-05,0.016550707014158533,0.029893938554231128,0.0068234657517826985,0.023756119789878346,0.6567360045323244
36,-648.7740695962079,915920.8326813796,847880.8659132546,131546.96459772694,65421.74918649489,57547.4501927791,56110.13387462148,31784.719641346102,19498.50419803027,3347.9609039726333,3809.9946005039346,3497.6212890582565,572.0502728363825,1199.5145762057734,684.2170312445064,36107.58986765244,21382.798784723465,109.0724907597186,1783.781813545753,7582.169918199955,654.8902076400996,3.6421442102346407e-06,4.126286013968519e-05,0.035943741812008025,0.03671214982368779,0.004278841562901473,0.020606299358092904,0.5896369614637984
37,-748.0837113333068,912976.31344693,847785.0797312898,128395.29017545546,69904.67162785103,57210.517016782294,55713.48679842497,29522.223665156638,20103.42758752801,3265.346821590376,3914.5597312895657,3402.9004751550815,757.3266391754865,1413.9917641106417,582.9538394820705,35865.30883877385,48870.58181233782,111.06293054939644,1711.258855274075,5909.433751694806,99999.99998257893,4.1208827486623445e-06,5.195649450663304e-05,0.026874881145679246,0.048525317338725095,0.0022796257335820857,0.024045636623695806,0.5951969776173008
38,-709.5900198138772,943757.2999437058,871617.8606460405,144542.24805403443,68616.77757390696,57566.22518767686,56228.62476827988,34377.23134498487,19400.832101834494,3369.9028129823027,3870.5511196415,3392.2969655737934,649.1935495687592,1523.6271523428784,1272.9918151917554,35827.54142895641,23553.04855402024,113.77939422723978,1524.3384138323481,9856.390365313262,1672.118048522956,3.7398477458662323e-06,5.636825976097377e-05,0.038141881693525434,0.03818027032563881,0.007905648491195998,0.02179538769233118,0.6924381177041667
