sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_H_N,p_H_WN,p_N_OOA,p_L_S
10,-865.5110003774934,848990.2220373998,706277.5538391382,116703.99110951995,56324.4281684808,57877.606371816466,56250.64864337869,26602.662175948353,16174.795356656208,5599.683038675643,3585.962322605207,2456.962026549651,47.64675808869722,562.7190441935519,104.50855072258996,31609.626191907842,13840.617593960593,122.81146067494448,1405.0559807831642,9481.815488254319,99999.93909458623,2.1109095195749447e-06,9.192528644455716e-05,0.09637075050951578,0.014921308133379515,0.019740423258120653,0.5548031304349768
11,-660.9927455713715,806491.6098135543,695318.6502457276,118233.60577007735,57533.367971696105,58540.91954565014,56477.57066865287,35444.719164125374,16492.382755547413,4823.246480149301,3360.9470425017266,2586.1171906410636,102.41163270672583,636.5473767100242,186.2559181601136,28273.10598656443,26285.969931885356,190.2466128601293,1655.0188375276493,8115.811425730184,729.3583689903238,3.6106509574678556e-06,4.059466048470758e-05,0.08853103249964574,0.01052174207663886,0.020113253849143677,0.7222931939011664
12,-732.9023566506967,786361.65606573,698346.8179390724,117371.1556906758,56899.61776802367,56941.12783737178,54167.674473737534,30819.014508663306,17365.2252288757,3300.484403926347,3672.072916195927,2561.3765926930973,72.29151199360997,611.4520616000576,112.37678845170726,28858.119328226647,19133.74054623624,216.75863940776281,1369.6990446135255,9911.178733152497,2115.8851128272063,2.3836654128364828e-06,7.579713324028387e-05,0.09837553895921453,0.010902507600501078,0.026194941243482667,0.6448070133605875
13,-805.4812134707478,821338.6748065487,669658.8662201302,120876.06901746664,66689.4450496574,53602.01304669876,51066.01861274924,29846.351644143666,16489.617159706206,5493.181624667239,3750.834208318312,2376.5605882563227,629.4850323760676,1258.5887682948417,345.40186426178394,28762.166754011952,40394.98757459444,192.02325096237212,1626.1117642940708,7279.450317471344,940.9438961329593,2.3657533011072583e-06,4.071700252860663e-05,0.1090067649163115,0.012595398765690652,0.023792118130035043,0.5732934351515269
14,-730.5053293103149,819857.5818484675,697106.8510892962,119032.66396577713,57200.110574714876,58025.472791003864,56544.240445943055,36297.03024873822,16388.61746130894,5082.021962400848,3477.739490293226,2545.71909805264,82.58784433907795,575.1643172724954,173.58235536574963,28762.69267761622,24013.104303960423,140.05045602743422,1483.5964699233464,10374.113307861733,2381.438285561772,3.2624724773460906e-06,4.4230802586105196e-05,0.08992414040288257,0.00934269993494477,0.02189737251770536,0.7630113666161451
15,-843.5529951872361,788471.9372959686,685111.1707539293,117111.47385026998,63899.6191043938,59578.37528986651,56561.67807900088,27934.274149777004,16864.053113550817,3889.441047200756,3571.355548843994,2371.461349671072,304.2651622092592,942.8486288791547,110.4161171187928,28886.688029530298,25079.60349866868,243.65330750429192,1514.9069134530314,4589.254397232238,99999.99966571649,1.629987955607848e-06,6.648971305136832e-05,0.11279835728144434,0.012940081765172341,0.010150770110573377,0.566428831929021
16,-916.0736124273775,809147.9763861052,701163.4662341044,117753.86333306866,61533.667124101456,55434.225156304674,52108.130672836734,36704.5456831974,16892.20782243736,4443.426138963716,3426.210841670922,2532.149840507365,304.81932973650777,828.6272611725947,105.73129905893715,27937.642951917336,26170.29966406872,261.7613444263084,1735.5402418637636,14266.359667331659,2142.1581582667714,2.8908445348160628e-06,2.7658221050520196e-05,0.0883128735829711,0.012270659089770184,0.017176244903040552,0.7168287909264447
17,-715.2240606300147,824576.6607522412,717671.4411670848,118285.19581826276,61625.24319676635,52421.224581354945,48568.36434297475,31785.37010014717,16358.573636972244,4509.879124148605,3203.9475755048766,2588.786826775902,277.63445233117386,783.8171205903737,153.47801013153,28994.91606112582,26348.21283947839,277.21768938873686,1482.843002824511,9456.179864260597,2487.233648845843,2.96477711741761e-06,4.4648535619811575e-05,0.07946040563425152,0.013460345771617852,0.02030045930510136,0.5600149563463227
18,-627.1817557798314,786223.1175175422,680002.4534375386,117969.76648950104,63202.593490805135,55556.77017930525,52753.960478020934,34926.965948356825,16831.200997482774,4227.230601206478,3439.637841683065,2436.160079777525,351.89239858739813,969.871473356585,178.52338527564467,27922.347559056947,36646.73953554396,237.82041648853644,1483.8563728638715,13482.711611122668,895.8237062326591,2.4850252646039973e-06,5.008888759435991e-05,0.1046475344729779,0.012605308340018882,0.017891876376547686,0.7520030270690101
19,-845.6921483360204,787824.0875548791,695023.6105135703,117381.72813424942,58605.641345091455,54452.152815590016,52078.430479271155,28929.120186634682,16948.60879603237,5143.132407807573,3191.42421893211,2352.9925355041323,138.92804100125073,827.8610910692717,114.3946325218502,29125.934794171582,33022.72048671029,177.42697416096533,1446.2131303193828,6474.384830442181,2794.529815441683,5.052587796468036e-06,5.846529540748576e-05,0.08588687713781949,0.015581585380683135,0.018541439888203552,0.5281476859037452
