ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex
-606.8059706505032,-2.453468298399422,1208.7050047042076,0.0,0.0032489730053166,3.927049931675069,0.0475152278416737,0.0731950021332744,88.47116539782392,0.0,14749.386329123568,5177.7437316794085,21069.279303514497,15324.058642015918,5254.167647344575,14950.88457707199,30724.96652848312
-475.9074071828493,-0.8368256406171936,950.1411630844642,0.0,0.0036911133938772,3.507078773135142,0.0611071126670292,0.070169771120909,66.67118794619117,3.3306690738754696e-16,14833.359052126396,5147.256811936743,20314.11058487174,15292.735991604144,5259.1433928148535,15284.095734716811,30331.629924848792
-338.6877559247936,-1.2858872249325533,674.8037373997221,0.0,0.0105560302203763,7.123248644814391,0.0076090705483145,0.0726836395315927,49.04719160373298,2.49877896152384e-12,14936.75692131936,4919.713868533945,24114.885466158583,15322.458851124757,5112.340027793495,13696.463638994115,30778.874119065444
-424.4153213287163,-1.2611761878633705,846.3082902817058,0.0,0.0044475771823159,3.764021441061764,0.0523664911579272,0.0710015108722824,60.089167273739314,9.103828801926284e-15,14835.803056178,4593.322195098526,19843.735644782275,15590.682840953004,4772.564814334534,14572.6233198605,29198.955693335105
-347.96896286338426,-0.7836834901138048,694.370558746541,0.0,0.0071359217670007,4.954973984523893,0.0260157163288423,0.0698639578614865,48.51147545652517,3.283595617631363e-12,14409.86679036639,5072.219298190338,22380.784353742933,15241.08702429148,5201.6761678884895,14990.935255277598,30797.73802566083
-576.682942186194,-1.0550584240127847,1151.2557675243625,0.0,0.0029129410794742,3.353540218203425,0.0670606439129589,0.0697634551981796,80.31558015933179,0.0,15005.922194485936,4297.037571918845,17216.24243540136,15275.326406151871,4856.206060465012,14496.084792299627,30796.92178403796
-296.5929896161578,-1.0764365253186168,591.0331061816784,0.0,0.0068969385679789,4.076319024976805,0.0434882999442787,0.0706368879333705,41.74873928626711,1.0378919945708276e-10,15246.351605303524,4844.048862116157,21095.62328911203,15140.6598426566,5374.385340970099,16291.999867521765,29708.045938147392
-704.8541878332235,-1.8537775516902388,1406.0008205630666,0.0,0.0030121165589759,4.235038353551853,0.0395977289138816,0.0720461420423946,101.29693483001007,0.0,14225.30661317752,5692.092860678645,26392.274696291523,15362.05452595478,5099.110070318754,14288.120915382222,31589.410708641804
-627.5096341113755,-1.509510371402334,1252.0002474799462,0.0,0.0026110294978728,3.269009577514306,0.0706002350123008,0.0731772160885179,91.61789265271804,0.0,14960.330087533055,5033.501382427801,21763.176926832624,15100.113153214636,5174.723666589272,15592.97839679416,29635.789951442
-406.6747550017486,-0.9447368939226456,811.4600362156519,0.0,0.0045066109074457,3.656934650165787,0.0558362725383868,0.0704344072995233,57.15470669809919,4.030109579389318e-14,14266.415924641851,4399.465505456799,17974.09155337383,14994.278319888726,5084.298115733537,15550.292165086214,31179.488864676958
-421.8985948500914,-1.6670226668358925,840.463144366511,0.0,0.0041322582608536,3.4730107712515466,0.0623776785478149,0.0716458831481636,60.21572423162123,8.548717289613705e-15,14718.619228338332,4967.798577441465,22242.56629291683,15389.858966221918,4653.584028978512,15207.802193594998,27668.447305608526
-539.4911270271728,-1.805868068375476,1075.3705179175945,0.0,0.0039755018926671,4.275137529299863,0.0386738340913364,0.073369847337918,78.89977073131175,0.0,14553.114611891564,4471.240243689143,19503.368650833763,15319.937866693228,4693.480688396543,13734.594170964843,29173.550173075848
-436.9726298199011,-0.8962355768920183,872.1527884860182,0.0,0.0048132536948106,4.197892631619698,0.0404742472424005,0.0716329195498341,62.47485053278246,2.664535259100376e-15,15013.670369384918,4893.495535012834,20400.21354628697,15168.37452957872,5193.1903818287,15218.265537383317,30162.6752430428
-329.6445580922812,-1.7725845280874113,655.7439471283876,0.0,0.0057018135366132,3.738929714288863,0.0531584852765208,0.0710257830000705,46.574727292350566,8.819056596109931e-12,15573.8604365,4621.682379488994,18835.305117136664,15938.68064489892,4748.351380955376,14885.309110297152,26877.895045841844
-437.0381319077105,-1.1413300752926172,871.7936036648358,0.0,0.0044830060222188,3.9082559753613695,0.0480494359730832,0.0725718896972509,63.26770924393337,1.7763568394002505e-15,14966.221390550403,4890.119497666927,19396.620982642493,15070.829960313986,5060.811016388828,15093.385164726524,28547.726937344803
-762.059188023789,-1.8481587434069984,1520.422058560764,0.0,0.0022791415344903,3.465257063621136,0.0626707655725616,0.0719882353658657,109.45250100712644,0.0,14963.76645508662,4420.144567962086,18538.503148736585,15332.5560438929,4790.962675311378,14286.416216451453,30312.99264176449
-454.25721972533614,-1.914639340158806,904.6851607703546,0.0,0.0029587408336531,2.6767289267713474,0.1018246897479187,0.0691560369966732,62.564440448575965,2.55351295663786e-15,15593.816905361888,4393.948631758505,14649.490194377042,15825.622370359291,5005.571311451115,14312.45099243652,25676.424482627703
-397.2909883643065,-1.3072558889021837,791.9674649508086,0.0,0.0073434436219731,5.815768429303232,0.0158831122800574,0.0720605010466509,57.06957233700124,4.207745263329343e-14,15029.668025320849,4020.003936033951,18733.63452503772,14979.325486029062,4760.2833949042815,13486.329558996378,30995.56477750714
-549.8779039188928,-3.3823487234676524,1092.9911103908505,0.0,0.0028838250474415,3.151995140776117,0.0758341883628959,0.0726631538752926,79.42018123865732,0.0,14925.202996564534,4593.059836566302,18197.17111119469,15048.45264703488,5124.007815948939,15576.870753312944,28753.861897443043
-591.7003567387023,-1.9599440345944352,1179.480825408216,0.0,0.0037148585369476,4.381604413433727,0.0363287860609589,0.0739354020324329,87.20538901610232,0.0,14981.512248731548,4542.686166140801,19782.62018920812,15463.580464307646,4867.623071216212,14554.548652624024,28670.414769660703
