ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,m_AltDen,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-32.77864115964566,753232.2142201585,727393.3249538504,288165.2293260968,0.088114246033034,16513.72200648006,27185.735262545437,806.1904572746098,3540.537820359182,2320.171223247828,5.543341191161577e-06,68,813078.2703916538,727393.323005055,0.1600958774474069,99999.99999999897
-32.46807213791902,768008.5113031993,740148.3188632386,349075.7644745909,0.133704731397031,16419.04285901691,27195.02542485055,1062.0808136581552,3426.5303311493394,2257.309775487464,7.729971489373087e-06,69,820960.3164148284,664217.171989344,0.009067689774344,99999.99999999984
-33.24350668420815,751424.3599713227,747084.0072768425,351689.5122684212,0.1371500023848323,16681.08419024482,26703.927103594662,164.49891936399376,3471.6756299332037,2273.994823220168,7.496538910488291e-06,70,1264957.7803848328,742776.0336504488,0.0004913955165585,99999.99990261107
-46.288353791055016,687809.457662626,673542.1014654456,225775.2260497564,0.0455635283040895,17333.08561479885,25841.80569469021,565.0103602784083,3337.9094104460905,2282.587197051726,6.426940672706744e-06,71,974029.7980396042,673542.1014654443,0.074479822607313,99999.99999996804
-34.96934161436879,757633.6414130301,699181.028843374,263427.1100677863,0.0731214022563376,16400.914077576344,27451.18356529893,2107.184704140346,3695.0812777468745,2457.571370571895,3.027893864286979e-06,72,989076.974667036,697521.3378363841,0.051969291556708,99999.99999999984
-33.10419683418448,764138.7883622663,722812.185010851,251703.85304649855,0.0876171769743709,16409.400992856703,27250.054711478093,1463.6926968653795,3545.254370786856,2380.0130160699946,4.067229629728127e-07,73,2614486.4727354697,90000.0025601892,0.0019222299751026,5350.487208562269
-34.53911877033945,750374.2665121761,716171.6719576092,356291.99194233475,0.1263658253385046,16647.998271047065,26837.23674390997,1029.0905734162643,3533.3072442163902,2490.1424026925283,5.405664987674556e-06,74,772793.2867728012,716170.486641352,0.1570533390416703,99963.51707967592
-33.02525554092306,771152.6729420322,724270.563752673,252449.54750496685,0.0875076396582469,16304.243507832169,27433.36296749855,1677.128045098637,3489.0032532778755,2344.858384460949,1.0271440182283612e-06,75,1977774.0594803512,90977.89939325288,0.0028453231012363,5309.475012770223
-31.986492814570425,781114.9926412564,757126.9488152419,329940.21204319067,0.1263085558722147,16219.312450986305,27536.472334592123,904.4729386211632,3429.576393144353,2200.145118551587,7.55588099316904e-06,76,781187.400702583,468894.8600423335,0.0109405995019461,99999.94651832164
-32.02694019990636,782801.7862769617,756250.2666175548,367111.7255990685,0.1403268706903516,16200.968996512094,27571.57612292033,1000.7202777110956,3462.6257388484514,2326.4067109033945,7.761170718949967e-06,77,2230827.4658491407,146525.4330414012,1.0000000000038427e-06,98266.66251575446
-32.14116675458709,784675.5525443916,770872.0306768971,314539.87396717165,0.0944058741863432,16010.986571612671,28052.852205943644,511.9810457708713,3685.1001360533737,2461.6779316748366,5.485366752616377e-06,78,3999999.999996403,684756.757808768,0.001899021715588,38356.35760047649
-31.810226299138744,804715.4808683058,717909.1497346362,318479.54759742634,0.1139737801098745,15832.02661121135,28255.69925909276,3335.012597750393,3324.617376939319,2285.579847813295,6.051788764894881e-06,79,2553494.190214164,90000.00000082556,0.0008380024918507,99999.99999932128
-37.388124978711545,829178.8882505947,795310.4357498671,346922.7094970334,0.1281085694537406,15463.90024518702,28885.397358193328,1404.1711235548446,3066.407808391566,1938.6990491332283,1.2618230862544078e-05,80,1787371.179538247,795216.8344809342,0.0011865094507321,14818.622021160156
-34.94277636604728,790278.746487009,753843.8985964116,395171.1379440437,0.1535528089791758,16085.843879006512,27798.08594731601,1459.5152138651313,3163.64216709892,2175.194367229746,1.1021644660796706e-05,81,790278.7464883062,346233.6315534569,8.217501669497607e-05,99999.99996430396
-35.164105592984285,832347.3776798471,697928.5942710988,312254.89996466506,0.1042684414165314,15354.225790174516,29171.3356612184,5584.174121401004,3227.6138191793293,2106.940020610367,8.83387461246556e-06,82,3999999.39420704,697928.5942710902,0.0011798158332778,12719.202216840302
