model,rep,ll
model_2,42,-576.5891055429403
model_2,43,-464.2082419749676
model_2,44,-428.84018206957376
model_2,45,-390.1623865006096
model_2,46,-355.4860016647337
model_2,47,-512.297807595937
model_2,48,-545.844551179563
model_2,49,-360.801702834799
model_2,50,-365.26530824173983
model_2,51,-500.62325168444204
model_2,52,-476.6183325975968
model_2,53,-447.4371794190822
model_2,54,-402.8705970892031
model_2,55,-424.1483741117679
model_2,56,-410.00865214241696
model_2,57,-551.1329614221486
model_2,58,-495.0109952215012
model_2,59,-628.0091780566813
model_2,60,-494.8396577773191
model_2,61,-342.02342476285037
model_2,62,-492.074798418287
model_2,63,-506.9117143209286
model_2,64,-455.2666024301958
model_2,65,-539.8036681715122
model_2,66,-460.54211866408207
model_2,67,-433.86109677700165
model_2,68,-512.0301120387066
model_2,69,-380.60033907489344
model_2,70,-489.76125577599055
model_2,71,-564.9962808669279
model_2,72,-363.4554041175156
model_2,73,-416.794325197668
model_2,74,-446.9969890857351
model_2,75,-538.2682453505986
model_2,76,-540.8284993593961
model_2,77,-372.3308529485031
model_2,78,-423.3923357735637
model_2,79,-455.54970213128945
model_2,80,-446.2221143346578
model_2,81,-436.89265534433446
model_2,82,-623.8968404409309
model_2,83,-404.6575094658814
model_2,84,-432.52414958112826
model_2,85,-507.77515361304916
model_2,86,-398.1738798466348
model_2,87,-436.7756992993584
model_2,88,-468.8131471244231
model_2,89,-412.07655004071603
model_2,90,-523.9968620906805
model_2,91,-492.6001516258899
model_2,92,-403.56641631723505
model_2,93,-594.4913036935885
model_2,94,-454.8615489290688
model_2,95,-528.114692599992
model_2,96,-411.60072005131707
model_2,97,-533.539866948777
model_2,98,-421.32945274870843
model_2,99,-384.07926323006575
model_3,0,-413.2904095374985
model_3,1,-437.443172664656
model_3,2,-427.99347956661836
model_3,3,-381.2644704082735
model_3,4,-513.5867459824077
model_3,5,-501.43146684573765
model_3,6,-570.1149810197012
model_3,7,-571.2841428593674
model_3,8,-405.18532111898776
