model,rep,ll
model_7,21,-306.97127494990156
model_7,22,-428.5653750572559
model_7,23,-380.443743564702
model_7,24,-379.4793215653204
model_7,25,-336.3921320545507
model_7,26,-529.2630312826667
model_7,27,-363.06331520208323
model_7,28,-362.70044181508894
model_7,29,-391.1607110410889
model_7,30,-302.4459029905644
model_7,31,-412.68229059164577
model_7,32,-542.4779726395968
model_7,33,-612.1896853731573
model_7,34,-353.0346174286948
model_7,35,-337.1732049528107
model_7,36,-418.34280368957957
model_7,37,-318.4403816645137
model_7,38,-429.0809869225541
model_7,39,-516.1238858939197
model_7,40,-376.26856075846456
model_7,41,-352.9530037207788
model_7,42,-467.1197565927854
model_7,43,-336.188579457627
model_7,44,-315.1120608367811
model_7,45,-317.10205073981996
model_7,46,-292.6035649811553
model_7,47,-400.5264569861389
model_7,48,-427.2130024735006
model_7,49,-273.7786188144195
model_7,50,-284.8811561953743
model_7,51,-336.9309365917994
model_7,52,-366.7466318384562
model_7,53,-351.79197205030493
model_7,54,-303.1925520797738
model_7,55,-354.02194755762196
model_7,56,-294.73785230607245
model_7,57,-331.06674160606985
model_7,58,-365.213629709649
model_7,59,-430.8089635767939
model_7,60,-348.1904616201591
model_7,61,-229.6902269971378
model_7,62,-385.2611930564369
model_7,63,-403.7492407065174
model_7,64,-312.4428695437117
model_7,65,-420.153393220471
model_7,66,-377.3380939100993
model_7,67,-310.0264170360505
model_7,68,-334.4519475595084
model_7,69,-335.9068591265135
model_7,70,-363.2755802300195
model_7,71,-435.36886583622004
model_7,72,-234.65384868446762
model_7,73,-318.95360659291345
model_7,74,-349.52931669332986
model_7,75,-374.7693411190313
model_7,76,-385.8095438061644
model_7,77,-235.15455639032962
model_7,78,-342.15966986344336
model_7,79,-370.88336648132645
model_7,80,-370.69954427745375
model_7,81,-344.27070340378043
model_7,82,-501.5926857926113
model_7,83,-324.3543407308098
model_7,84,-284.61450391348865
model_7,85,-416.7743364228978
model_7,86,-289.5751958799184
model_7,87,-291.03602276177605
model_7,88,-409.4403806794687
model_7,89,-324.82027153710624
model_7,90,-391.66210581609994
model_7,91,-402.2264952967948
model_7,92,-295.7079930011513
model_7,93,-363.57554318321183
model_7,94,-334.846167621519
model_7,95,-396.12240434653467
model_7,96,-323.7147328311818
model_7,97,-413.29524043908145
model_7,98,-334.74979649610924
model_7,99,-241.69069192029662
