T_NDH,T_ND,T_H_N,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_ND,p_S_D,p_H_N,p_H_WN,m_ND
880983.6171340594,864194.9039803895,497348.6420322435,122594.19607972511,59530.08051515572,14647.263913271585,31041.983953880415,1088.7319419891587,3071.2255339807716,3094.727129565652,313.3957372618881,162.5567293394894,758.8451936713263,1.000000002377393e-06,0.012876855024835694,0.14149058440163595,0.012994769081831756,6.210872000047531e-06
728385.6608081083,718697.8128114014,227004.93186746392,119098.79847731485,59199.59178241146,16615.086264390236,27671.69639049643,600.5616973593692,3247.408315149051,2892.201361922064,173.36629962814763,183.46272888292154,767.4590539384004,1.000000016144228e-06,0.013841930856584337,0.04365603484305598,0.011079575236525209,5.033486301713397e-06
826684.5453191283,800693.5374301497,382215.88414201804,118837.35934924321,57803.98247292021,15289.2743070407,29388.515536203835,1652.5485782225737,3082.9695583659186,2758.984718745781,218.7481872396586,106.9630443414428,590.5772131587007,1.00000002784697e-06,1.0000001458606697e-06,0.1330222491408051,0.015883383603506336,6.161916157105205e-06
850762.1101494131,837114.7833208174,266995.00775037304,121388.04719559255,59549.560445319716,14985.4389693892,30450.332575461456,704.6484913391641,3351.7007156346385,2844.670836747319,344.870189373383,189.6993557805314,809.0746121576449,1.0000003127193843e-06,0.015118926515080159,0.07126918045801282,0.008183731936582067,4.792799763570154e-06
805265.422269375,778775.5289488705,269445.05144308216,118715.56578175188,59271.83261538842,15485.516321481588,28548.26606488705,1480.774226427217,3381.693767809938,2843.374774683599,197.61128791147794,182.39154643112593,816.6709792941937,0.006673181802219436,0.007165136221329685,0.07196705878749728,0.011884782651703129,5.041739841579069e-06
807513.7573219175,688845.1536801194,256482.76575527817,117850.90190428623,60785.36333744637,15630.758046997367,29428.560759814674,6872.153841121963,3263.053712217555,2674.5586224901917,118.97456503593554,230.59593320553978,921.7480098620957,0.0031711342930445907,0.001794207483973583,0.06357541251928747,0.01221232865369387,5.117032204863384e-06
679945.2735276455,668489.9724876606,254754.241261278,125164.04230572065,61565.455967897855,16376.110561626401,26797.050612691048,447.68499922812117,3547.899209923849,2995.2537776134054,400.91671818400533,284.83971036907207,781.3156728644444,0.035449502301493845,0.004550271839441526,0.05361234056125571,0.011652776706511618,1.2150550641274142e-06
801904.0427856523,690002.9227866948,405474.14762869093,116435.5542861654,59341.2361092623,15372.779776591458,29865.807257880006,6806.591865409097,2801.404474615186,2678.621909231278,75.89018456335997,150.77854353023542,713.4296814013264,0.007356989940479811,0.007111777579356617,0.13231204759474094,0.015186034118549241,6.979162634328429e-06
804761.846489083,772784.1744821332,231510.8976133734,117688.66594865308,58610.58598584437,15454.508792992283,28931.82712150476,1684.5918533412964,3318.4183314756106,2767.75826506183,127.85164817238405,145.2370588728518,819.3131815709285,0.000271868033754629,0.013818362705942798,0.058560525180270155,0.013342419245581905,4.2976955005818385e-06
739571.7972205717,737636.7787170564,334691.3093371993,117986.3759005829,60509.58668554275,16378.225262725071,27496.427090188397,115.79169598624739,3091.548733323317,2866.8263083462302,130.57063187352367,202.44430355375496,815.3626285076939,0.006166924192963712,0.0028347691537289276,0.09129623101707116,0.010950794521832806,5.5096290279925304e-06
778097.6189413632,727726.9490010417,279680.7906341396,118309.98608413334,61552.35869303399,15402.954807709164,27803.735204621484,2674.1635079631405,3134.6486199348024,2552.6251028880806,180.9216439358245,270.7710701874422,887.6484013374303,2.184916765657094e-05,0.010464889506286185,0.08082929662528274,0.018599609745768134,4.90290221767589e-06
