ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_simple,N_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex,T_X_Y_complex,p_X_Y_complex
-1.3592600949531746,-0.6907289934082761,1.337062203089797,0.3800067489166605,0.0733987485928438,0.0981386924975819,0.8530949575806973,0.1357324284169695,0.1814826997699214,0.7916780048335779,15425.561715790232,20374.539481452004,31442.59963774769,5015.416353995724,15434.06879047874,20385.785359488345,31398.54380345636,4930.692184633649,1229.3710344445913,0.0027532888121154
-1.9297291664032064,-1.6062547321640908,0.6469488684782312,0.5724180566717649,0.2563292174079779,0.1658318971600018,0.8021357612740612,0.0802818124560699,0.051938227727836,0.8970447385665956,15071.153644789762,20633.31862080275,29726.64123015719,5071.8502202040745,14917.940743571977,21064.78054509521,30013.94471580176,4981.257662785451,9998.23463130226,0.0212872801738464
-0.9091651994595495,-0.9075369667996236,0.0032564653198521,0.976433076246934,0.2708754109094557,0.0008820963816273,0.9879326376484652,0.1313381791710254,0.0004276982256429,0.99164320304509,15193.76953464061,20052.218568023367,30683.890367424458,4973.088605818508,15178.44305356433,20053.31205233708,30719.992884534237,4974.54391270508,9999.999999993275,0.0010021254114611
-2.005393990039765,-1.980912364858873,0.0489632503617851,0.9003464173594188,0.2777974010941632,0.0136018636996267,0.9501888803244584,0.0862581141766222,0.0042234776401654,0.9730369071547128,15010.897919538978,20726.603074961327,30588.870061191014,5127.385821619564,14930.00171792192,20904.070522416558,30755.95822669905,5106.705870384952,9999.99999999825,0.0074128961427535
-1.2054984019958233,-1.197763618191574,0.0154695676084983,0.946656030192356,0.2835382234814161,0.0043862137177392,0.9725026030380098,0.1422179835306237,0.0022000507113712,0.9807448815307958,15459.362768956467,20378.01789631243,30555.15056830968,5245.579457491082,15438.156319417105,20392.16226282638,30603.521568132383,5246.934023707551,9869.652874609415,0.0013065813885705
-1.722253575175368,-1.3571360852183816,0.7302349799139729,0.5434610637488395,0.2610469374664564,0.1906256051374219,0.785742482944096,0.0881133536025111,0.0643434529980825,0.8840492147759347,14929.050641203872,20048.91870590716,29178.26049560589,4998.86570041504,14802.603769463663,20399.5682079286,29418.292657159163,4928.608871769113,9999.999999981055,0.0184483084521511
-1.814977416035426,-1.6784464370835903,0.2730619579036708,0.7368322180604171,0.2465496581074549,0.0673233323633022,0.8810866073500202,0.0994016347551522,0.0271428050050674,0.9278302274132691,15135.545653339925,20167.216605582624,29751.64307974679,5065.019814745527,15045.561677478112,20385.500795258387,29938.767773779015,5033.216955537903,9999.999999967376,0.0102574926622999
-1.4341181432739445,-0.8122077620623014,1.2438207624232862,0.4008268539856024,0.0811166873624644,0.1008946199204319,0.8507813551732194,0.1449757531071922,0.1803238517626779,0.7924391416085214,15095.930370656992,20538.510080018907,30311.96844906431,5044.6126951649685,15106.45164655533,20548.117244698697,30267.048691862183,4968.050986566461,1320.4308656422393,0.0025080714185778
-1.4897202311627566,-0.9867911572453116,1.00585814783489,0.4603269166628557,0.1059665216931907,0.1065872892428185,0.8460824939922205,0.144469913338837,0.1453162394488696,0.8164854106267393,15446.149291178152,21067.22639943636,31515.44205791957,5184.363708652853,15504.73348453495,20961.1665108942,31329.738330962795,5098.5138658412025,489.2056863791252,0.0016898800273503
-1.3214331653366305,-1.3088150507109506,0.0252362292513597,0.9306205031010956,0.2397333633650139,0.006049966117079,0.9674907139712936,0.0960845342015623,0.0024248113326207,0.9797572360806766,14619.369950365592,20053.00665443299,29668.120621667265,4950.674553376005,14605.096236133028,20054.524429809306,29704.524545798693,4952.482110468293,9999.999999985994,0.0010000000000104
