T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_H_N,p_H_N,p_H_WN
754599.6962687287,725689.5064624533,133418.47181696413,62336.61386988617,16609.53177458033,27895.2293559337,1078.1180019652263,3531.2307819994535,3193.325275924822,1215.2460395373553,318.38580146938824,826.5360198993139,2.3283927543481413e-06,473209.1804127882,0.16402235273464558,0.012242290796877225
781014.780793402,739550.3165626784,117880.51390709176,60643.23898683165,16742.4895939828,28272.554812675804,2420.0459771653714,3180.0798241507073,2678.670481368097,108.14319605689424,235.072539034978,948.689581891984,5.5912244834655385e-06,307185.39063582313,0.1188793827755202,0.009628187547685274
769334.2545726605,744259.1243717733,118042.37419056648,59137.17323080502,16150.401540262654,27543.91069725147,1298.126983639073,3071.682310265035,2841.5251280451275,153.02079175309612,156.4484802289888,680.7279398791584,4.629487787711499e-06,374156.83573801944,0.1280499433390172,0.016444565491590686
771331.2390298856,733146.288556361,119302.5561293465,58605.8318329345,16066.78853171942,27247.68272843567,1689.7794356573438,3530.8317307939965,2893.3688352232944,310.07021743989657,145.9300276109095,808.7135019480969,3.667793030700532e-06,396450.4912589683,0.16095540734094807,0.013043087328558257
768487.3774792458,742764.5273210583,121536.69773607186,60962.12180776481,16285.087909406004,27626.6817840451,1175.6822010809499,3546.020427249861,2795.7055295957025,414.0230700264626,259.4050345320929,795.8635397307476,4.0194888390199765e-06,344572.58168067137,0.12703408747988873,0.011826124941488408
772462.5066538608,733967.1766367556,125167.15115184135,57865.65843036419,16205.672225963433,27201.30024721349,1735.8027452498895,3416.1806762445153,2857.5266123569495,602.4975939672248,100.240668394345,623.2011662271669,3.728098945114192e-06,328957.63659678696,0.1079174829050103,0.012466808034068074
764394.6288753976,741986.4503748439,121539.67792657037,61307.56734349851,16305.094576650008,27379.49996560958,1057.5163273850778,3430.339413655084,2810.044541775749,325.95029389244735,273.94351676640963,920.7147689908575,3.954174891592478e-06,321664.9252368241,0.11679565476032659,0.01049009167800305
777939.6784089548,733986.9713525026,123922.78493614239,60880.73302187942,16130.225678390874,26620.11813732151,1783.6907390196552,3742.359707170308,2897.6122170883373,511.02268335997576,256.4089725157203,798.9608358659237,3.171664416829131e-06,342288.9265978583,0.11545540842874327,0.01303168399297848
788951.960644058,722031.1149564055,129849.60287975882,61078.33323094356,16062.20143713263,28143.465103105522,2909.7298389771668,3501.0335005874663,2751.9879786106503,1317.1577896544852,236.487303051929,928.7750685707935,3.3349109641946363e-06,358150.8971054017,0.12143904678115128,0.02036537748477315
751952.9723457071,730314.9247264345,122209.44305293862,59809.09009912753,16399.408593154778,26904.52743589718,1065.2766254484256,3206.9937609430226,2849.837437785442,428.03526108233166,187.92299891798257,789.3827112076054,5.443338724661276e-06,461577.4749163118,0.19999999999764986,0.01480184101529755
760740.7566477315,741811.8676828207,125372.30119605215,59045.38892628953,16416.306203677046,25996.746772568436,832.1441729950666,3438.4664897950515,2824.7967630121075,611.1252455000264,172.60786954082866,1035.2987212579062,3.6656856017168775e-06,386443.4261565355,0.1425079809992114,0.017880240535189412
761550.6795502296,734909.9351063697,126107.9238872796,62870.12232867812,16456.946098744764,26278.775805329722,1093.4996441013557,3483.3066765316435,2802.8564453753347,681.6474996955852,445.60328995233664,998.4965933586359,3.1205145294850336e-06,350579.72853235493,0.12645611163168138,0.014805496215686076
762901.4006403763,740576.0923217838,129385.76659457364,60824.36243519271,16083.10612769416,27417.087658189565,919.9793338564184,3535.6268764048655,2932.786711859188,807.8710206329879,283.52957374883067,832.2107660597584,2.7643311051873307e-06,353495.74433335726,0.10800791521449703,0.01321395086162695
752552.2892883173,732957.0765245315,124018.20766643468,58472.302431945594,16574.83506829384,27110.492195829545,776.394818786814,3880.450704159377,3028.8447505703666,598.1805096890038,126.38526373192927,644.6137132684419,1.7284889706615722e-06,341146.0940756736,0.11802180693917619,0.014026777456544891
