data_set,model,rep,ll
Bherer,model_2,20,-410.34376021887635
Bherer,model_2,21,-311.07835224107464
Bherer,model_2,22,-430.1175859365763
Bherer,model_2,23,-371.1951814998665
Bherer,model_2,24,-369.4727564260636
Bherer,model_2,25,-347.53107642464414
Bherer,model_2,26,-522.4229343291315
Bherer,model_2,27,-365.2503723468295
Bherer,model_2,28,-363.91323403389856
Bherer,model_2,29,-391.584614740287
Bherer,model_2,30,-298.46979763370837
Bherer,model_2,31,-409.41167912763524
Bherer,model_2,32,-547.6348075958845
Bherer,model_2,33,-611.9542897075219
Bherer,model_2,34,-353.94860939869204
Bherer,model_2,35,-350.51789634088715
Bherer,model_2,36,-415.09000350619056
Bherer,model_2,37,-321.34421596164515
Bherer,model_2,38,-403.74354283522234
Bherer,model_2,39,-521.2350664539842
Bherer,model_2,40,-386.4781255648264
Bherer,model_2,41,-350.35956485566305
Bherer,model_2,42,-471.1188691329024
Bherer,model_2,43,-333.6688896817403
Bherer,model_2,44,-316.5049251839679
Bherer,model_2,45,-312.78453356949433
Bherer,model_2,46,-288.49475934146636
Bherer,model_2,47,-397.63126699745294
Bherer,model_2,48,-430.64514245773057
Bherer,model_2,49,-282.8399927036492
Bherer,model_2,50,-294.7712718856732
Bherer,model_2,51,-345.6687924633782
Bherer,model_2,52,-370.7708187941245
Bherer,model_2,53,-363.68434056593634
Bherer,model_2,54,-299.85186199771505
Bherer,model_2,55,-350.1104058294187
Bherer,model_2,56,-296.4617270970829
Bherer,model_2,57,-333.86708423187326
Bherer,model_2,58,-370.3625215918829
Bherer,model_2,59,-431.86436576648606
Bherer,model_2,60,-344.6734162802321
Bherer,model_2,61,-238.47963036104602
Bherer,model_2,62,-381.63438775023747
Bherer,model_2,63,-402.23001977270576
Bherer,model_2,64,-311.32078374017095
Bherer,model_2,65,-434.73564210870524
Bherer,model_2,66,-374.54553919934176
Bherer,model_2,67,-308.23989097046865
Bherer,model_2,68,-333.3797536380656
Bherer,model_2,69,-338.68819833489147
Bherer,model_2,70,-360.63264671828597
Bherer,model_2,71,-445.40497929666003
Bherer,model_2,72,-236.3911849550002
Bherer,model_2,73,-322.0717389982278
Bherer,model_2,74,-363.84234443587957
Bherer,model_2,75,-348.28578095791835
Bherer,model_2,76,-393.64916650902586
Bherer,model_2,77,-237.65134750180317
Bherer,model_2,78,-351.8083062135902
Bherer,model_2,79,-370.8456787284275
Bherer,model_2,80,-368.4606631479162
Bherer,model_2,81,-360.33046242016087
Bherer,model_2,82,-499.018839839307
Bherer,model_2,83,-333.7530378595643
Bherer,model_2,84,-285.52877505906076
Bherer,model_2,85,-428.9030550526362
Bherer,model_2,86,-298.92588920628015
Bherer,model_2,87,-300.5936559261186
Bherer,model_2,88,-417.4650736145751
Bherer,model_2,89,-338.14609611433144
Bherer,model_2,90,-403.0549404206846
Bherer,model_2,91,-405.9333825027768
Bherer,model_2,92,-297.15297858278245
Bherer,model_2,93,-369.1466999951085
Bherer,model_2,94,-338.80937491917126
Bherer,model_2,95,-400.1141415319675
Bherer,model_2,96,-324.55303477897974
Bherer,model_2,97,-404.54032296862437
Bherer,model_2,98,-329.81887706808806
Bherer,model_2,99,-245.1944309984693
ZhouJHS,model_0,0,-721.4356333364141
ZhouJHS,model_0,1,-906.4627725745004
ZhouJHS,model_0,2,-669.8509126955732
