data_set,model,rep,ll
ZhouJHS,model_2,52,-302.32821079724255
ZhouJHS,model_2,53,-433.3575320263224
ZhouJHS,model_2,54,-397.69923987587504
ZhouJHS,model_2,55,-474.3710779569961
ZhouJHS,model_2,56,-279.3380086419362
ZhouJHS,model_2,57,-390.1260123129933
ZhouJHS,model_2,58,-371.8188852061667
ZhouJHS,model_2,59,-367.61666809614826
ZhouJHS,model_2,60,-366.6299081978573
ZhouJHS,model_2,61,-258.6771637173176
ZhouJHS,model_2,62,-364.2052532630305
ZhouJHS,model_2,63,-441.06795841120265
ZhouJHS,model_2,64,-379.9625259989008
ZhouJHS,model_2,65,-253.1081769739145
ZhouJHS,model_2,66,-465.7340715684825
ZhouJHS,model_2,67,-424.4433704744373
ZhouJHS,model_2,68,-445.0811999157435
ZhouJHS,model_2,69,-455.9841686353731
ZhouJHS,model_2,70,-449.4778295217958
ZhouJHS,model_2,71,-251.60079599493167
ZhouJHS,model_2,72,-416.79615280360224
ZhouJHS,model_2,73,-427.57020248967643
ZhouJHS,model_2,74,-313.31148420711895
ZhouJHS,model_2,75,-517.0613984598912
ZhouJHS,model_2,76,-410.583488122341
ZhouJHS,model_2,77,-295.7179503194237
ZhouJHS,model_2,78,-404.01615170076207
ZhouJHS,model_2,79,-390.94926867722177
ZhouJHS,model_2,80,-347.907611759007
ZhouJHS,model_2,81,-360.5108285823354
ZhouJHS,model_2,82,-345.24640669776187
ZhouJHS,model_2,83,-390.16104519070586
ZhouJHS,model_2,84,-370.00849305772334
ZhouJHS,model_2,85,-262.83860157270004
ZhouJHS,model_2,86,-418.89620541023515
ZhouJHS,model_2,87,-431.5560497438922
ZhouJHS,model_2,88,-514.53424681356
ZhouJHS,model_2,89,-420.14107085567815
ZhouJHS,model_2,90,-296.42747866604617
ZhouJHS,model_2,91,-477.14020094695127
ZhouJHS,model_2,92,-419.4324751288299
ZhouJHS,model_2,93,-448.1360975808438
ZhouJHS,model_2,94,-386.3540852802611
ZhouJHS,model_2,95,-500.5574252360149
ZhouJHS,model_2,96,-536.5145446859034
ZhouJHS,model_2,97,-417.2287834572223
ZhouJHS,model_2,98,-436.47159497857365
ZhouJHS,model_2,99,-466.22878711766595
