ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-34.89176295427716,787219.1413168651,747510.5505666882,243350.11694081256,0.0762396530113798,16000.121666069976,28116.80928162495,1362.083283652241,3588.580659280853,2502.791189019878,53,1541808.15959533,205900.97597935985,0.0100439166947679,99999.99999936976
-33.997819550451624,771908.3035223456,720322.9283409729,238972.92164099755,0.0836748276256094,16275.951844625492,27531.4953368158,1817.982648858462,3534.21341432038,2327.1475068458394,54,3999999.8258110336,101789.91021895684,0.0012643481194322,19965.22600600695
-33.24078364577272,774932.305995117,735307.1388398475,244510.79254341064,0.0841881866604919,16238.07892005354,27571.24907983124,1379.288488941079,3559.166472565517,2388.5544398098577,55,1977609.2024716255,97850.88731485164,0.0034005438099831,6196.708080444222
-33.03593237942788,779245.5656620763,729951.5589872766,247207.12279141592,0.08509526956077,16173.039248759656,27688.90413847812,1723.0949149268645,3604.470398584067,2400.3099265503106,56,2875232.5248844204,94565.37486043504,0.0017634555033906,6569.710976126564
-33.75018892680478,746268.0962148217,718286.0101799982,250653.26863785408,0.0892609026796521,16692.288266039814,26733.07754013369,988.9081088886558,3646.529114578565,2374.117386936654,57,3999999.767425783,91813.62903311122,0.0009003814525782,7509.775533938487
-33.52428305359436,780905.8670093277,706327.3613353313,246201.8255535682,0.0852218473985167,16151.461715508873,27728.95728998221,2654.403530876891,3551.1861965882736,2375.143370142248,58,3038479.064962425,90432.80811364904,0.0015314540087487,7857.077288318782
-32.68979322455091,773921.1809433107,747446.1325406515,251298.0763596978,0.0872889844136567,16260.094383784708,27528.80942442017,911.3235453185628,3704.126328434247,2422.606933409784,59,3999998.317550191,98313.05694882188,0.0009991956780667,6907.666634361081
-33.09884304078217,787541.0097606645,735176.9034185247,248603.7285999409,0.0859682802906032,16051.70552705407,27895.786849681925,1821.2643168372667,3679.753181413975,2406.6986420436624,60,3999996.316666828,93004.5169985424,0.0009300005734285,5423.862725086709
-33.149143897973374,773471.0015059459,715422.0082600145,251121.69644093723,0.087329841512945,16269.420358559224,27512.336416135084,2050.878583114576,3608.322320009538,2401.9228384383405,61,3485312.3893158245,91401.1309295016,0.0011784980378849,7389.413518677815
-36.93332751576551,758330.3874241973,720801.4065430369,241986.3845501613,0.0699494475840903,16394.420635468803,27466.77149680605,1225.7047007722024,3752.538814583596,2575.06533511598,62,922849.4458257466,514471.1973690122,0.0697178724403631,99999.99999939198
