ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-289.89744378282285,740283.6565081533,684718.8765698419,122980.13771200507,86379.69754226306,17432.587247912157,26793.941489860827,2209.0291223147838,3552.814347288418,2680.5423259871386,343.28012534744903,275.8508499217657,1773.2119082550405,2.491178061971915e-05,230647.70371726048,0.0951766197483316
-147.60344736615292,744611.2828834539,696466.9041892957,117738.38583233063,84345.47000147076,16537.630762846315,26625.9901472486,1903.657378106646,3434.775176743514,2869.1183200233963,226.5114070920879,175.68464333407934,1350.3255955858012,3.0849617187845504e-05,235533.4846858937,0.0870223811697174
-163.00695999320664,754608.389508511,705464.3918887817,121215.2610773546,83440.37028836312,16331.412779018992,26493.47292302958,1875.8077272519004,3834.505886794987,2875.5107016943707,448.9790371346422,147.71016056579413,1569.654089595081,1.8329577980937704e-05,279520.7406744192,0.1130727800526744
-169.22390337877832,750333.1992508372,698044.9225694201,130702.4799323161,87676.1793960255,16586.00305576438,26785.73967089981,1938.6986417713651,3857.8413850628535,2938.7531855220814,836.6945106288935,366.7946249192216,1523.4930953804578,1.0617446548111785e-05,290622.96594754653,0.1066059207346183
-151.49636087480386,742049.9872130231,686394.1554746064,131411.24429482553,84636.84219790182,16727.244978712566,26077.37686323515,2110.27110267417,3570.198226926635,2972.826243847388,760.1482316871665,176.01959160956352,1371.6657643867968,1.386268936733908e-05,280955.10500680923,0.0971037925869741
-195.0110404090418,737192.9022340107,684641.7126769931,127154.3597394218,86600.56016990122,16760.801508211294,26293.784129965537,2058.321919686551,3633.841700625972,2815.1557806909022,572.7445166189733,303.2333235778578,1660.7629252899958,1.4640236674685936e-05,249994.8009154868,0.0929051444073882
-228.5902663775385,766403.4058045651,688977.6181032378,137386.76513819635,100811.92883163271,16365.687046852348,26052.9013093186,2857.1421435160464,3748.458230392887,2763.1544662701226,903.9118929507116,1068.76727706998,2193.8762798987937,1.2739258846056629e-05,279590.1429085664,0.0990807147750354
-210.32882990705983,759826.0724299419,706103.745399916,122905.56448552271,87985.76124654034,16313.795065450731,26961.61313785151,2070.342363470053,3588.3310198371723,2866.3923378911177,391.2671418885637,339.3017325085555,1687.065386278837,2.8301701023627577e-05,272103.8742572052,0.1023942500441776
-176.2560835040244,737928.1301344301,691695.2883513098,122112.91867544469,83380.72878442799,16812.668253387998,25229.84983548844,1782.100820315802,3533.051308464197,2944.706672329078,346.9425875693059,151.11537980051486,1931.521522571572,2.816989016548651e-05,288025.91207408946,0.111024992994347
-198.8995144050904,772070.2945902792,713288.3229475474,125027.86557152974,90550.68801475402,16335.19905232712,26338.268511727827,2192.9491285159183,3532.629927658355,2665.4226291987006,463.06103959712345,654.5745662625721,1860.338301006817,2.2477135535712423e-05,242743.4628458584,0.0945777537018526
-147.33814012683115,769101.0967599755,729243.7339158993,132574.49781799896,88693.62338921241,16021.998422729986,27290.19714439174,1494.9103336671544,3619.5008278903074,2928.1203409470127,723.3598956667366,472.0601664115808,1656.5233486473046,1.3051963771963804e-05,262981.33353613224,0.0831562163395587
-145.43969973653995,731602.866536045,680066.1896301152,130481.09387654418,85820.94020792795,16917.135572017007,26218.810026857664,2015.5141148459409,3808.324339604956,3109.6191796446437,818.7412106052451,236.0493371827729,1397.3633632491117,8.749672503923228e-06,319219.58484823967,0.1154705223933824
-185.3954339617962,746515.6384079506,692239.0758701895,128982.00304785004,87079.591908621,16725.69641337091,25807.460205231982,2141.0408193187304,3539.070589037797,2994.327424123016,661.2202652019757,280.7851491243574,1451.2839958053166,1.4613224191654896e-05,256666.637034334,0.0815688914121685
-132.7135076199054,784091.3893685562,704310.1460527026,119884.27077150696,83150.01137231353,15733.88833463914,27498.41859185028,3275.754504838522,3710.902104066199,3073.378122211148,266.3063640077468,131.22181978080556,1510.246883671211,3.3680752394678315e-05,219744.7747686138,0.056791301700781
-176.2914905570479,736391.9209455648,697103.7923854642,124992.46366808344,82053.59155656057,17000.7907084737,26401.030656891267,1554.327219530607,3802.226059018568,2901.280706357684,504.67255968000353,78.9298877908957,1685.5991656403132,1.222124307667024e-05,262838.0325063601,0.1059417598306871
-174.09343638574884,719627.2231141233,668452.3541871203,126808.38814679097,84965.546012717,16997.94892749471,26154.05656581429,2087.334069559419,3710.7807923413657,2841.370859307869,690.897267283314,268.22744970007244,1638.1973283523482,1.0759474620814418e-05,237648.6752185952,0.0827185447120272
-255.13227988765183,796592.3911886902,707483.8160104356,121417.18025097696,89554.28993781381,16230.445670834668,28324.331231572352,3750.6581420890248,3351.809128925217,2969.037213707993,281.5194457169949,381.2201027358955,2096.5893041054774,3.4600075495524065e-05,209382.01423628684,0.0609415365105889
-114.02492760244284,769545.9307743395,679703.2059020735,119628.07728118176,82239.09803307208,16160.009198069456,27678.31279324343,3592.399389635936,3289.0266484663134,2924.170026824129,254.68136794496536,97.92889086048037,1283.3809082786174,3.233389163101559e-05,233502.38549082325,0.0760813347184009
-298.4648117872026,760988.7169975603,722319.2100946682,139952.3738776879,99563.797654037,16596.564892717935,26886.30767333529,1452.1495392896215,3749.730279976781,2732.690139066964,1060.7925851933865,1010.5285399586325,3324.8743896355554,1.0382123763813203e-05,276372.72654145,0.0973295235625561
-146.9490707454276,775408.8430698924,722462.7656152762,126462.16785156468,85023.23963109379,16305.595355975316,27359.75761406261,2057.0314957183964,3697.335452319975,3015.036833430941,606.5257173671746,228.12453822871623,1663.751802734369,1.550217501883416e-05,267089.7158051752,0.0870879704294096
-170.67434672178277,707417.6792933204,663187.5345923788,135830.9207706364,88359.45850832215,17378.851288251914,25909.159908623697,1664.2801147681478,3572.3584691647634,3033.69279184544,791.9294098340337,379.4923093716226,1561.835926872804,9.073078290170348e-06,349733.2263491556,0.1245833791081182
-210.75255609577607,814346.3607852672,758120.0492346021,127322.76667635646,86994.16837515144,15879.688294716409,28134.288136163945,2196.49790677382,3785.833480838054,3031.9098810352184,536.0040593284184,277.40959927878595,1653.3341813455438,1.7457353259721228e-05,243563.77062666448,0.0764419081123105
-179.74390147347054,769890.9599052292,715184.2947817962,126664.65453182068,86374.38542564388,16070.018603560651,26477.972963500102,2078.9963524966456,3551.4302234708875,2842.1498731701017,511.5622874048101,284.31515104063703,1810.4095959849844,1.926136458604372e-05,262974.45832180814,0.0964455855168815
-191.0797537899376,779123.8483241556,743203.6494506527,134140.75159503458,90085.53224425492,16248.561469584032,28097.95562984236,1337.2741638465352,3604.283394206971,2866.9029177921743,786.4988476816116,445.5530343476536,1839.8153536654968,1.0980797903078903e-05,263012.15357406536,0.0898728025715119
-147.8585979587133,770202.1318825404,710742.6365195307,127741.1409947294,86217.59576688841,16368.214660756945,27491.19062951932,2270.586843879591,3580.609692249528,2754.0621856034527,576.3279845509014,325.13122955711714,1523.3323934463692,1.7849116143798512e-05,254993.63343102043,0.0927503608474594
-190.29164810597928,783661.9350951615,712950.330310329,122663.5950247383,87755.58936460245,16077.362673499236,27742.76330913964,2925.2910338852275,3649.4422059799904,2895.361350258405,362.504203207961,429.15235874228233,1821.241466476004,2.6975043678209943e-05,260009.05395609763,0.0965279739709676
-185.8476207264792,762415.8141663759,731091.122889658,138902.00812863573,101587.61160816911,16373.36932751307,26424.047675363017,1201.1566871802777,3809.34061637034,2660.50651568611,918.1642770844056,1113.4770334364785,2215.14285242848,8.535233564618721e-06,258181.44641477615,0.0963740508565418
