ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-602.8372397585003,745234.3057868369,456670.6874615135,126376.0250379539,85224.05884947549,16542.561640403022,27369.00655505042,15389.885168354618,2776.9830999208434,2965.204382034812,509.01696196909074,344.6232444775749,1506.2172108613702,2.3404556370622745e-05
-542.3531153016245,742164.799056057,492089.88049562566,132883.97793566732,83398.04597819607,16281.373887254407,27281.587804803487,12764.267395269077,2770.2402341618645,3225.227260597897,819.019597721475,190.8843201831749,1676.4089774561596,9.936572163166427e-06
-447.324643915449,757778.8643759814,483058.5491561565,126122.69297964848,82595.95770720318,16062.21866011938,27517.090389474743,14531.396420689907,2576.5476932842703,3156.0852706097585,505.5362000997516,92.73518491069652,1302.1190252995384,2.030183281453298e-05
-458.9321725597316,734163.8930576359,487155.3083591072,134618.1530515764,86478.88266170646,16597.330251420604,27970.81290343837,12951.688064231392,2681.9999444799373,3143.258310769355,748.3481033961397,312.10574734904304,1445.7609158919431,1.4396054323021032e-05
-370.6458698354336,707025.7778763482,485663.8620267996,130133.5465998631,82908.56671648659,16772.096223212586,25627.693479018613,12309.6385969611,2869.271057327104,3204.332285961298,684.3683135669323,174.1433154699912,1407.966365765067,1.533725830668853e-05
-505.2280536838358,782454.1385758047,511348.8589901095,125523.1226390115,81995.11049929334,15957.67488065184,28684.9569117756,13612.657157690017,2887.005123658629,3373.189475843141,555.882618995563,101.76352269577647,1545.87961252274,1.8550173850607467e-05
-383.033188840221,801200.3281553439,454425.751789412,127316.3300838675,91518.31040666056,15598.618387654482,29186.35382657893,18456.25002993225,2479.60214278299,2929.89870870496,558.2059156141114,782.0128239677409,1848.2036818250456,2.3939419163123508e-05
-455.6671726506376,734617.3133301052,503977.7976951202,126162.59192531389,87574.87324087511,16695.38809963847,27401.342744154517,12469.98619036411,2695.619153372584,3234.7768092231527,537.9508910083337,313.6811609346973,1615.2864658946728,2.3864976843349696e-05
-537.2004693436356,708401.7568131082,483202.4719527616,120367.15387185484,82420.22258118486,17074.536941880382,27676.144173121906,11969.02542639089,2876.105363029414,3194.239637455377,318.7058855148705,103.7041027843721,1321.4487292350984,3.0421115629876604e-05
-463.22711434697663,749368.5692397248,487150.2218232485,122504.76695007038,82185.94692290966,16441.318267024635,27792.971984854845,14110.402858214988,2754.8252214777103,3194.0586571424296,333.70363433325383,91.8219656072059,1155.8755151318294,2.3297372696661822e-05
