ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-454.2329432410376,784126.7881470275,518500.6109474564,129582.46320016966,83767.66554284462,15623.240985627172,29642.267234434898,13660.70050790613,2846.7225915735653,3361.5258453489,642.5135875598297,153.65874898976884,1215.119028326949,1.5556019187644266e-05
-399.31068388651227,793153.6773039869,500184.9176740979,129111.6044525272,85413.62538068861,15679.106746973,28978.03925917639,15100.583182703773,2820.24669088428,3223.308576694833,621.645233482417,221.8074089584185,1341.7993546334485,1.1927932968952306e-05
-398.7232228288741,782976.9522636224,491103.9356184959,133134.7507543374,85609.86449335117,15720.868239533507,27474.587053037965,15416.018998530551,2814.719011637269,3198.223862915242,793.09145814119,245.9635811855285,1321.5495347406245,1.055286407614671e-05
-426.5843011417683,794398.2987362526,495758.98506426346,126764.63691050113,84305.02564649303,15730.4845411954,28683.032257442468,15275.55759256477,2796.239716365152,3242.2431485012453,674.0743136459196,184.4130298087413,1421.192906055274,1.988933832734741e-05
-469.7106049072072,820757.3627565982,497293.8879705448,129554.52704838032,85118.80397876141,14732.567714833036,28352.367188781944,16474.213395059778,2769.865395973624,3258.551896870486,641.2319417166514,201.4922242692316,1251.9351068914186,1.2040815154601103e-05
-488.602516651451,772048.811806192,545547.0693164107,128046.6713770306,88778.37724984667,15852.103878843318,28687.09145684121,11985.36550590197,2909.6678817481857,3398.9975027378937,550.9598044676342,359.3929861268357,1444.734637151374,1.8536910821165133e-05
-444.89607640695885,766717.9538777302,485583.93292060646,135897.60519162475,87297.14664822498,15872.27933902306,28182.187135123368,14879.413376489672,2659.8034702836694,3096.241076838451,835.1595822329365,387.0644067844484,1360.4974973225264,9.991609609452342e-06
-412.0679634798299,808867.7644079027,533360.1145619643,126859.6125187074,84133.35529576383,15181.150936635557,29523.75998817885,14470.87047902832,2783.116048817112,3448.847346397746,549.4789811532696,183.34582653492544,1325.7407255167975,2.111026162458922e-05
-557.0013261052825,795855.5658297989,506592.1718169488,131551.5948246455,85070.56158053168,15738.97767288199,29214.469506344973,15259.052461924864,2809.4653920463206,3300.952272788868,781.0785367710331,206.92227812286347,1305.8092154661886,1.021484155905254e-05
-406.1851042967453,820416.0201995476,527384.259966531,134450.05266351713,83993.79599312072,15038.825928925544,28625.021605758564,14772.100413438711,2877.2728751022696,3372.897654826405,863.3800118702655,210.0148379194598,1411.802994616468,9.84028062985294e-06
-519.2549945869116,768299.9635088693,516000.7818227957,127685.67934432453,88519.46843595096,15650.514742663225,28365.71581496653,13510.2039839449,2936.530127833392,3272.5054200031063,595.4358455934937,331.03820012493924,1556.0169127421034,1.621558620757008e-05
-558.7272349491719,816818.3776856287,451569.5354300308,128415.24116878766,85147.75145455782,15259.92993320667,28658.72280795224,19509.277231654152,2640.367870899161,2996.937341501761,719.313580462719,252.046083939915,1362.2636441312814,8.561710921605916e-06
-508.6368131567958,774035.7909898562,494014.70314828993,129662.06156730132,87132.08528000132,15965.62517081715,29528.30915660373,14724.898410121752,2926.7728354354026,3136.303425432517,803.6979710505954,327.72599427083566,1898.40211855807,1.7800693083158728e-05
-455.9281780995496,788864.7649479335,510403.9752893274,137435.11203537235,89355.07527842933,15626.250842752484,29432.378398130462,13991.852629444344,2865.4457264764565,3233.915822087554,1123.6689504623364,464.0277443155186,1713.6759947689195,7.542110410383603e-06
-480.4056970318057,781939.4144293256,524606.6493412366,131469.19262010427,82496.6544434921,15921.55230304238,28381.384154895517,13689.58293091578,2988.5871344851585,3373.992470521515,696.6586114145704,103.91826702745804,1372.616991136332,1.4816372528663252e-05
-329.0757293044464,801493.3056444101,519175.8568810514,130095.2702124462,88197.49031573243,15742.920824668605,28862.92154257605,14953.54223036588,2905.1778401598526,3267.39520310554,745.7018346486982,456.8054011394479,1465.4350192430438,1.669561539496284e-05
-373.795561488848,755472.9722504396,489358.85449620266,132338.09329919395,85087.42029151371,15994.952651008098,28967.70611682449,14431.192043568084,2866.2749923726788,3200.9809686703197,782.7210278817823,239.56845270805687,1540.7415885576113,9.613947546170558e-06
-442.20472259813664,784611.9777603036,517614.7822549699,127273.5369506678,85630.27726644056,15634.773298972868,27891.505384104206,13341.59766408446,3006.157114159016,3318.0532286582256,797.5725750350321,292.8994481932079,1475.458208363196,1.6887906131982947e-05
