rep,T_NDMH,T_ND,T_MH_N,T_AWN,T_CV,T_OOA,T_Bas,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stu,N_Ust,p_S_ND,p_S_D,p_H_N,p_H_NW,p_N_OOA,p_L_S,m_ND,m_SL,m_SY,m_LY
20,759136.1851628202,708671.3565480146,391242.75572027237,117199.46629368856,59136.205748055174,72611.47614802473,59391.205148405694,10939.733702585205,14841.883896233396,2466.2880629151414,3027.6365990021527,2871.3608315566867,157.28726872983634,737.4275465034552,98.98536149179166,35648.76648501543,15268.42966753185,882.312096628159,1345.7970434976862,5450.10002647562,5922.747869133869,0.05191778385669801,0.009328708592332797,0.10144845073776196,0.01363569625827081,0.026007592717045686,0.3364111805628053,6.239672961429321e-06,5.013566699537094e-06,1.5528121929325064e-06,0.00010810909762167519
21,750038.2660163624,641853.9308797827,357377.159662827,121606.55039631792,59218.87252140382,114996.74830530517,61530.859554023766,9328.036285272465,15224.373403118936,4453.7677943940525,3206.512340720896,2956.7222173026043,163.75828846390633,774.8877992054498,333.2977051493025,36247.28984971471,15119.537167385322,2610.870480534771,1338.7690109029088,4448.986191447925,4988.833128798366,0.03998357754788908,0.010519289418277403,0.08730418310080677,0.013486488222445794,0.028084372401758796,0.37405018960170966,4.0157605820317156e-06,5.031890984722531e-07,6.085376629342666e-08,0.00012417454224447177
22,778457.381861086,738217.8427591067,399995.415888307,116506.60263361418,61090.181384609095,76329.39369173796,60492.158629088466,7000.021517112869,14677.099936605175,2533.8477810510585,2826.896558103401,2722.545019619542,244.69906780102065,847.9471917433287,64.17205366392297,36888.06217390208,14024.990092516777,957.2068511710708,1311.2587522644856,4798.57986969747,9210.149969189952,0.044644615396899005,0.01450764181532575,0.10922780392165139,0.012746675141750975,0.030149038710837683,0.3321056808049342,8.163120542606498e-06,1.8740845619906313e-06,2.378888298659721e-07,0.00012431310810569651
23,823010.9224169793,802088.6977821686,388550.6351638467,116653.39684628123,61951.39085363427,70706.0033522455,59574.044657735234,7000.001159886961,14251.846145684325,1859.9228765634691,2798.5041996448376,2764.142921057989,286.2488837086525,951.1169742060043,68.44094322834195,36762.91635106412,13946.39072525762,701.6782001982367,1331.3385763189872,5299.682114273866,5036.759625184486,0.028486386152316932,0.021462099402260765,0.08687405379169752,0.010854781254686733,0.026938461525047214,0.32286126591395836,8.765271130321434e-06,4.829899400441248e-06,6.309062684566863e-06,0.00011664692504425866
24,760541.2403806513,716447.7989902395,397519.1632689935,118277.8391104619,60228.544494480084,65119.2309179133,59649.25244738361,7001.017132440876,14846.659092629257,2544.0384608343475,2910.4251451592954,2876.85915153554,207.8014043591745,827.3094654717123,146.81809458883052,36344.54438469335,14298.76371857169,359.71624796071717,1310.9358530457316,5543.125900155746,9699.480251451432,0.04850116566886807,0.012138779401148677,0.07905157356926368,0.012324718786619887,0.02908894700804773,0.30980415988998133,7.2351715152356e-06,1.0720732131801022e-05,3.7140828252095454e-06,0.0001133803392746414
25,761946.7747070751,682781.3574126548,247267.03033484114,116928.21011448186,60561.4180635074,70823.56902589374,61690.05621369714,10131.82528634093,15086.830494567155,3714.3383603088496,3180.6660212945176,2817.5617675872445,228.0573209596465,865.3711297138954,82.0821037146699,35522.873703343095,13433.707175731097,588.5592799171174,1331.7308408732379,5470.268823604938,9999.986900402993,0.03605270394191917,0.01304415161159942,0.055026533854668325,0.009494417539359258,0.031767914213639885,0.37191442324865,4.89392804259941e-06,3.1432400529264116e-06,3.308176543104699e-06,0.00011947581011419928
26,802524.5419504835,683212.8096472564,378872.0907432751,116243.60263563629,56939.16306012048,66352.35575028267,62658.94363253042,8918.697937421031,14479.913375572203,6320.893326021322,2932.669680291468,2791.3654635744115,71.29944948899553,642.5131620242627,56.69315364794829,37551.28754560028,12344.640652189484,247.00236770394778,1343.2055057026084,4466.16598848001,9999.794605555962,0.038471919273779714,0.012955366772801962,0.09812635733613541,0.014354990488311015,0.02542731464301716,0.3928639797345384,6.750394921262077e-06,4.5694062425539915e-08,1.7242458176068832e-06,0.00013094840983425617
27,714914.0061700807,693510.8235142139,382521.91364349576,117085.3728726312,59895.42294182124,76633.25855570337,63813.84385682107,7002.604420114991,15707.748622381636,1100.5751802666239,2992.1966339511528,2784.1715896994738,201.59810558639003,832.3468024193022,92.64764437809357,36884.65134428142,11405.069713519455,710.6887394667318,1265.0998561118859,4319.692600585841,8089.26204383915,0.03969254021098122,0.011399544347772905,0.10919764148968925,0.012353220158815074,0.030576591647646943,0.3683677102567843,6.777288168285644e-06,6.68117456752138e-06,2.3018269716459357e-06,0.0001470693004062135
28,748244.6346896341,719771.0106682706,399808.43019591656,117257.4796142609,61708.29208397944,70785.87954798309,62085.78022402587,7063.294940210074,15172.355687572051,1782.3183813116211,2846.6174955110246,2793.6936750156055,276.2376796786519,956.9636332422218,97.01670570733269,36138.97531270731,13233.656233936152,556.4493022780513,1336.175389122775,4126.38292924974,9712.99093028418,0.039662760873552395,0.01631908209254015,0.1005020884606909,0.009915723812221694,0.027709568009321808,0.37014304587282826,8.048559518090381e-06,4.227227987733224e-06,3.864276312580251e-06,0.00012717689518556793
29,747702.7648185628,712266.9407039371,399998.8256801581,116178.32352979765,58108.56784597044,71013.36582245318,63686.60948390492,8162.086768208283,15290.01010665834,2154.353366630992,2878.7520074445665,2780.087905345413,119.48063165786454,711.8463632719014,52.611118363359545,36450.519086657034,11750.039754834199,458.87850149681236,1334.468430187282,4061.1916671559907,8826.05205965851,0.03727909374478345,0.011495521564542933,0.10231015912363196,0.013376438410165318,0.027997640895090662,0.4005478592418973,7.627125231734509e-06,1.274753864238761e-06,5.078712915158078e-06,0.0001349916249171346
