ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-266.7960275855722,706788.0019312713,683155.4492862015,125241.02437321687,85431.24658897443,17456.685158362587,25769.34219632764,930.8394476141287,3592.099098552371,2876.853554901707,510.1227864781526,212.77889745816225,1344.0456700425696,1.424643784782236e-05,277438.8658240687,0.1143876867046916
-185.4772134508155,767562.0595532114,748868.3496946243,127536.66512730737,84755.8054044115,16150.000237707756,26494.440640037046,704.4013714536918,3680.3480458762106,2922.5846006641777,574.0996035735333,238.63068779877884,1470.1476373131682,1.3804464602949422e-05,249941.9145840187,0.0877905100622426
-251.18899160273355,658651.7899828511,639056.1529649871,126968.6743095974,96395.02153597923,17676.640285524783,24261.189677617487,804.062759087703,3549.877434735969,2572.604836522371,537.866290269585,630.8489053245036,1969.8625961880864,1.6851593782539253e-05,273575.6729869152,0.1192912450557818
-291.2017930876523,731453.9785579119,714923.0767766961,123794.81132064373,85596.57761456254,16889.74851117942,25544.92360077639,647.7700204789714,3860.645637203364,2678.498817101343,511.0267629475316,264.4923756057641,1402.573624119926,1.0120430203619705e-05,217410.13936405128,0.0901207893944174
-247.0085008641716,766960.3959833747,747683.5664932624,127544.36146396009,89890.50406680894,16396.50171914936,28371.175895392826,715.4110895802494,3991.111810040252,2762.7260585551776,686.3983159033071,448.3605883505913,2103.239402241723,1.9224097796426977e-05,263080.6343986225,0.1041961971344329
-214.79356727607964,740672.8949290642,722561.5940543072,127355.46732584108,87641.04338004715,16676.57147371131,27215.81616182393,677.8759499411184,3723.581498534627,2765.8794481921464,644.1821376549266,353.1257251823202,1653.7428282015676,1.2160243586251252e-05,246828.15119941725,0.0948441512036636
-239.0813882421573,729844.798261701,713583.8108452202,123093.10878539617,82864.410785605,17025.756396619036,26163.54289170292,657.7526800122465,3780.845277040802,2844.6742150182126,387.9103988448608,113.50079537403109,1404.0320006464683,2.3929171029428427e-05,243257.46794141395,0.090554809414253
-206.9801070931292,737895.0006381738,725051.9383441797,127607.54657191275,90241.5152228278,16931.340991446054,26501.001120472996,539.1341149899072,3707.1594225544463,2929.2997353166857,624.692129087052,562.4068203219013,1575.2416322857357,1.8691465179685812e-05,224067.55139990887,0.0632865870391979
-231.0761986421229,689451.1547570693,673456.3705626071,125737.74835780016,87222.64079525328,17244.22834399391,26288.881961085182,689.647109371691,3699.150601633435,2693.321078969451,504.7786963178052,333.14685528439816,1679.657822213772,1.402466717206151e-05,203232.81062810656,0.071989728624704
-240.1707577526261,718063.9110363733,702502.1537171906,122710.16425379002,87292.65519204731,16922.250144188998,25355.412728882635,608.3506919495726,3821.356450502321,2780.4569554561285,549.1726938950223,368.95376496443225,1575.5466420250596,2.0968123484645716e-05,224430.68084187305,0.0764015944478741
-255.2307156926016,761727.6294009307,745110.384103938,124784.76653208,91783.01930772969,16445.153170703306,26547.265842120167,625.3946371770037,3599.61933291525,2746.198425443616,502.0466216636789,515.073423477339,1556.8911331061356,1.572627717894643e-05,257255.82555212305,0.1042424632163643
-223.43336653345045,737491.0119476286,723310.6830762401,124637.38369349584,86157.17051404552,16574.385222273904,26365.19928534257,569.3479192096743,3716.438992915402,2641.6337310425133,526.2998849564239,382.9433732153004,1605.707567464606,2.1015043759319025e-05,206398.08163668308,0.0785952679011719
-279.9292995897558,665475.9387400645,645924.7926330104,118302.02419911035,85426.77289892713,18001.735767041766,24604.39909383829,852.7862578417989,3567.3303560964646,2635.359954220362,240.7495767826368,243.91593563548307,1863.578765497056,3.489426774979425e-05,183027.96050819356,0.0693914418059517
-228.99133718287888,770648.6553187087,753088.7775288014,123888.2833138888,88610.47403340916,16142.242382162764,27634.77726943267,659.3592840816807,3667.581405558036,2755.3350797879734,452.1141783108409,362.7426986050747,1809.7740406357464,2.28472785357792e-05,244655.92923232343,0.0899570956187022
-254.37698605868465,718925.431226108,703505.1098301463,125549.61800902033,88735.76530559824,16846.52400518436,25524.521002300284,609.0678827036932,3724.7175369297047,2513.193496156362,505.0031793561771,430.1372732580956,1611.634541527725,2.015420422202043e-05,214482.97485964,0.0871616885280684
-256.9659102547147,731724.944544793,716420.4003107634,123693.42093539504,86383.59956849129,16783.691395144895,27513.84320409848,628.7745372672614,3902.6382312079113,2944.2320769032126,493.0123566170327,270.87207815876883,1515.1161568739442,1.469402866373547e-05,213260.85736953453,0.0603567060124867
-167.81969415107417,778410.3440214929,763070.7853921785,129083.39806866313,89336.61642067575,15792.58019526786,29186.294183378344,577.0171351089921,3703.24909151924,2838.6231082580766,802.41953028699,450.12689987065136,1439.031021396445,1.3527784072331244e-05,226008.4004439181,0.0713126066357755
-204.0523539212985,719708.9575841974,702045.8317224768,128457.78690805232,86487.43423882381,16704.331157362158,25875.359343655964,677.2895026646162,3629.371186049313,2670.811337099854,718.2118846205587,276.5408828820014,1543.1244781168205,9.883650394268788e-06,204483.60789944543,0.0745410966833787
-235.02875280527883,676652.1109056679,659691.5145198198,122447.8561131014,88168.93555136777,17296.05585113585,24453.74052923712,661.3120323498567,3505.1109203562382,2677.271904865831,373.49431220209976,325.4060311153936,1359.6341969552652,2.467266094433555e-05,280064.10914396896,0.1308839330547901
-220.0475574099127,710472.84438147,695624.139148914,119286.14120801016,89728.39059186223,17223.628822623883,25844.23506603851,579.8228785219566,3816.467360738903,2712.2920689520456,239.1338421286197,516.6155236866967,1945.4040714614275,4.168030217655787e-05,239254.51800497543,0.0934916408461641
-313.7223853878985,688780.8698908519,672765.572978971,116738.0993334341,87809.60318311091,17705.51614415613,25099.501724303555,643.0055226134982,3486.7712289582214,2605.137965321765,171.9816440560583,343.25286559303964,1969.4919237231009,5.050000831746053e-05,218572.51529415528,0.0848014040883597
-167.9099278304322,697181.2415634035,680348.0776045274,126436.25997352767,84795.24008915985,17364.076368954782,25360.905783975028,640.3931675966082,3860.636362811269,2737.8912419500766,661.1406449424388,246.9487378526724,1552.8315937146217,1.1872835463861368e-05,257990.18498557387,0.1013550872852877
