ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-435.6999279749667,814183.2652878651,564367.4268925769,137895.4447574215,84196.19685499754,15190.863670999532,28740.041698103443,12056.395616002814,3231.8744592345943,3494.2831670460105,1028.2971496210273,237.2841719056087,1493.8453446589176,8.473605054655075e-06
-554.3231806685017,753817.9183505347,543263.8338805726,130417.83127323176,84639.4973426138,16153.981902282116,27222.609873747293,11189.984750291183,2888.967237859556,3531.0463793894496,703.2334451836603,184.2188843428002,1391.4526868865808,1.5618743929490562e-05
-378.1340043140666,769337.9539568197,551358.1051807445,137690.45729370444,88908.75356007859,15674.02752872365,28197.856950824877,10994.516921616285,3200.430631726399,3435.610258786477,1148.4883886471982,489.84941639810097,1557.9815922622467,7.160165656938961e-06
-511.11001150564016,765061.9589769278,557430.2141226494,132331.380238455,83657.27964396754,15976.24630350134,27117.65034228072,10306.1977413135,3038.9951273691645,3583.1853229363883,813.2689622110521,157.64964747425938,1422.005161322525,1.2500892517961048e-05
-423.3645105649817,775422.9329378839,533215.4979168898,132830.75462417403,84362.62510266749,15894.647836500988,28292.95872961405,11507.290827273688,2942.519814732033,3481.660566098268,675.9726433223099,186.2263394551716,1561.3770996071269,1.4618810636606926e-05
-335.4051576487705,796735.2517649711,582464.9259330201,134759.5174095049,84241.70503331881,15523.27552097704,28849.01427625679,10231.538443044836,3289.642911889143,3684.089245204537,993.182272670121,175.59927629892942,1412.93711361147,7.928017078718693e-06
-367.5960915972855,762318.6753874602,562244.1270935169,130627.58345180258,82864.87557801018,16182.74730900748,28104.359752825952,9828.398584771148,3035.987926743502,3603.329388045669,660.127904483691,119.5871127158712,1589.2038712153128,2.0496047093717416e-05
-385.1548337604204,731140.8658309147,529058.4997674861,131210.60290684068,84875.60280868404,16831.696713825826,27765.934368548555,10145.881864791603,2808.005859755703,3404.4179511310385,554.5555947346735,210.4326749604707,1649.413473479288,1.7107524508176916e-05
-394.5462812988745,757932.4085520626,570462.249053859,128888.732213125,85175.57259271131,16296.980120849175,28705.694413713045,9304.372659555882,2959.6334965027345,3587.451404660588,529.1838301263236,234.4681397699973,1451.0539635968682,2.411093743781068e-05
-610.4445903236913,811889.6105454869,556429.878782251,135426.76694325177,83758.89686343461,15717.529983154503,29701.036570060514,12243.933232853153,3287.524800388463,3605.862333405501,1018.8847023626856,185.08950671092035,1405.769437072041,1.091947703384117e-05
-380.3318050783264,790732.6727454251,518684.5446824552,132486.85277540484,83885.49859923334,15408.294516354075,29696.011202476493,13838.875081274544,2855.387285097136,3343.692513046343,812.2252188232306,173.1394902029468,1409.1773864454667,1.0038478020025428e-05
-454.1326782185773,802097.0244751618,520675.9411981037,131908.48868050147,87680.68495351064,15418.259850249462,29816.200826548768,14152.763431874278,2950.1710837646383,3371.1638242862155,761.7738542767189,404.711586770948,1630.6925656310464,9.46781887167925e-06
-428.4063096530468,768516.310888433,522233.3455713982,122364.75812339108,85914.57877661005,15856.576240530676,28055.056935144148,12807.739952080628,2983.78234979826,3348.712339195203,383.0743689184592,321.80478256725854,1588.3843222873854,2.538881047878252e-05
-422.1186478226306,837023.9027305073,537430.1222738499,129062.44745969334,89236.65547118342,15057.433967828943,31175.261367707662,15197.92712887634,2902.634595007846,3412.4050231082365,567.7268797275445,482.2009601042514,1760.509838913206,2.007806061798559e-05
-547.0593476400379,776836.0252729259,579039.3874757888,126323.39496753868,85447.38114037825,16229.808446408024,28433.176865302845,10132.216280409708,2983.608378499852,3703.7535972114006,413.131441477585,209.9473827110797,1536.6680275241133,2.395553979616624e-05
-513.1340858349988,717206.3386930622,536338.1527703406,129915.92045654904,84834.00783789679,16879.31571043849,27003.78270201406,9727.665278819868,2996.6410031790256,3518.4928582822786,595.8250467962903,226.4450649911712,1544.7515804151851,1.6401172921527037e-05
-383.22944165392806,750303.6328643145,524956.2384144103,129624.0639953402,84151.46678597276,16239.842449766937,28034.906732105104,11615.206889073886,2898.1701875892886,3430.2801535675044,704.7659111577585,176.00686126896483,1300.5146959434437,1.4491785956626196e-05
-505.4566448275385,787548.7374262406,542473.2661375233,139241.6404852814,84407.29985611181,15968.135206313133,28588.54756910731,11980.05091777009,3011.0166292595413,3455.2910859580525,1184.553034459461,195.82929192697327,1514.034713651624,8.359310652704184e-06
-421.2635307252387,793669.6352757844,496755.9261960147,127191.98662222033,82777.56293431838,15751.765406258197,27972.30109690709,15378.408884965913,2868.758965332552,3342.042940687445,617.4993026376396,121.21169233805912,1510.3414301626924,1.6598183485318552e-05
-296.5950860462998,806083.2814102451,503156.3817744381,127408.63295812935,83253.3521243167,15628.21177660409,29456.97641331613,15308.983241285949,2933.74962467596,3315.460830525395,526.3917826182604,131.45487949242656,1540.705653038655,1.5843644040867485e-05
-417.6755753781724,769209.8178172015,531993.2706306679,131492.19866556203,83480.68552210907,15859.116565210608,28755.65972474205,11603.868654426657,2984.217942481,3451.37850407571,867.0875865920793,129.76783008543958,1355.1273511511315,7.705794442394202e-06
-458.4304246091405,796681.500125254,542002.5714358689,136101.1266334552,83646.48395589906,15576.757544661374,28554.058565862248,12735.735673463876,3062.6853321082185,3533.476807345423,1018.1041920041088,161.4145749327457,1618.490614628102,6.404451081023921e-06
-624.1354608847962,758213.163149689,510516.2017160308,133443.20804546966,83141.85999313377,16236.864660711362,27332.80201397242,12679.668601062507,2960.1324780080354,3364.433425296353,930.4935529678398,168.46331796381315,1497.5699142558692,8.039833196795902e-06
-350.51071009083705,779938.5927559994,554310.2870838293,128956.07687246669,85212.12041780702,15920.257953576209,29483.587658066223,11209.523477848184,3020.977031258902,3498.557087859024,608.7981507185743,254.2710348360324,1370.3066078272946,1.7583789782276725e-05
-340.33677625539315,763748.039625307,547197.3838499456,133939.8766876218,83156.15338575299,16402.358970997197,28572.79525515832,10465.41394631318,3185.439890994155,3572.216493945011,957.1739030823549,134.52731950620188,1556.701935045197,1.3615183861375802e-05
-419.3751523202437,769424.0936413151,539097.8398863298,134317.74458416383,84480.12247986077,16112.833027127224,28237.882081129137,10980.739639936148,3017.89558754834,3503.2732144415995,727.4606715715047,224.5342633957387,1575.168282156122,1.253493737306088e-05
-352.6810982723589,814699.2050108277,517780.6217343804,131458.12269183685,89499.03296302023,15749.16475415231,29494.74548208437,15448.507158730234,2890.845571058969,3328.7064042053703,847.5189261299105,466.2309819716319,1725.2886241498331,1.2889923805998736e-05
-360.67708441119487,722876.6188646416,527854.5055286743,125895.19418243984,84585.13509495028,16649.1885096855,26687.445867332604,10029.872426383545,2934.32637950616,3441.1209752574377,586.9435864211935,228.7160380248441,1667.9060169732584,2.068449412514834e-05
-382.4957461712943,797030.6116278773,509019.721770476,129740.4773757304,85088.75649530516,15639.125655720594,29930.39070278424,14249.74056482883,2997.081716185857,3319.1849637694527,633.9391182763209,219.23423880987255,1154.5207958272597,1.029286759000323e-05
-441.7083391237954,812711.6661839572,520324.7920047185,125498.05645370744,84873.48155530781,15253.186896907342,29453.145056651367,14465.470364304596,2744.329571603403,3351.078040609918,399.3823854287635,188.97500723947832,1458.7314388084023,2.9531957363312045e-05
